1, Mar-20 09_45_53, pulse: 200mcs, freq: 8Hz, duration: 250ms , picture: 0
2, Mar-20 09_46_30, pulse: 400mcs, freq: 15Hz, duration: 250ms , picture: 1
3, Mar-20 09_47_14, pulse: 50mcs, freq: 30Hz, duration: 50ms , picture: 2
4, Mar-20 09_47_30, pulse: 100mcs, freq: 50Hz, duration: 250ms , picture: 3
5, Mar-20 09_47_52, pulse: 100mcs, freq: 95Hz, duration: 50ms , picture: 4
6, Mar-20 09_48_16, pulse: 400mcs, freq: 95Hz, duration: 500ms , picture: 5
7, Mar-20 09_48_48, pulse: 50mcs, freq: 8Hz, duration: 250ms , picture: 6
8, Mar-20 09_49_01, pulse: 50mcs, freq: 50Hz, duration: 50ms , picture: 7
9, Mar-20 09_49_14, pulse: 100mcs, freq: 8Hz, duration: 250ms , picture: 8
10, Skipped Mar-20 09_49_15, pulse: 50mcs, freq: 8Hz, duration: 50ms , picture: no
11, Mar-20 09_49_35, pulse: 400mcs, freq: 50Hz, duration: 500ms , picture: 9
12, Mar-20 09_49_59, pulse: 100mcs, freq: 95Hz, duration: 500ms , picture: 10
13, Mar-20 09_50_22, pulse: 100mcs, freq: 15Hz, duration: 500ms , picture: 11
14, Mar-20 09_50_36, pulse: 400mcs, freq: 95Hz, duration: 50ms , picture: 12
15, Mar-20 09_51_05, pulse: 100mcs, freq: 95Hz, duration: 250ms , picture: 13
16, Skipped Mar-20 09_51_06, pulse: 100mcs, freq: 8Hz, duration: 50ms , picture: no
17, Mar-20 09_51_33, pulse: 200mcs, freq: 30Hz, duration: 500ms , picture: 14
18, Mar-20 09_52_21, pulse: 50mcs, freq: 95Hz, duration: 250ms , picture: 15
19, Mar-20 09_52_33, pulse: 400mcs, freq: 30Hz, duration: 250ms , picture: 16
20, Mar-20 09_53_09, pulse: 100mcs, freq: 30Hz, duration: 50ms , picture: 17
21, Mar-20 09_53_46, pulse: 200mcs, freq: 95Hz, duration: 250ms , picture: 18
22, Skipped Mar-20 09_53_46, pulse: 50mcs, freq: 15Hz, duration: 50ms , picture: no
23, Mar-20 09_54_18, pulse: 100mcs, freq: 30Hz, duration: 500ms , picture: 19
24, Mar-20 09_55_21, pulse: 400mcs, freq: 30Hz, duration: 50ms , picture: 20
25, Mar-20 09_55_48, pulse: 50mcs, freq: 50Hz, duration: 500ms , picture: 21
26, Mar-20 09_56_01, pulse: 200mcs, freq: 50Hz, duration: 50ms , picture: 22
27, Mar-20 09_56_38, pulse: 50mcs, freq: 95Hz, duration: 500ms , picture: 23
28, Mar-20 09_56_50, pulse: 100mcs, freq: 50Hz, duration: 500ms , picture: 24
29, Mar-20 09_57_14, pulse: 200mcs, freq: 15Hz, duration: 500ms , picture: 25
30, Mar-20 09_57_41, pulse: 200mcs, freq: 50Hz, duration: 500ms , picture: 26
31, Mar-20 09_58_04, pulse: 400mcs, freq: 50Hz, duration: 50ms , picture: 27
32, Skipped Mar-20 09_58_05, pulse: 400mcs, freq: 15Hz, duration: 50ms , picture: no
33, Mar-20 09_58_32, pulse: 100mcs, freq: 50Hz, duration: 50ms , picture: 28
34, Mar-20 09_59_29, pulse: 400mcs, freq: 50Hz, duration: 250ms , picture: 29
35, Mar-20 10_00_05, pulse: 400mcs, freq: 8Hz, duration: 250ms , picture: 30
36, Mar-20 10_00_27, pulse: 400mcs, freq: 30Hz, duration: 500ms , picture: 31
37, Mar-20 10_01_12, pulse: 50mcs, freq: 15Hz, duration: 250ms , picture: 32
38, Skipped Mar-20 10_01_13, pulse: 400mcs, freq: 8Hz, duration: 50ms , picture: no
39, Mar-20 10_01_23, pulse: 400mcs, freq: 95Hz, duration: 250ms , picture: 33
40, Skipped Mar-20 10_01_23, pulse: 100mcs, freq: 15Hz, duration: 50ms , picture: no
41, Mar-20 10_01_48, pulse: 50mcs, freq: 50Hz, duration: 250ms , picture: 34
42, Mar-20 10_01_56, pulse: 50mcs, freq: 30Hz, duration: 250ms , picture: 35
43, Mar-20 10_02_05, pulse: 50mcs, freq: 30Hz, duration: 500ms , picture: 36
44, Mar-20 10_02_13, pulse: 200mcs, freq: 95Hz, duration: 50ms , picture: 37
45, Mar-20 10_02_32, pulse: 400mcs, freq: 8Hz, duration: 500ms , picture: 38
46, Mar-20 10_02_54, pulse: 200mcs, freq: 8Hz, duration: 500ms , picture: 39
47, Mar-20 10_03_26, pulse: 200mcs, freq: 50Hz, duration: 250ms , picture: 40
48, Mar-20 10_03_50, pulse: 200mcs, freq: 15Hz, duration: 250ms , picture: 41
49, Mar-20 10_04_10, pulse: 100mcs, freq: 30Hz, duration: 250ms , picture: 42
50, Mar-20 10_04_32, pulse: 200mcs, freq: 30Hz, duration: 250ms , picture: 43
51, Mar-20 10_04_55, pulse: 100mcs, freq: 8Hz, duration: 500ms , picture: 44
52, Skipped Mar-20 10_04_56, pulse: 200mcs, freq: 8Hz, duration: 50ms , picture: no
53, Skipped Mar-20 10_04_56, pulse: 200mcs, freq: 15Hz, duration: 50ms , picture: no
54, Mar-20 10_05_14, pulse: 400mcs, freq: 15Hz, duration: 500ms , picture: 45
55, Mar-20 10_05_39, pulse: 100mcs, freq: 15Hz, duration: 250ms , picture: 46
56, Mar-20 10_06_01, pulse: 50mcs, freq: 8Hz, duration: 500ms , picture: 48
57, Mar-20 10_06_12, pulse: 200mcs, freq: 30Hz, duration: 50ms , picture: 49
58, Mar-20 10_06_38, pulse: 50mcs, freq: 15Hz, duration: 500ms , picture: 50
59, Mar-20 10_06_48, pulse: 50mcs, freq: 95Hz, duration: 50ms , picture: 51
