Number,Date,Time,Pulse,Frequency,Duration,Value,Amp,Picture
1,Mar-16,11_24_00,100,15,250,Passed,6,0
2,Mar-16,11_25_06,200,95,500,Passed,6,1
3,Mar-16,11_25_47,50,50,500,Passed,6,2
4,Mar-16,11_26_21,400,95,50,Passed,6,3
5,Mar-16,11_26_55,200,8,500,Passed,6,4
6,Mar-16,11_27_32,200,30,500,Passed,6,5
7,Mar-16,11_28_00,400,15,500,Passed,6,6
8,Mar-16,11_28_26,200,95,50,Passed,6,7
9,Mar-16,11_28_56,200,50,50,Passed,6,8
10,Mar-16,11_29_29,200,50,250,Passed,6,9
11,Mar-16,11_29_29,100,8,50,Skipped,6,
12,Mar-16,11_29_29,200,15,50,Skipped,6,
13,Mar-16,11_30_02,50,15,500,Passed,6,10
14,Mar-16,11_30_22,50,8,250,Passed,6,11
15,Mar-16,11_30_34,400,95,500,Passed,6,12
16,Mar-16,11_31_10,400,50,50,Passed,6,13
17,Mar-16,11_31_33,400,30,50,Passed,6,14
18,Mar-16,11_31_54,200,15,250,Passed,6,15
19,Mar-16,11_32_14,200,30,50,Passed,6,16
20,Mar-16,11_32_32,200,8,250,Passed,6,17
21,Mar-16,11_32_49,100,8,250,Passed,6,18
22,Mar-16,11_33_02,400,50,250,Passed,6,19
23,Mar-16,11_33_36,400,30,500,Passed,6,20
24,Mar-16,11_33_53,400,30,250,Passed,6,21
25,Mar-16,11_34_13,400,8,250,Passed,6,22
26,Mar-16,11_34_42,400,50,500,Passed,6,23
27,Mar-16,11_34_42,400,15,50,Skipped,6,
28,Mar-16,11_34_42,200,8,50,Skipped,6,
29,Mar-16,11_35_00,50,50,50,Passed,6,24
30,Mar-16,11_35_20,400,95,250,Passed,6,25
31,Mar-16,11_35_40,100,30,500,Passed,6,26
32,Mar-16,11_35_53,100,50,50,Passed,6,27
33,Mar-16,11_36_04,200,50,500,Passed,6,28
34,Mar-16,11_36_23,50,30,250,Passed,6,29
35,Mar-16,11_36_33,200,95,250,Passed,6,30
36,Mar-16,11_36_50,400,15,250,Passed,6,31
37,Mar-16,11_36_50,50,15,50,Skipped,6,
38,Mar-16,11_37_10,200,30,250,Passed,6,32
39,Mar-16,11_37_10,100,15,50,Skipped,6,
40,Mar-16,11_37_47,100,95,50,Passed,6,33
41,Mar-16,11_38_14,200,15,500,Passed,6,34
42,Mar-16,11_38_30,400,8,500,Passed,6,35
43,Mar-16,11_38_30,400,8,50,Skipped,6,
44,Mar-16,11_38_55,50,30,50,Passed,6,36
45,Mar-16,11_39_06,100,95,500,Passed,6,37
46,Mar-16,11_39_16,50,95,250,Passed,6,38
47,Mar-16,11_39_28,100,50,500,Passed,6,39
48,Mar-16,11_39_39,100,30,50,Passed,6,40
49,Mar-16,11_39_50,50,15,250,Passed,6,41
50,Mar-16,11_40_02,50,95,500,Passed,6,42
51,Mar-16,11_40_13,100,50,250,Passed,6,43
52,Mar-16,11_40_25,100,30,250,Passed,6,44
53,Mar-16,11_40_47,50,50,250,Passed,6,45
54,Mar-16,11_40_57,100,8,500,Passed,6,46
55,Mar-16,11_41_07,100,15,500,Passed,6,47
56,Mar-16,11_41_17,50,8,500,Passed,6,48
57,Mar-16,11_41_28,50,30,500,Passed,6,49
58,Mar-16,11_41_29,50,8,50,Skipped,6,
59,Mar-16,11_41_42,100,95,250,Passed,6,50
60,Mar-16,11_42_01,50,95,50,Passed,6,51
