1, Mar-16 11_24_00, pulse: 100mcs, freq: 15Hz, duration: 250ms , picture: 0
2, Mar-16 11_25_06, pulse: 200mcs, freq: 95Hz, duration: 500ms , picture: 1
3, Mar-16 11_25_47, pulse: 50mcs, freq: 50Hz, duration: 500ms , picture: 2
4, Mar-16 11_26_21, pulse: 400mcs, freq: 95Hz, duration: 50ms , picture: 3
5, Mar-16 11_26_55, pulse: 200mcs, freq: 8Hz, duration: 500ms , picture: 4
6, Mar-16 11_27_32, pulse: 200mcs, freq: 30Hz, duration: 500ms , picture: 5
7, Mar-16 11_28_00, pulse: 400mcs, freq: 15Hz, duration: 500ms , picture: 6
8, Mar-16 11_28_26, pulse: 200mcs, freq: 95Hz, duration: 50ms , picture: 7
9, Mar-16 11_28_56, pulse: 200mcs, freq: 50Hz, duration: 50ms , picture: 8
10, Mar-16 11_29_29, pulse: 200mcs, freq: 50Hz, duration: 250ms , picture: 9
11, Skipped Mar-16 11_29_29, pulse: 100mcs, freq: 8Hz, duration: 50ms , picture: no
12, Skipped Mar-16 11_29_29, pulse: 200mcs, freq: 15Hz, duration: 50ms , picture: no
13, Mar-16 11_30_02, pulse: 50mcs, freq: 15Hz, duration: 500ms , picture: 10
14, Mar-16 11_30_22, pulse: 50mcs, freq: 8Hz, duration: 250ms , picture: 11
15, Mar-16 11_30_34, pulse: 400mcs, freq: 95Hz, duration: 500ms , picture: 12
16, Mar-16 11_31_10, pulse: 400mcs, freq: 50Hz, duration: 50ms , picture: 13
17, Mar-16 11_31_33, pulse: 400mcs, freq: 30Hz, duration: 50ms , picture: 14
18, Mar-16 11_31_54, pulse: 200mcs, freq: 15Hz, duration: 250ms , picture: 15
19, Mar-16 11_32_14, pulse: 200mcs, freq: 30Hz, duration: 50ms , picture: 16
20, Mar-16 11_32_32, pulse: 200mcs, freq: 8Hz, duration: 250ms , picture: 17
21, Mar-16 11_32_49, pulse: 100mcs, freq: 8Hz, duration: 250ms , picture: 18
22, Mar-16 11_33_02, pulse: 400mcs, freq: 50Hz, duration: 250ms , picture: 19
23, Mar-16 11_33_36, pulse: 400mcs, freq: 30Hz, duration: 500ms , picture: 20
24, Mar-16 11_33_53, pulse: 400mcs, freq: 30Hz, duration: 250ms , picture: 21
25, Mar-16 11_34_13, pulse: 400mcs, freq: 8Hz, duration: 250ms , picture: 22
26, Mar-16 11_34_42, pulse: 400mcs, freq: 50Hz, duration: 500ms , picture: 23
27, Skipped Mar-16 11_34_42, pulse: 400mcs, freq: 15Hz, duration: 50ms , picture: no
