Number,Date,Time,Pulse,Frequency,Duration,Value,Amp,Picture
1,Mar-10,11_20_30,100,8,500,Passed,5,0
2,Mar-10,11_21_23,50,8,500,Passed,5,1
3,Mar-10,11_21_37,50,95,250,Passed,5,2
4,Mar-10,11_22_00,200,50,50,Passed,5,3
5,Mar-10,11_22_49,50,15,250,Passed,5,4
6,Mar-10,11_23_02,50,30,50,Passed,5,5
7,Mar-10,11_23_16,400,95,50,Passed,5,6
8,Mar-10,11_23_16,400,15,50,Skipped,5,
9,Mar-10,11_24_31,400,50,250,Passed,5,7
10,Mar-10,11_25_25,50,50,250,Passed,5,8
11,Mar-10,11_25_40,200,50,500,Passed,5,9
12,Mar-10,11_26_22,200,95,250,Passed,5,10
13,Mar-10,11_27_14,100,50,50,Passed,5,11
14,Mar-10,11_27_33,100,30,500,Passed,5,12
15,Mar-10,11_28_08,400,30,250,Passed,5,13
16,Mar-10,11_28_53,400,95,250,Passed,5,14
17,Mar-10,11_30_11,50,8,250,Passed,5,15
18,Mar-10,11_30_27,400,50,500,Passed,5,16
19,Mar-10,11_31_15,50,95,50,Passed,5,17
20,Mar-10,11_31_34,200,30,250,Passed,5,18
21,Mar-10,11_31_58,100,50,500,Passed,5,19
22,Mar-10,11_32_50,200,8,500,Passed,5,20
23,Mar-10,11_33_38,100,8,250,Passed,5,21
24,Mar-10,11_34_03,400,15,250,Passed,5,22
25,Mar-10,11_34_43,200,15,250,Passed,5,23
26,Mar-10,11_35_07,50,30,250,Passed,5,24
27,Mar-10,11_35_25,400,8,250,Passed,5,25
28,Mar-10,11_36_08,50,50,50,Passed,5,26
29,Mar-10,11_36_25,50,30,500,Passed,5,27
30,Mar-10,11_36_37,400,30,50,Passed,5,28
31,Mar-10,11_36_37,100,8,50,Skipped,5,
32,Mar-10,11_37_13,50,50,500,Passed,5,29
33,Mar-10,11_37_13,200,15,50,Skipped,5,
34,Mar-10,11_37_23,100,95,250,Passed,5,30
35,Mar-10,11_38_16,100,50,250,Passed,5,31
36,Mar-10,11_38_42,400,8,500,Passed,5,32
37,Mar-10,11_39_26,50,95,500,Passed,5,33
38,Mar-10,11_40_07,200,30,50,Passed,5,34
39,Mar-10,11_40_32,200,95,500,Passed,5,35
40,Mar-10,11_40_33,50,15,50,Skipped,5,
41,Mar-10,11_41_36,400,30,500,Passed,5,36
42,Mar-10,11_42_19,50,15,500,Passed,5,37
43,Mar-10,11_42_32,200,8,250,Passed,5,38
44,Mar-10,11_42_59,200,15,500,Passed,5,39
45,Mar-10,11_43_36,200,50,250,Passed,5,40
46,Mar-10,11_44_06,100,30,250,Passed,5,41
47,Mar-10,11_44_06,100,15,50,Skipped,5,
48,Mar-10,11_44_06,50,8,50,Skipped,5,
49,Mar-10,11_44_45,200,30,500,Passed,5,42
50,Mar-10,11_45_20,100,95,500,Passed,5,43
51,Mar-10,11_45_46,100,95,50,Passed,5,44
52,Mar-10,11_46_18,400,50,50,Passed,5,45
53,Mar-10,11_46_58,200,95,50,Passed,5,46
54,Mar-10,11_47_36,100,15,500,Passed,5,47
55,Mar-10,11_48_02,400,15,500,Passed,5,48
56,Mar-10,11_48_38,400,95,500,Passed,5,49
57,Mar-10,11_49_49,100,30,50,Passed,5,50
58,Mar-10,11_49_49,200,8,50,Skipped,5,
59,Mar-10,11_50_02,100,15,250,Passed,5,51
60,Mar-10,11_50_03,400,8,50,Skipped,5,
