1, Mar-10 11_20_30, pulse: 100mcs, freq: 8Hz, duration: 500ms , picture: 0
2, Mar-10 11_21_23, pulse: 50mcs, freq: 8Hz, duration: 500ms , picture: 1
3, Mar-10 11_21_37, pulse: 50mcs, freq: 95Hz, duration: 250ms , picture: 2
4, Mar-10 11_22_00, pulse: 200mcs, freq: 50Hz, duration: 50ms , picture: 3
5, Mar-10 11_22_49, pulse: 50mcs, freq: 15Hz, duration: 250ms , picture: 4
6, Mar-10 11_23_02, pulse: 50mcs, freq: 30Hz, duration: 50ms , picture: 5
7, Mar-10 11_23_16, pulse: 400mcs, freq: 95Hz, duration: 50ms , picture: 6
8, Skipped Mar-10 11_23_16, pulse: 400mcs, freq: 15Hz, duration: 50ms , picture: no
9, Mar-10 11_24_31, pulse: 400mcs, freq: 50Hz, duration: 250ms , picture: 7
10, Mar-10 11_25_25, pulse: 50mcs, freq: 50Hz, duration: 250ms , picture: 8
11, Mar-10 11_25_40, pulse: 200mcs, freq: 50Hz, duration: 500ms , picture: 9
12, Mar-10 11_26_22, pulse: 200mcs, freq: 95Hz, duration: 250ms , picture: 10
13, Mar-10 11_27_14, pulse: 100mcs, freq: 50Hz, duration: 50ms , picture: 11
14, Mar-10 11_27_33, pulse: 100mcs, freq: 30Hz, duration: 500ms , picture: 12
15, Mar-10 11_28_08, pulse: 400mcs, freq: 30Hz, duration: 250ms , picture: 13
16, Mar-10 11_28_53, pulse: 400mcs, freq: 95Hz, duration: 250ms , picture: 14
17, Mar-10 11_30_11, pulse: 50mcs, freq: 8Hz, duration: 250ms , picture: 15
18, Mar-10 11_30_27, pulse: 400mcs, freq: 50Hz, duration: 500ms , picture: 16
19, Mar-10 11_31_15, pulse: 50mcs, freq: 95Hz, duration: 50ms , picture: 17
20, Mar-10 11_31_34, pulse: 200mcs, freq: 30Hz, duration: 250ms , picture: 18
21, Mar-10 11_31_58, pulse: 100mcs, freq: 50Hz, duration: 500ms , picture: 19
22, Mar-10 11_32_50, pulse: 200mcs, freq: 8Hz, duration: 500ms , picture: 20
23, Mar-10 11_33_38, pulse: 100mcs, freq: 8Hz, duration: 250ms , picture: 21
24, Mar-10 11_34_03, pulse: 400mcs, freq: 15Hz, duration: 250ms , picture: 22
25, Mar-10 11_34_43, pulse: 200mcs, freq: 15Hz, duration: 250ms , picture: 23
26, Mar-10 11_35_07, pulse: 50mcs, freq: 30Hz, duration: 250ms , picture: 24
27, Mar-10 11_35_25, pulse: 400mcs, freq: 8Hz, duration: 250ms , picture: 25
28, Mar-10 11_36_08, pulse: 50mcs, freq: 50Hz, duration: 50ms , picture: 26
29, Mar-10 11_36_25, pulse: 50mcs, freq: 30Hz, duration: 500ms , picture: 27
30, Mar-10 11_36_37, pulse: 400mcs, freq: 30Hz, duration: 50ms , picture: 28
31, Skipped Mar-10 11_36_37, pulse: 100mcs, freq: 8Hz, duration: 50ms , picture: no
32, Mar-10 11_37_13, pulse: 50mcs, freq: 50Hz, duration: 500ms , picture: 29
33, Skipped Mar-10 11_37_13, pulse: 200mcs, freq: 15Hz, duration: 50ms , picture: no
34, Mar-10 11_37_23, pulse: 100mcs, freq: 95Hz, duration: 250ms , picture: 30
35, Mar-10 11_38_16, pulse: 100mcs, freq: 50Hz, duration: 250ms , picture: 31
36, Mar-10 11_38_42, pulse: 400mcs, freq: 8Hz, duration: 500ms , picture: 32
37, Mar-10 11_39_26, pulse: 50mcs, freq: 95Hz, duration: 500ms , picture: 33
38, Mar-10 11_40_07, pulse: 200mcs, freq: 30Hz, duration: 50ms , picture: 34
39, Mar-10 11_40_32, pulse: 200mcs, freq: 95Hz, duration: 500ms , picture: 35
40, Skipped Mar-10 11_40_33, pulse: 50mcs, freq: 15Hz, duration: 50ms , picture: no
