Number,Date,Time,Pulse,Frequency,Duration,Value,Amp,Picture
1,Mar-13,10_37_43,100,15,250,Passed,4,0
2,Mar-13,10_38_27,100,95,50,Passed,4,1
3,Mar-13,10_38_27,50,8,50,Skipped,4,
4,Mar-13,10_39_04,200,95,250,Passed,4,2
5,Mar-13,10_39_04,400,15,50,Skipped,4,
6,Mar-13,10_39_34,200,30,250,Passed,4,3
7,Mar-13,10_40_08,100,50,50,Passed,4,4
8,Mar-13,10_40_21,200,50,50,Passed,4,5
9,Mar-13,10_40_47,50,95,500,Passed,4,6
10,Mar-13,10_40_56,50,8,250,Passed,4,7
11,Mar-13,10_41_06,200,50,500,Passed,4,8
12,Mar-13,10_41_48,100,95,500,Passed,4,9
13,Mar-13,10_41_48,400,8,50,Skipped,4,
14,Mar-13,10_42_13,200,30,50,Passed,4,10
15,Mar-13,10_42_37,200,15,250,Passed,4,11
16,Mar-13,10_43_00,400,50,500,Passed,4,12
17,Mar-13,10_43_00,200,15,50,Skipped,4,
18,Mar-13,10_43_36,200,95,500,Passed,4,13
19,Mar-13,10_44_08,50,30,250,Passed,4,14
20,Mar-13,10_44_18,100,95,250,Passed,4,15
21,Mar-13,10_44_51,100,8,250,Passed,4,16
22,Mar-13,10_45_08,400,8,250,Passed,4,17
23,Mar-13,10_45_33,100,50,250,Passed,4,18
24,Mar-13,10_45_53,400,15,500,Passed,4,19
25,Mar-13,10_45_53,100,8,50,Skipped,4,
26,Mar-13,10_46_35,50,30,500,Passed,4,20
27,Mar-13,10_46_45,100,15,500,Passed,4,21
28,Mar-13,10_47_06,100,30,50,Passed,4,22
29,Mar-13,10_47_33,200,15,500,Passed,4,23
30,Mar-13,10_47_34,200,8,50,Skipped,4,
31,Mar-13,10_48_07,100,30,500,Passed,4,24
32,Mar-13,10_48_20,400,50,50,Passed,4,25
33,Mar-13,10_48_48,50,50,250,Passed,4,26
34,Mar-13,10_49_01,200,30,500,Passed,4,27
35,Mar-13,10_49_28,200,8,250,Passed,4,28
36,Mar-13,10_49_48,400,50,250,Passed,4,29
37,Mar-13,10_50_22,50,50,50,Passed,4,30
38,Mar-13,10_50_31,50,15,500,Passed,4,31
39,Mar-13,10_50_40,200,95,50,Passed,4,32
40,Mar-13,10_51_05,50,15,250,Passed,4,33
41,Mar-13,10_51_05,100,15,50,Skipped,4,
42,Mar-13,10_51_15,50,50,500,Passed,4,34
43,Mar-13,10_51_24,400,95,250,Passed,4,35
44,Mar-13,10_52_04,400,8,500,Passed,4,36
45,Mar-13,10_52_26,100,8,500,Passed,4,37
46,Mar-13,10_52_39,50,95,50,Passed,4,38
47,Mar-13,10_52_50,50,95,250,Passed,4,39
48,Mar-13,10_53_17,400,95,500,Passed,4,40
49,Mar-13,10_53_52,400,95,50,Passed,4,41
50,Mar-13,10_54_19,400,15,250,Passed,4,42
51,Mar-13,10_54_39,400,30,250,Passed,4,43
52,Mar-13,10_55_21,100,30,250,Passed,4,44
53,Mar-13,10_55_33,50,30,50,Passed,4,45
54,Mar-13,10_55_42,50,8,500,Passed,4,46
55,Mar-13,10_55_53,200,8,500,Passed,4,47
56,Mar-13,10_56_16,400,30,50,Passed,4,48
57,Mar-13,10_56_42,100,50,500,Passed,4,49
58,Mar-13,10_57_52,200,50,250,Passed,4,50
59,Mar-13,10_57_53,50,15,50,Skipped,4,
60,Mar-13,10_58_16,400,30,500,Passed,4,51
