Number;Date;Time;Pulse;Frequency;Duration;Value;Amp;Picture
1;Mar-07;12_04_18;200;95;250;Passed;;0
2;Mar-07;12_05_40;100;95;50;Passed;;1
3;Mar-07;12_06_30;200;8;500;Passed;;2
4;Mar-07;12_10_41;200;50;500;Passed;;3
5;Mar-07;12_11_59;100;30;50;Passed;;4
6;Mar-07;12_12_24;200;30;250;Passed;;5
7;Mar-07;12_13_48;100;8;500;Passed;;6
8;Mar-07;12_14_50;400;8;500;Passed;;7
9;Mar-07;12_15_53;200;8;250;Passed;;8
10;Mar-07;12_16_55;200;30;500;Passed;;9
11;Mar-07;12_18_13;100;95;500;Passed;;10
12;Mar-07;12_18_14;100;8;50;Skipped;;
13;Mar-07;12_18_56;50;95;500;Passed;;11
14;Mar-07;12_19_34;50;30;500;Passed;;12
15;Mar-07;12_20_18;200;95;500;Passed;;13
16;Mar-07;12_21_41;200;95;50;Passed;;14
17;Mar-07;12_21_41;50;15;50;Skipped;;
18;Mar-07;12_21_41;400;8;50;Skipped;;
19;Mar-07;12_23_11;200;50;250;Passed;;15
20;Mar-07;12_24_49;200;15;250;Passed;;16
21;Mar-07;12_25_48;50;15;250;Passed;;17
22;Mar-07;12_26_04;400;95;50;Passed;;18
23;Mar-07;12_27_36;100;95;250;Passed;;19
24;Mar-07;12_28_38;400;8;250;Passed;;20
25;Mar-07;12_29_29;100;30;500;Passed;;21
26;Mar-07;12_30_21;50;30;250;Passed;;22
27;Mar-07;12_30_32;400;50;250;Passed;;23
28;Mar-07;12_32_17;400;95;500;Passed;;24
29;Mar-07;12_34_06;100;50;250;Passed;;25
30;Mar-07;12_34_54;50;8;250;Passed;;26
31;Mar-07;12_35_09;400;15;250;Passed;;27
32;Mar-07;12_36_31;400;30;50;Passed;;28
33;Mar-07;12_37_32;400;50;50;Passed;;29
34;Mar-07;12_38_37;400;30;500;Passed;;30
36;Mar-07;12_39_59;100;8;250;Passed;;31
37;Mar-07;12_40_31;200;30;50;Passed;;32
38;Mar-07;12_41_23;200;50;50;Passed;;33
39;Mar-07;12_42_20;400;95;250;Passed;;34
40;Mar-07;12_44_00;50;95;250;Passed;;35
41;Mar-07;12_44_23;50;8;500;Passed;;36
42;Mar-07;12_44_35;50;50;250;Passed;;37
43;Mar-07;12_44_57;100;30;250;Passed;;38
44;Mar-07;12_45_16;50;30;50;Passed;;39
45;Mar-07;12_45_25;50;50;50;Passed;;40
46;Mar-07;12_45_36;50;95;50;Passed;;41
47;Mar-07;12_45_36;50;8;50;Skipped;;
48;Mar-07;12_46_07;50;15;500;Passed;;42
49;Mar-07;12_46_18;200;15;500;Passed;;43
52;Mar-07;12_46_58;100;15;250;Passed;;44
53;Mar-07;12_47_18;100;50;500;Passed;;45
54;Mar-07;12_47_37;400;15;500;Passed;;46
56;Mar-07;12_48_33;400;50;500;Passed;;47
57;Mar-07;12_49_40;100;50;50;Passed;;48
58;Mar-07;12_49_55;400;30;250;Passed;;49
59;Mar-07;12_50_43;100;15;500;Passed;;50
60;Mar-07;12_51_50;50;50;500;Passed;;51
