Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.113634001116318 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-03 19:12:48.561249 True [   71640.108172] 0003 0035 0000043b
2022-03-03 19:12:48.577725 True [   71640.124538] 0003 0035 0000043b
2022-03-03 19:12:48.593958 True [   71640.141260] 0003 0035 0000043b
2022-03-03 19:12:48.611095 True [   71640.158177] 0003 0035 0000043b
2022-03-03 19:12:48.627804 True [   71640.175044] 0003 0035 0000043b
2022-03-03 19:12:48.645769 True [   71640.191999] 0003 0035 0000043b
2022-03-03 19:12:48.662060 True [   71640.209117] 0003 0035 0000043b
2022-03-03 19:12:48.681749 True [   71640.226226] 0003 0035 0000043b
2022-03-03 19:12:48.695513 True [   71640.242783] 0003 0035 0000043b
2022-03-03 19:12:48.715315 True [   71640.259727] 0003 0035 0000043b
2022-03-03 19:12:48.732052 True [   71640.276639] 0003 0035 0000043b
2022-03-03 19:12:48.749241 True [   71640.293598] 0003 0035 0000043b
2022-03-03 19:12:48.765195 True [   71640.311042] 0003 0035 0000043b
2022-03-03 19:12:48.798118 True [   71640.344631] 0003 0035 00000437
2022-03-03 19:12:48.815047 True [   71640.361143] 0003 0035 00000437
2022-03-03 19:12:48.831965 True [   71640.378146] 0003 0035 00000432
2022-03-03 19:12:48.850604 True [   71640.395065] 0003 0035 00000432
2022-03-03 19:12:48.868022 True [   71640.412198] 0003 0035 0000042e
2022-03-03 19:12:48.885158 True [   71640.429449] 0003 0035 0000042a
2022-03-03 19:12:48.899694 True [   71640.445713] 0003 0035 0000042a
2022-03-03 19:12:48.915463 True [   71640.462624] 0003 0035 00000426
2022-03-03 19:12:48.932706 True [   71640.479881] 0003 0035 00000426
2022-03-03 19:12:48.949675 True [   71640.496655] 0003 0035 00000421
2022-03-03 19:12:48.966663 True [   71640.513751] 0003 0035 0000041d
2022-03-03 19:12:48.984110 True [   71640.530569] 0003 0035 0000041d
2022-03-03 19:12:48.999932 True [   71640.547347] 0003 0035 00000419
2022-03-03 19:12:49.018039 True [   71640.564167] 0003 0035 00000415
2022-03-03 19:12:49.037218 True [   71640.581274] 0003 0035 00000410
2022-03-03 19:12:49.054049 True [   71640.598079] 0003 0035 0000040a
2022-03-03 19:12:49.068683 True [   71640.615203] 0003 0035 00000405
2022-03-03 19:12:49.087364 True [   71640.632189] 0003 0035 00000401
2022-03-03 19:12:49.103022 True [   71640.648883] 0003 0035 00000401
2022-03-03 19:12:49.119704 True [   71640.665756] 0003 0035 00000401
2022-03-03 19:12:49.137777 True [   71640.682765] 0003 0035 00000401
2022-03-03 19:12:49.153754 True [   71640.699733] 0003 0035 00000401
2022-03-03 19:12:49.171772 True [   71640.716925] 0003 0035 00000401
2022-03-03 19:12:49.188379 True [   71640.733544] 0003 0035 00000401
2022-03-03 19:12:49.203731 True [   71640.750227] 0003 0035 00000401
2022-03-03 19:12:50.440623 True [   71641.986294] 0003 0035 000004c0
2022-03-03 19:12:50.457850 True [   71642.002988] 0003 0035 000004c0
2022-03-03 19:12:50.474727 True [   71642.020859] 0003 0035 000004c0
2022-03-03 19:12:50.491570 True [   71642.036614] 0003 0035 000004c0
2022-03-03 19:12:50.508143 True [   71642.053594] 0003 0035 000004bb
2022-03-03 19:12:50.525852 True [   71642.070447] 0003 0035 000004b6
2022-03-03 19:12:50.541352 True [   71642.087427] 0003 0035 000004b2
2022-03-03 19:12:50.558535 True [   71642.104577] 0003 0035 000004ad
2022-03-03 19:12:50.576784 True [   71642.122493] 0003 0035 000004a9
2022-03-03 19:12:50.592313 True [   71642.138628] 0003 0035 000004a5
2022-03-03 19:12:50.608182 True [   71642.155096] 0003 0035 000004a0
2022-03-03 19:12:50.624879 True [   71642.172081] 0003 0035 0000049c
2022-03-03 19:12:50.643844 True [   71642.188959] 0003 0035 00000498
2022-03-03 19:12:50.658984 True [   71642.205931] 0003 0035 00000494
2022-03-03 19:12:50.679621 True [   71642.223367] 0003 0035 0000048f
2022-03-03 19:12:50.694646 True [   71642.239780] 0003 0035 0000048b
2022-03-03 19:12:50.710300 True [   71642.256599] 0003 0035 00000487
2022-03-03 19:12:50.727881 True [   71642.273519] 0003 0035 00000480
2022-03-03 19:12:50.745521 True [   71642.290471] 0003 0035 00000474
2022-03-03 19:12:50.761673 True [   71642.307410] 0003 0035 00000466
2022-03-03 19:12:50.781824 True [   71642.324979] 0003 0035 0000045a
2022-03-03 19:12:50.796554 True [   71642.341275] 0003 0035 0000044f
2022-03-03 19:12:50.811082 True [   71642.358160] 0003 0035 00000446
2022-03-03 19:12:50.828986 True [   71642.375158] 0003 0035 0000043e
2022-03-03 19:12:50.846934 True [   71642.392333] 0003 0035 00000437
2022-03-03 19:12:50.863013 True [   71642.409251] 0003 0035 00000432
2022-03-03 19:12:50.880072 True [   71642.426693] 0003 0035 0000042d
2022-03-03 19:12:50.897177 True [   71642.442768] 0003 0035 00000429
2022-03-03 19:12:50.913440 True [   71642.459713] 0003 0035 00000429
2022-03-03 19:12:50.930027 True [   71642.476695] 0003 0035 00000422
2022-03-03 19:12:50.947283 True [   71642.493652] 0003 0035 00000419
2022-03-03 19:12:50.964925 True [   71642.510557] 0003 0035 0000040e
2022-03-03 19:12:50.998167 True [   71642.544772] 0003 0035 00000403
2022-03-03 19:12:51.015098 True [   71642.561292] 0003 0035 000003f8
2022-03-03 19:12:51.033145 True [   71642.578133] 0003 0035 000003ee
