Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.929594021364127 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-03 19:15:22.303754 False [   71793.846394] 0003 0035 000003c2
2022-03-03 19:15:22.319303 False [   71793.862800] 0003 0035 000003c2
2022-03-03 19:15:22.336141 False [   71793.879527] 0003 0035 000003c2
2022-03-03 19:15:22.352717 False [   71793.896410] 0003 0035 000003c2
2022-03-03 19:15:22.371737 False [   71793.913439] 0003 0035 000003c2
2022-03-03 19:15:22.389494 False [   71793.930408] 0003 0035 000003c2
2022-03-03 19:15:22.404539 False [   71793.947226] 0003 0035 000003c2
2022-03-03 19:15:22.422081 False [   71793.964391] 0003 0035 000003c2
2022-03-03 19:15:22.439152 False [   71793.981885] 0003 0035 000003bd
2022-03-03 19:15:22.455554 False [   71793.998043] 0003 0035 000003b6
2022-03-03 19:15:22.473961 False [   71794.014957] 0003 0035 000003ad
2022-03-03 19:15:22.488791 False [   71794.031929] 0003 0035 000003a5
2022-03-03 19:15:22.505370 False [   71794.048873] 0003 0035 0000039d
2022-03-03 19:15:22.523325 False [   71794.065780] 0003 0035 00000397
2022-03-03 19:15:22.539971 False [   71794.082827] 0003 0035 00000392
2022-03-03 19:15:22.556174 False [   71794.099755] 0003 0035 0000038e
2022-03-03 19:15:22.576039 False [   71794.116621] 0003 0035 0000038e
2022-03-03 19:15:22.590204 False [   71794.133528] 0003 0035 0000038e
2022-03-03 19:15:22.609316 False [   71794.150347] 0003 0035 0000038a
2022-03-03 19:15:22.627933 False [   71794.167480] 0003 0035 0000038a
2022-03-03 19:15:22.640531 False [   71794.184202] 0003 0035 00000386
2022-03-03 19:15:22.659282 False [   71794.201145] 0003 0035 00000386
2022-03-03 19:15:22.675646 False [   71794.218009] 0003 0035 00000381
2022-03-03 19:15:22.692454 False [   71794.235026] 0003 0035 0000037d
2022-03-03 19:15:22.710383 False [   71794.251901] 0003 0035 00000379
2022-03-03 19:15:22.730330 False [   71794.270436] 0003 0035 00000374
2022-03-03 19:15:22.744294 False [   71794.285724] 0003 0035 0000036c
2022-03-03 19:15:22.759416 False [   71794.302656] 0003 0035 00000362
2022-03-03 19:15:22.776196 False [   71794.319650] 0003 0035 00000356
2022-03-03 19:15:22.793986 False [   71794.336554] 0003 0035 0000034b
2022-03-03 19:15:22.811386 False [   71794.353473] 0003 0035 00000340
2022-03-03 19:15:22.830134 False [   71794.370399] 0003 0035 00000336
2022-03-03 19:15:22.845334 False [   71794.387305] 0003 0035 0000032d
2022-03-03 19:15:22.862583 False [   71794.404234] 0003 0035 00000325
2022-03-03 19:15:22.878246 False [   71794.421282] 0003 0035 0000031e
2022-03-03 19:15:22.898959 False [   71794.438434] 0003 0035 00000317
2022-03-03 19:15:22.914231 False [   71794.455021] 0003 0035 0000030f
2022-03-03 19:15:22.930194 False [   71794.471963] 0003 0035 00000306
2022-03-03 19:15:22.946187 False [   71794.488904] 0003 0035 000002fb
2022-03-03 19:15:22.963339 False [   71794.505785] 0003 0035 000002ef
2022-03-03 19:15:22.980294 False [   71794.522758] 0003 0035 000002e4
2022-03-03 19:15:22.996475 False [   71794.539684] 0003 0035 000002db
2022-03-03 19:15:23.014143 False [   71794.556689] 0003 0035 000002d3
2022-03-03 19:15:23.031731 False [   71794.573537] 0003 0035 000002cc
2022-03-03 19:15:23.047813 False [   71794.590390] 0003 0035 000002c5
2022-03-03 19:15:23.065587 False [   71794.607318] 0003 0035 000002c0
2022-03-03 19:15:23.080975 False [   71794.624301] 0003 0035 000002bb
2022-03-03 19:15:23.101074 False [   71794.641269] 0003 0035 000002b4
2022-03-03 19:15:23.115674 False [   71794.658301] 0003 0035 000002aa
2022-03-03 19:15:23.134619 False [   71794.674980] 0003 0035 0000029f
2022-03-03 19:15:23.152473 False [   71794.691971] 0003 0035 00000294
2022-03-03 19:15:23.166308 False [   71794.708894] 0003 0035 00000289
2022-03-03 19:15:23.182074 False [   71794.725848] 0003 0035 0000027f
2022-03-03 19:15:23.199171 False [   71794.742866] 0003 0035 00000277
2022-03-03 19:15:23.216050 False [   71794.759787] 0003 0035 00000270
2022-03-03 19:15:23.233746 False [   71794.776598] 0003 0035 0000026a
2022-03-03 19:15:23.250014 False [   71794.793499] 0003 0035 00000265
2022-03-03 19:15:23.267548 False [   71794.810495] 0003 0035 00000261
2022-03-03 19:15:23.286981 False [   71794.827447] 0003 0035 0000025d
2022-03-03 19:15:23.302103 False [   71794.844357] 0003 0035 0000025d
2022-03-03 19:15:23.320780 False [   71794.863662] 0003 0035 00000259
2022-03-03 19:15:23.335743 False [   71794.878099] 0003 0035 00000259
2022-03-03 19:15:23.352816 False [   71794.895044] 0003 0035 00000252
2022-03-03 19:15:23.369899 False [   71794.911993] 0003 0035 0000024a
2022-03-03 19:15:23.386518 False [   71794.929012] 0003 0035 00000241
2022-03-03 19:15:23.405303 False [   71794.945800] 0003 0035 00000238
2022-03-03 19:15:23.420968 False [   71794.963737] 0003 0035 00000230
2022-03-03 19:15:23.436404 False [   71794.979598] 0003 0035 00000228
2022-03-03 19:15:23.454426 False [   71794.996572] 0003 0035 00000221
2022-03-03 19:15:23.470828 False [   71795.013520] 0003 0035 0000021a
2022-03-03 19:15:23.487974 False [   71795.030526] 0003 0035 00000214
2022-03-03 19:15:23.506129 False [   71795.047330] 0003 0035 0000020f
2022-03-03 19:15:23.521226 False [   71795.064513] 0003 0035 0000020b
2022-03-03 19:15:23.540190 False [   71795.081261] 0003 0035 00000207
2022-03-03 19:15:23.557241 False [   71795.098102] 0003 0035 00000207
2022-03-03 19:15:23.574886 False [   71795.115465] 0003 0035 00000207
2022-03-03 19:15:23.592578 False [   71795.131970] 0003 0035 00000203
2022-03-03 19:15:23.607042 False [   71795.148933] 0003 0035 00000203
2022-03-03 19:15:23.623000 False [   71795.165847] 0003 0035 00000203
2022-03-03 19:15:23.639666 False [   71795.182738] 0003 0035 000001ff
