Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.6510293235592144 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 15:37:58.085357 True [   87800.963076] 0003 0035 000003e4
2022-03-10 15:37:58.101161 True [   87800.979888] 0003 0035 000003e4
2022-03-10 15:37:58.118722 True [   87800.996764] 0003 0035 000003e4
2022-03-10 15:37:58.135508 True [   87801.013822] 0003 0035 000003e4
2022-03-10 15:38:23.511352 True [   87826.389143] 0003 0035 0000036f
2022-03-10 15:38:23.527947 True [   87826.404713] 0003 0035 0000036f
2022-03-10 15:38:23.545069 True [   87826.420929] 0003 0035 0000036f
2022-03-10 15:38:23.560856 True [   87826.437815] 0003 0035 0000036f
2022-03-10 15:38:23.577455 True [   87826.454752] 0003 0035 0000036f
2022-03-10 15:38:23.594826 True [   87826.471696] 0003 0035 0000036f
2022-03-10 15:38:23.612076 True [   87826.488637] 0003 0035 0000036f
2022-03-10 15:38:23.627995 True [   87826.505614] 0003 0035 0000036f
2022-03-10 15:38:23.645670 True [   87826.522435] 0003 0035 0000036f
2022-03-10 15:38:23.661296 True [   87826.539386] 0003 0035 0000036f
2022-03-10 15:38:23.678393 True [   87826.556314] 0003 0035 0000036f
2022-03-10 15:38:23.695856 True [   87826.573411] 0003 0035 0000036f
2022-03-10 15:38:23.714172 True [   87826.590198] 0003 0035 0000036f
2022-03-10 15:38:23.729279 True [   87826.607236] 0003 0035 0000036f
2022-03-10 15:38:26.320987 True [   87829.198730] 0003 0035 00000268
2022-03-10 15:38:26.336781 True [   87829.214318] 0003 0035 00000268
2022-03-10 15:38:26.355327 True [   87829.231248] 0003 0035 00000268
2022-03-10 15:38:26.370881 True [   87829.247973] 0003 0035 00000268
2022-03-10 15:38:26.387521 True [   87829.264914] 0003 0035 00000268
2022-03-10 15:38:26.404265 True [   87829.281865] 0003 0035 00000268
2022-03-10 15:38:26.422476 True [   87829.299295] 0003 0035 00000268
2022-03-10 15:38:26.438533 True [   87829.315740] 0003 0035 00000268
2022-03-10 15:38:26.454709 True [   87829.332383] 0003 0035 00000268
2022-03-10 15:38:29.233172 True [   87832.110679] 0003 0035 00000254
2022-03-10 15:38:29.248187 True [   87832.125897] 0003 0035 00000254
2022-03-10 15:38:29.264773 True [   87832.142791] 0003 0035 00000254
2022-03-10 15:38:29.283336 True [   87832.159710] 0003 0035 00000254
2022-03-10 15:38:29.299481 True [   87832.177090] 0003 0035 00000254
2022-03-10 15:38:29.316724 True [   87832.194217] 0003 0035 00000254
2022-03-10 15:38:29.333109 True [   87832.210525] 0003 0035 00000254
2022-03-10 15:38:29.351568 True [   87832.227417] 0003 0035 00000254
2022-03-10 15:38:29.366244 True [   87832.244160] 0003 0035 00000254
2022-03-10 15:38:30.095733 True [   87832.972271] 0003 0035 000001fd
2022-03-10 15:38:30.112559 True [   87832.989294] 0003 0035 000001fd
2022-03-10 15:38:30.129357 True [   87833.006163] 0003 0035 000001fd
2022-03-10 15:38:30.146541 True [   87833.023097] 0003 0035 000001fd
2022-03-10 15:38:30.163249 True [   87833.039979] 0003 0035 000001fd
2022-03-10 15:38:30.179400 True [   87833.056951] 0003 0035 000001fd
2022-03-10 15:38:30.196799 True [   87833.073916] 0003 0035 000001fd
2022-03-10 15:38:30.212936 True [   87833.090809] 0003 0035 000001fd
2022-03-10 15:38:30.230500 True [   87833.107974] 0003 0035 000001fd
2022-03-10 15:38:30.248083 True [   87833.124689] 0003 0035 00000205
2022-03-10 15:38:30.264737 True [   87833.141571] 0003 0035 0000020e
2022-03-10 15:38:30.280765 True [   87833.158548] 0003 0035 00000218
2022-03-10 15:38:30.298180 True [   87833.175768] 0003 0035 00000222
2022-03-10 15:38:30.317719 True [   87833.192770] 0003 0035 0000022b
2022-03-10 15:38:30.333956 True [   87833.209524] 0003 0035 00000233
2022-03-10 15:38:30.350902 True [   87833.226664] 0003 0035 0000023a
2022-03-10 15:38:30.366324 True [   87833.243137] 0003 0035 00000240
2022-03-10 15:38:30.382407 True [   87833.260164] 0003 0035 00000245
2022-03-10 15:38:30.398897 True [   87833.276970] 0003 0035 00000249
2022-03-10 15:38:30.416632 True [   87833.294106] 0003 0035 00000249
