Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.6510293235592144 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 15:43:17.057510 False [   88119.928695] 0003 0035 000002be
2022-03-10 15:43:17.074378 False [   88119.945384] 0003 0035 000002be
2022-03-10 15:43:17.091665 False [   88119.962320] 0003 0035 000002be
2022-03-10 15:43:17.107385 False [   88119.979306] 0003 0035 000002be
2022-03-10 15:43:17.124311 False [   88119.996180] 0003 0035 000002be
2022-03-10 15:43:17.143048 False [   88120.012908] 0003 0035 000002be
2022-03-10 15:43:18.381823 True [   88121.249982] 0003 0035 000004ca
2022-03-10 15:43:18.395595 True [   88121.266342] 0003 0035 000004ca
2022-03-10 15:43:18.414423 True [   88121.283363] 0003 0035 000004ca
2022-03-10 15:43:18.431361 True [   88121.300447] 0003 0035 000004ca
2022-03-10 15:43:18.446236 True [   88121.317340] 0003 0035 000004ca
2022-03-10 15:43:18.465096 True [   88121.334174] 0003 0035 000004ca
2022-03-10 15:43:18.478711 True [   88121.351006] 0003 0035 000004ca
2022-03-10 15:43:18.497383 True [   88121.367762] 0003 0035 000004ca
2022-03-10 15:43:20.057450 False [   88122.928250] 0003 0035 00000070
2022-03-10 15:43:20.073597 False [   88122.943707] 0003 0035 00000070
2022-03-10 15:43:20.089980 False [   88122.960476] 0003 0035 00000070
2022-03-10 15:43:20.109641 False [   88122.977410] 0003 0035 00000070
2022-03-10 15:43:20.123825 False [   88122.994528] 0003 0035 00000070
2022-03-10 15:43:20.142607 False [   88123.010965] 0003 0035 00000070
2022-03-10 15:43:20.159915 False [   88123.027683] 0003 0035 00000070
2022-03-10 15:43:20.174336 False [   88123.044551] 0003 0035 00000070
2022-03-10 15:43:20.191079 False [   88123.061478] 0003 0035 00000070
2022-03-10 15:43:20.207751 False [   88123.078476] 0003 0035 00000070
2022-03-10 15:43:20.224221 False [   88123.095464] 0003 0035 00000070
2022-03-10 15:43:20.241902 False [   88123.112369] 0003 0035 00000070
2022-03-10 15:43:20.257759 False [   88123.129457] 0003 0035 00000070
2022-03-10 15:43:26.526312 False [   88129.396660] 0003 0035 0000000d
2022-03-10 15:43:26.542186 False [   88129.412875] 0003 0035 0000000d
2022-03-10 15:43:26.558726 False [   88129.430149] 0003 0035 0000000d
2022-03-10 15:43:26.576356 False [   88129.446508] 0003 0035 0000000d
2022-03-10 15:43:26.595363 False [   88129.465803] 0003 0035 0000000d
2022-03-10 15:43:26.611882 False [   88129.480261] 0003 0035 0000000d
2022-03-10 15:43:26.627049 False [   88129.497164] 0003 0035 0000000d
2022-03-10 15:43:26.644512 False [   88129.514426] 0003 0035 0000000d
2022-03-10 15:43:26.659798 False [   88129.530889] 0003 0035 0000000d
2022-03-10 15:44:44.288980 True [   88207.156962] 0003 0035 00000268
2022-03-10 15:44:44.304117 True [   88207.173331] 0003 0035 00000268
2022-03-10 15:44:44.320179 True [   88207.190108] 0003 0035 00000268
2022-03-10 15:44:44.337257 True [   88207.207045] 0003 0035 00000268
2022-03-10 15:44:44.355772 True [   88207.224099] 0003 0035 00000268
2022-03-10 15:44:44.371433 True [   88207.240976] 0003 0035 00000268
2022-03-10 15:44:44.388128 True [   88207.258160] 0003 0035 00000268
2022-03-10 15:44:44.405070 True [   88207.274512] 0003 0035 00000268
2022-03-10 15:44:47.794990 False [   88210.664397] 0003 0035 0000001c
2022-03-10 15:44:47.809583 False [   88210.679661] 0003 0035 0000001c
2022-03-10 15:44:47.828542 False [   88210.696369] 0003 0035 0000001c
2022-03-10 15:44:47.843389 False [   88210.713064] 0003 0035 0000001c
2022-03-10 15:44:47.860762 False [   88210.730003] 0003 0035 0000001c
2022-03-10 15:44:47.878917 False [   88210.746876] 0003 0035 0000001c
2022-03-10 15:44:49.899805 False [   88212.767487] 0003 0035 0000000c
2022-03-10 15:44:49.917145 False [   88212.783612] 0003 0035 0000000c
2022-03-10 15:44:49.934736 False [   88212.800676] 0003 0035 0000000c
2022-03-10 15:44:49.949504 False [   88212.817554] 0003 0035 0000000c
2022-03-10 15:44:49.966061 False [   88212.834356] 0003 0035 0000000c
2022-03-10 15:44:49.982493 False [   88212.851335] 0003 0035 0000000c
2022-03-10 15:44:49.999328 False [   88212.868211] 0003 0035 0000000c
2022-03-10 15:44:51.659375 False [   88214.530328] 0003 0035 000004eb
2022-03-10 15:44:51.676519 False [   88214.545329] 0003 0035 000004eb
2022-03-10 15:44:51.693547 False [   88214.562223] 0003 0035 000004eb
2022-03-10 15:44:51.710642 False [   88214.579125] 0003 0035 000004eb
2022-03-10 15:44:51.726434 False [   88214.596127] 0003 0035 000004eb
2022-03-10 15:44:51.742945 False [   88214.612999] 0003 0035 000004eb
2022-03-10 15:44:51.761123 False [   88214.629920] 0003 0035 000004eb
2022-03-10 15:45:10.465877 True [   88233.331733] 0003 0035 000002b7
2022-03-10 15:45:10.479844 False [   88233.348360] 0003 0035 000002b7
2022-03-10 15:45:10.496168 False [   88233.364879] 0003 0035 000002b7
2022-03-10 15:45:10.513320 False [   88233.381483] 0003 0035 000002b7
2022-03-10 15:45:10.531319 False [   88233.399583] 0003 0035 000002b7
2022-03-10 15:45:10.548274 False [   88233.415125] 0003 0035 000002b7
2022-03-10 15:45:10.563159 False [   88233.432821] 0003 0035 000002b7
2022-03-10 15:45:10.581253 False [   88233.449728] 0003 0035 000002b7
2022-03-10 15:45:10.596394 False [   88233.465708] 0003 0035 000002b7
2022-03-10 15:45:10.614015 False [   88233.483255] 0003 0035 000002b7
2022-03-10 15:45:10.630849 False [   88233.499234] 0003 0035 000002b7
2022-03-10 15:45:13.206414 False [   88236.074863] 0003 0035 0000023c
2022-03-10 15:45:13.222440 False [   88236.091599] 0003 0035 0000023c
