Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.6510293235592144 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 15:46:00.839063 False [   88283.707204] 0003 0035 0000029a
2022-03-10 15:46:00.857950 False [   88283.724066] 0003 0035 0000029a
2022-03-10 15:46:00.872627 False [   88283.740921] 0003 0035 0000029a
2022-03-10 15:46:00.890504 False [   88283.758345] 0003 0035 0000029a
2022-03-10 15:46:00.907863 False [   88283.774893] 0003 0035 0000029a
2022-03-10 15:46:04.244262 False [   88287.113025] 0003 0035 00000272
2022-03-10 15:46:04.262605 True [   88287.128723] 0003 0035 00000272
2022-03-10 15:46:04.276880 True [   88287.145507] 0003 0035 00000272
2022-03-10 15:46:04.294285 True [   88287.162354] 0003 0035 00000272
2022-03-10 15:46:07.378392 True [   88290.246569] 0003 0035 00000292
2022-03-10 15:46:07.393907 True [   88290.262438] 0003 0035 00000292
2022-03-10 15:46:07.410045 True [   88290.279213] 0003 0035 00000292
2022-03-10 15:46:07.427599 True [   88290.296204] 0003 0035 00000292
2022-03-10 15:46:07.444863 True [   88290.312980] 0003 0035 00000292
2022-03-10 15:46:08.767177 True [   88291.634308] 0003 0035 00000294
2022-03-10 15:46:08.783185 True [   88291.651592] 0003 0035 00000294
2022-03-10 15:46:08.799382 True [   88291.668272] 0003 0035 00000294
2022-03-10 15:46:08.817344 True [   88291.685126] 0003 0035 00000294
2022-03-10 15:46:08.834111 True [   88291.701986] 0003 0035 00000294
2022-03-10 15:46:11.223447 True [   88294.091962] 0003 0035 000002a8
2022-03-10 15:46:11.240001 True [   88294.107752] 0003 0035 000002a8
2022-03-10 15:46:11.256944 True [   88294.124615] 0003 0035 000002a8
2022-03-10 15:46:11.273697 True [   88294.141509] 0003 0035 000002a8
2022-03-10 15:46:11.291159 True [   88294.158378] 0003 0035 000002a8
2022-03-10 15:46:12.765757 True [   88295.633178] 0003 0035 000002b4
2022-03-10 15:46:12.781973 True [   88295.649557] 0003 0035 000002b4
2022-03-10 15:46:12.798776 True [   88295.666163] 0003 0035 000002b4
2022-03-10 15:46:12.816337 True [   88295.682991] 0003 0035 000002b4
2022-03-10 15:46:12.831840 True [   88295.700404] 0003 0035 000002b4
2022-03-10 15:46:12.848565 True [   88295.716901] 0003 0035 000002b4
2022-03-10 15:46:12.867209 True [   88295.733824] 0003 0035 000002b4
2022-03-10 15:46:12.884976 True [   88295.750524] 0003 0035 000002b4
2022-03-10 15:46:13.645130 True [   88296.512960] 0003 0035 000002ae
2022-03-10 15:46:13.662412 True [   88296.529972] 0003 0035 000002ae
2022-03-10 15:46:13.681652 True [   88296.547291] 0003 0035 000002ae
2022-03-10 15:46:13.695540 True [   88296.563916] 0003 0035 000002ae
2022-03-10 15:46:13.714590 True [   88296.580928] 0003 0035 000002ae
2022-03-10 15:46:13.732923 True [   88296.597752] 0003 0035 000002ae
2022-03-10 15:46:13.747159 True [   88296.614576] 0003 0035 000002ae
2022-03-10 15:46:16.153714 True [   88299.021946] 0003 0035 000002a4
2022-03-10 15:46:16.170043 True [   88299.038390] 0003 0035 000002a4
2022-03-10 15:46:16.188003 True [   88299.055098] 0003 0035 000002a4
2022-03-10 15:46:16.203310 True [   88299.071791] 0003 0035 000002a4
2022-03-10 15:46:16.220288 True [   88299.088965] 0003 0035 000002a4
2022-03-10 15:46:16.237603 True [   88299.106252] 0003 0035 000002a4
2022-03-10 15:46:16.256698 True [   88299.123488] 0003 0035 000002a4
2022-03-10 15:46:16.270890 True [   88299.139785] 0003 0035 000002a4
2022-03-10 15:46:16.288388 True [   88299.156827] 0003 0035 000002a4
2022-03-10 15:46:19.170307 True [   88302.037218] 0003 0035 000002b1
2022-03-10 15:46:19.186329 False [   88302.054475] 0003 0035 000002b1
2022-03-10 15:46:19.203535 False [   88302.070641] 0003 0035 000002b1
2022-03-10 15:46:19.220366 False [   88302.088811] 0003 0035 000002b1
2022-03-10 15:46:19.236367 False [   88302.104801] 0003 0035 000002b1
2022-03-10 15:46:19.254511 False [   88302.121878] 0003 0035 000002b1
2022-03-10 15:46:19.272537 False [   88302.139030] 0003 0035 000002b1
2022-03-10 15:46:19.287661 False [   88302.155534] 0003 0035 000002b1
2022-03-10 15:46:19.304626 False [   88302.172359] 0003 0035 000002b1
2022-03-10 15:46:19.321786 False [   88302.190280] 0003 0035 000002b1
2022-03-10 15:46:22.540831 False [   88305.409339] 0003 0035 000002b5
2022-03-10 15:46:22.557691 False [   88305.424981] 0003 0035 000002b5
2022-03-10 15:46:22.574125 False [   88305.441007] 0003 0035 000002b5
2022-03-10 15:46:22.595168 False [   88305.458184] 0003 0035 000002b5
2022-03-10 15:46:22.607690 False [   88305.475088] 0003 0035 000002b5
2022-03-10 15:46:22.623663 False [   88305.491798] 0003 0035 000002b5
2022-03-10 15:46:22.641390 False [   88305.508955] 0003 0035 000002b5
2022-03-10 15:46:22.657865 False [   88305.525865] 0003 0035 000002b5
2022-03-10 15:46:22.674907 False [   88305.542653] 0003 0035 000002b5
2022-03-10 15:46:22.691373 False [   88305.559542] 0003 0035 000002b5
2022-03-10 15:46:22.707917 False [   88305.576276] 0003 0035 000002b5
2022-03-10 15:46:22.814077 False [   88305.678639] 0003 0035 000002a7
2022-03-10 15:46:22.827945 False [   88305.695108] 0003 0035 000002a7
2022-03-10 15:46:22.845014 False [   88305.712269] 0003 0035 000002a7
2022-03-10 15:46:22.862719 False [   88305.729580] 0003 0035 000002a7
2022-03-10 15:46:22.877892 False [   88305.746139] 0003 0035 000002a7
2022-03-10 15:46:22.894625 False [   88305.762637] 0003 0035 000002a7
2022-03-10 15:46:22.965938 False [   88305.831696] 0003 0035 000002b0
2022-03-10 15:46:22.979129 False [   88305.847567] 0003 0035 000002b0
2022-03-10 15:46:22.997082 False [   88305.864620] 0003 0035 000002b0
2022-03-10 15:46:23.014239 False [   88305.881625] 0003 0035 000002b0
2022-03-10 15:46:23.032584 False [   88305.899143] 0003 0035 000002b0
2022-03-10 15:46:23.049376 False [   88305.916258] 0003 0035 000002b0
2022-03-10 15:46:23.115278 False [   88305.983119] 0003 0035 000002ba
2022-03-10 15:46:23.131325 False [   88306.000078] 0003 0035 000002ba
2022-03-10 15:46:23.152598 False [   88306.018386] 0003 0035 000002ba
2022-03-10 15:46:23.165358 False [   88306.034020] 0003 0035 000002ba
2022-03-10 15:46:23.186593 False [   88306.051013] 0003 0035 000002ba
2022-03-10 15:46:23.202466 False [   88306.067887] 0003 0035 000002ba
2022-03-10 15:46:23.216335 False [   88306.084571] 0003 0035 000002ba
2022-03-10 15:46:23.267894 False [   88306.135726] 0003 0035 000002c1
2022-03-10 15:46:23.284835 False [   88306.152624] 0003 0035 000002c1
2022-03-10 15:46:23.303945 False [   88306.169519] 0003 0035 000002c1
2022-03-10 15:46:23.319019 False [   88306.186442] 0003 0035 000002c1
2022-03-10 15:46:23.336718 False [   88306.203409] 0003 0035 000002c1
2022-03-10 15:46:23.352858 False [   88306.220396] 0003 0035 000002c1
2022-03-10 15:46:23.369808 False [   88306.237189] 0003 0035 000002c1
2022-03-10 15:46:27.387444 False [   88310.253185] 0003 0035 000004dd
2022-03-10 15:46:27.403521 True [   88310.270718] 0003 0035 000004dd
2022-03-10 15:46:27.419918 True [   88310.285952] 0003 0035 000004dd
2022-03-10 15:46:27.437767 True [   88310.302794] 0003 0035 000004dd
2022-03-10 15:46:27.452394 True [   88310.319772] 0003 0035 000004dd
2022-03-10 15:46:27.469327 True [   88310.336500] 0003 0035 000004dd
2022-03-10 15:46:29.790978 True [   88312.659040] 0003 0035 000004eb
2022-03-10 15:46:29.807889 True [   88312.674456] 0003 0035 000004eb
2022-03-10 15:46:29.823893 True [   88312.691289] 0003 0035 000004eb
2022-03-10 15:46:29.841445 True [   88312.708395] 0003 0035 000004eb
2022-03-10 15:46:29.857222 True [   88312.725110] 0003 0035 000004eb
2022-03-10 15:46:29.874264 True [   88312.741981] 0003 0035 000004eb
2022-03-10 15:46:29.891845 True [   88312.758868] 0003 0035 000004eb
2022-03-10 15:46:32.146554 False [   88315.014282] 0003 0035 0000000d
2022-03-10 15:46:32.168141 False [   88315.030003] 0003 0035 0000000d
2022-03-10 15:46:32.178695 False [   88315.046750] 0003 0035 0000000d
2022-03-10 15:46:32.195428 False [   88315.062921] 0003 0035 0000000d
2022-03-10 15:46:32.213264 False [   88315.079973] 0003 0035 0000000d
2022-03-10 15:46:32.229894 False [   88315.096899] 0003 0035 0000000d
2022-03-10 15:46:32.246744 False [   88315.113789] 0003 0035 0000000d
2022-03-10 15:46:32.265958 False [   88315.130701] 0003 0035 0000000d
2022-03-10 15:46:32.279525 False [   88315.147514] 0003 0035 0000000d
