Mode = area stim
    verts = 22 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.1431505575617069 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 15:50:45.418613 True [   88568.279753] 0003 0035 000002ed
2022-03-10 15:50:45.437294 True [   88568.296923] 0003 0035 000002ed
2022-03-10 15:50:45.453972 True [   88568.314347] 0003 0035 000002ed
2022-03-10 15:50:45.469625 True [   88568.330579] 0003 0035 000002ed
2022-03-10 15:50:45.485749 True [   88568.347526] 0003 0035 000002ed
2022-03-10 15:50:45.506745 True [   88568.364500] 0003 0035 000002ed
2022-03-10 15:50:47.948420 True [   88570.806779] 0003 0035 000002ba
2022-03-10 15:50:47.962225 False [   88570.822057] 0003 0035 000002ba
2022-03-10 15:50:47.979511 False [   88570.838933] 0003 0035 000002ba
2022-03-10 15:50:47.994418 False [   88570.855802] 0003 0035 000002ba
2022-03-10 15:50:48.012411 False [   88570.872546] 0003 0035 000002ba
2022-03-10 15:50:50.384843 False [   88573.247016] 0003 0035 000002ae
2022-03-10 15:50:50.402824 False [   88573.262633] 0003 0035 000002ae
2022-03-10 15:50:50.418068 False [   88573.278767] 0003 0035 000002ae
2022-03-10 15:50:50.433363 False [   88573.295743] 0003 0035 000002ae
2022-03-10 15:50:50.451489 False [   88573.312624] 0003 0035 000002ae
2022-03-10 15:50:50.468667 False [   88573.329621] 0003 0035 000002ae
2022-03-10 15:50:50.487783 False [   88573.346720] 0003 0035 000002ae
2022-03-10 15:50:52.401749 False [   88575.263194] 0003 0035 00000290
2022-03-10 15:50:52.417542 False [   88575.279543] 0003 0035 00000290
2022-03-10 15:50:52.436250 False [   88575.295784] 0003 0035 00000290
2022-03-10 15:50:52.451763 False [   88575.313472] 0003 0035 00000290
2022-03-10 15:50:52.468105 False [   88575.330225] 0003 0035 00000290
2022-03-10 15:50:52.485607 False [   88575.347105] 0003 0035 00000290
2022-03-10 15:50:52.502612 False [   88575.363948] 0003 0035 00000290
2022-03-10 15:50:52.520538 False [   88575.381427] 0003 0035 00000290
2022-03-10 15:50:53.741178 False [   88576.601853] 0003 0035 0000030e
2022-03-10 15:50:53.755265 True [   88576.616842] 0003 0035 0000030e
2022-03-10 15:50:53.773308 True [   88576.633924] 0003 0035 0000030e
2022-03-10 15:50:53.789332 True [   88576.650773] 0003 0035 0000030e
2022-03-10 15:50:53.807278 True [   88576.667734] 0003 0035 0000030e
2022-03-10 15:50:53.824619 True [   88576.684561] 0003 0035 0000030e
2022-03-10 15:50:53.840009 True [   88576.701412] 0003 0035 0000030e
