Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.163244089264183 
    wm_size = [1200 1920] 
    stim_amp = 5 
    baseline_stim = 5
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:07:49.034516 True [   89591.873956] 0003 0035 0000030e
2022-03-10 16:07:49.052052 True [   89591.890886] 0003 0035 0000030e
2022-03-10 16:07:49.066712 True [   89591.907659] 0003 0035 0000030e
2022-03-10 16:07:49.084635 True [   89591.925191] 0003 0035 0000030e
2022-03-10 16:07:49.100686 True [   89591.941933] 0003 0035 0000030e
2022-03-10 16:07:49.118689 True [   89591.957901] 0003 0035 0000030e
2022-03-10 16:07:50.863629 True [   89593.704823] 0003 0035 000001fa
2022-03-10 16:07:50.882252 True [   89593.721198] 0003 0035 000001fa
2022-03-10 16:07:50.899936 True [   89593.737508] 0003 0035 000001fa
2022-03-10 16:07:50.914662 True [   89593.755277] 0003 0035 000001fa
2022-03-10 16:07:50.929947 True [   89593.771175] 0003 0035 000001fa
2022-03-10 16:07:52.713665 True [   89595.553100] 0003 0035 0000021f
2022-03-10 16:07:52.729394 False [   89595.569963] 0003 0035 0000021f
2022-03-10 16:07:52.744667 False [   89595.586322] 0003 0035 0000021f
2022-03-10 16:07:52.762670 False [   89595.603691] 0003 0035 0000021f
2022-03-10 16:07:52.776906 False [   89595.619426] 0003 0035 0000021f
2022-03-10 16:07:52.796635 False [   89595.635494] 0003 0035 0000021f
2022-03-10 16:07:52.815247 False [   89595.653945] 0003 0035 0000021f
2022-03-10 16:07:52.831387 False [   89595.671047] 0003 0035 0000021f
2022-03-10 16:07:52.846901 False [   89595.687941] 0003 0035 0000021f
2022-03-10 16:07:52.866675 False [   89595.705542] 0003 0035 0000021f
2022-03-10 16:07:52.881567 False [   89595.721983] 0003 0035 0000021f
2022-03-10 16:07:52.897639 False [   89595.739362] 0003 0035 0000021f
2022-03-10 16:07:52.916753 False [   89595.755821] 0003 0035 0000021f
2022-03-10 16:07:52.931807 False [   89595.772803] 0003 0035 0000021f
2022-03-10 16:07:55.202165 False [   89598.042385] 0003 0035 0000014d
2022-03-10 16:07:55.217841 False [   89598.058711] 0003 0035 0000014d
2022-03-10 16:07:55.236287 False [   89598.075346] 0003 0035 0000014d
2022-03-10 16:07:55.251065 False [   89598.092393] 0003 0035 0000014d
2022-03-10 16:07:55.270435 False [   89598.109467] 0003 0035 0000014d
2022-03-10 16:07:55.286521 False [   89598.126286] 0003 0035 0000014d
2022-03-10 16:07:55.302595 False [   89598.142918] 0003 0035 0000014d
2022-03-10 16:08:03.590525 True [   89606.431270] 0003 0035 000004d6
2022-03-10 16:08:03.606474 True [   89606.447061] 0003 0035 000004d6
2022-03-10 16:08:03.622610 True [   89606.463685] 0003 0035 000004d6
2022-03-10 16:08:03.639711 True [   89606.480733] 0003 0035 000004d6
2022-03-10 16:08:03.655967 True [   89606.497555] 0003 0035 000004d6
2022-03-10 16:08:03.674052 True [   89606.514356] 0003 0035 000004d6
2022-03-10 16:08:05.658749 False [   89608.498914] 0003 0035 0000007a
