Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.163244089264183 
    wm_size = [1200 1920] 
    stim_amp = 5 
    baseline_stim = 5
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:24:50.245088 False [   90613.065744] 0003 0035 000004e4
2022-03-10 16:24:50.260877 False [   90613.082397] 0003 0035 000004e4
2022-03-10 16:24:50.277425 False [   90613.098593] 0003 0035 000004e4
2022-03-10 16:24:50.296337 False [   90613.116778] 0003 0035 000004e4
2022-03-10 16:24:50.312813 False [   90613.133576] 0003 0035 000004e4
2022-03-10 16:24:50.330604 False [   90613.148893] 0003 0035 000004e4
2022-03-10 16:24:53.788818 False [   90616.607446] 0003 0035 000004da
2022-03-10 16:24:53.802327 False [   90616.623630] 0003 0035 000004da
2022-03-10 16:24:53.822435 False [   90616.640785] 0003 0035 000004da
2022-03-10 16:24:53.836781 False [   90616.657160] 0003 0035 000004da
2022-03-10 16:24:53.856899 False [   90616.674683] 0003 0035 000004da
2022-03-10 16:24:53.873024 False [   90616.691228] 0003 0035 000004da
2022-03-10 16:24:53.889412 False [   90616.707817] 0003 0035 000004da
2022-03-10 16:24:59.514738 False [   90622.334285] 0003 0035 000004eb
2022-03-10 16:24:59.533824 False [   90622.350045] 0003 0035 000004eb
2022-03-10 16:24:59.548071 False [   90622.366629] 0003 0035 000004eb
2022-03-10 16:24:59.561840 False [   90622.383057] 0003 0035 000004eb
2022-03-10 16:24:59.583009 False [   90622.401910] 0003 0035 000004eb
2022-03-10 16:24:59.597867 False [   90622.416931] 0003 0035 000004eb
2022-03-10 16:24:59.613948 False [   90622.433529] 0003 0035 000004eb
2022-03-10 16:25:02.802604 False [   90625.619813] 0003 0035 00000012
2022-03-10 16:25:02.814968 False [   90625.635985] 0003 0035 00000012
2022-03-10 16:25:02.833202 False [   90625.653534] 0003 0035 00000012
2022-03-10 16:25:02.850204 False [   90625.670316] 0003 0035 00000012
2022-03-10 16:25:02.868321 False [   90625.687207] 0003 0035 00000012
2022-03-10 16:25:02.883331 False [   90625.703726] 0003 0035 00000012
2022-03-10 16:25:02.901544 False [   90625.720344] 0003 0035 00000012
2022-03-10 16:25:05.920781 False [   90628.738343] 0003 0035 00000041
2022-03-10 16:25:05.936743 False [   90628.755631] 0003 0035 00000041
2022-03-10 16:25:05.952352 False [   90628.772384] 0003 0035 00000041
2022-03-10 16:25:05.968193 False [   90628.788167] 0003 0035 00000041
2022-03-10 16:25:05.985266 False [   90628.804876] 0003 0035 00000041
2022-03-10 16:25:06.004337 False [   90628.822018] 0003 0035 0000003c
2022-03-10 16:25:06.021379 False [   90628.839359] 0003 0035 00000037
2022-03-10 16:25:06.039726 False [   90628.856127] 0003 0035 00000032
2022-03-10 16:25:06.054323 False [   90628.872144] 0003 0035 0000002d
2022-03-10 16:25:06.068867 False [   90628.889434] 0003 0035 00000029
2022-03-10 16:25:06.088038 False [   90628.906026] 0003 0035 00000026
2022-03-10 16:25:06.103226 False [   90628.923121] 0003 0035 00000024
2022-03-10 16:25:06.122080 False [   90628.940302] 0003 0035 00000024
2022-03-10 16:25:06.140985 False [   90628.957074] 0003 0035 00000024
2022-03-10 16:25:06.159151 False [   90628.973726] 0003 0035 00000024
2022-03-10 16:25:06.171830 False [   90628.990464] 0003 0035 00000024
2022-03-10 16:25:09.173902 False [   90631.991499] 0003 0035 00000088
2022-03-10 16:25:09.189213 False [   90632.007939] 0003 0035 00000088
2022-03-10 16:25:09.207398 False [   90632.025295] 0003 0035 00000088
2022-03-10 16:25:09.221755 False [   90632.041908] 0003 0035 00000088
2022-03-10 16:25:09.239415 False [   90632.058689] 0003 0035 00000088
2022-03-10 16:25:09.257791 False [   90632.075628] 0003 0035 00000088
2022-03-10 16:25:09.273599 False [   90632.093058] 0003 0035 00000088
2022-03-10 16:25:09.291135 False [   90632.109365] 0003 0035 00000086
2022-03-10 16:25:09.308236 False [   90632.126285] 0003 0035 00000083
2022-03-10 16:25:09.326190 False [   90632.144320] 0003 0035 00000080
2022-03-10 16:25:09.338492 False [   90632.159386] 0003 0035 0000007b
2022-03-10 16:25:09.357397 False [   90632.177627] 0003 0035 00000074
2022-03-10 16:25:09.375395 False [   90632.193484] 0003 0035 00000069
