Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.314948854366252 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:51:11.713503 False [     148.077392] 0003 0035 00000094
2022-03-10 16:51:11.730114 False [     148.094118] 0003 0035 00000094
2022-03-10 16:51:11.747014 False [     148.111094] 0003 0035 00000094
2022-03-10 16:51:11.764551 False [     148.128139] 0003 0035 00000091
2022-03-10 16:51:11.781154 False [     148.144951] 0003 0035 00000091
2022-03-10 16:51:11.797965 False [     148.162277] 0003 0035 0000008c
2022-03-10 16:51:16.966693 False [     153.330877] 0003 0035 00000087
2022-03-10 16:51:16.982182 False [     153.346368] 0003 0035 00000087
2022-03-10 16:51:16.999445 False [     153.363405] 0003 0035 00000087
2022-03-10 16:51:17.016114 False [     153.380314] 0003 0035 00000087
2022-03-10 16:51:17.033317 False [     153.397291] 0003 0035 00000087
2022-03-10 16:51:17.050949 False [     153.414209] 0003 0035 00000087
2022-03-10 16:51:17.067664 False [     153.431134] 0003 0035 00000087
2022-03-10 16:51:17.084365 False [     153.448084] 0003 0035 00000087
2022-03-10 16:51:17.100974 False [     153.465039] 0003 0035 00000087
2022-03-10 16:51:17.118092 False [     153.481997] 0003 0035 00000087
2022-03-10 16:51:17.135385 False [     153.499128] 0003 0035 00000087
2022-03-10 16:51:17.153007 False [     153.515846] 0003 0035 00000087
2022-03-10 16:51:17.169025 False [     153.532827] 0003 0035 00000087
2022-03-10 16:51:17.185870 False [     153.549729] 0003 0035 00000089
2022-03-10 16:51:17.202101 False [     153.566745] 0003 0035 0000008d
2022-03-10 16:51:17.219945 False [     153.583602] 0003 0035 00000091
2022-03-10 16:51:17.236737 False [     153.600644] 0003 0035 00000096
2022-03-10 16:51:17.253440 False [     153.617441] 0003 0035 0000009d
2022-03-10 16:51:17.270735 False [     153.634402] 0003 0035 000000a6
2022-03-10 16:51:17.287257 False [     153.651442] 0003 0035 000000ae
2022-03-10 16:51:17.304135 False [     153.668372] 0003 0035 000000b6
2022-03-10 16:51:17.322005 False [     153.685866] 0003 0035 000000bc
2022-03-10 16:51:17.338197 False [     153.702226] 0003 0035 000000c1
2022-03-10 16:51:17.356062 False [     153.719962] 0003 0035 000000c6
2022-03-10 16:51:17.372892 False [     153.736920] 0003 0035 000000cb
2022-03-10 16:51:17.389412 False [     153.753111] 0003 0035 000000cf
2022-03-10 16:51:17.406185 False [     153.770036] 0003 0035 000000d3
2022-03-10 16:51:17.422978 False [     153.787343] 0003 0035 000000d9
2022-03-10 16:51:17.439588 False [     153.803898] 0003 0035 000000e4
2022-03-10 16:51:17.457321 False [     153.820804] 0003 0035 000000f5
2022-03-10 16:51:17.473873 False [     153.837715] 0003 0035 00000108
2022-03-10 16:51:17.490535 False [     153.854703] 0003 0035 00000119
2022-03-10 16:51:17.507535 False [     153.871606] 0003 0035 00000127
2022-03-10 16:51:17.524410 False [     153.888654] 0003 0035 00000131
2022-03-10 16:51:17.541407 False [     153.905566] 0003 0035 0000013d
2022-03-10 16:51:17.558324 False [     153.922465] 0003 0035 0000014d
2022-03-10 16:51:17.575200 False [     153.939361] 0003 0035 0000015e
2022-03-10 16:51:17.592701 False [     153.956338] 0003 0035 0000016e
2022-03-10 16:51:17.609841 False [     153.973571] 0003 0035 0000017c
2022-03-10 16:51:17.626095 False [     153.990362] 0003 0035 00000187
2022-03-10 16:51:17.643730 False [     154.007396] 0003 0035 00000190
2022-03-10 16:51:17.660343 False [     154.024313] 0003 0035 00000199
2022-03-10 16:51:17.676902 False [     154.041056] 0003 0035 000001a1
2022-03-10 16:51:17.694703 False [     154.058277] 0003 0035 000001a8
2022-03-10 16:51:17.711259 False [     154.075016] 0003 0035 000001b1
2022-03-10 16:51:17.727463 False [     154.091955] 0003 0035 000001bc
2022-03-10 16:51:17.747915 False [     154.109193] 0003 0035 000001c7
2022-03-10 16:51:17.761681 False [     154.125762] 0003 0035 000001d1
2022-03-10 16:51:17.779490 False [     154.143444] 0003 0035 000001d9
2022-03-10 16:51:17.795776 False [     154.159691] 0003 0035 000001e0
2022-03-10 16:51:17.812635 False [     154.176737] 0003 0035 000001e6
2022-03-10 16:51:17.830061 False [     154.193596] 0003 0035 000001e6
2022-03-10 16:51:17.846206 False [     154.210470] 0003 0035 000001e6
2022-03-10 16:51:17.863587 False [     154.227394] 0003 0035 000001ea
2022-03-10 16:51:17.880578 False [     154.244331] 0003 0035 000001ea
2022-03-10 16:51:17.897321 False [     154.261344] 0003 0035 000001ea
2022-03-10 16:51:17.914524 False [     154.278317] 0003 0035 000001ee
2022-03-10 16:51:17.931308 False [     154.295385] 0003 0035 000001ee
2022-03-10 16:51:17.948980 False [     154.312327] 0003 0035 000001f1
2022-03-10 16:51:17.965502 False [     154.329035] 0003 0035 000001f1
2022-03-10 16:51:17.982241 False [     154.345988] 0003 0035 000001f4
2022-03-10 16:51:17.998785 False [     154.362941] 0003 0035 000001f4
2022-03-10 16:51:18.016723 False [     154.380000] 0003 0035 000001f7
2022-03-10 16:51:18.033087 False [     154.396884] 0003 0035 000001f7
2022-03-10 16:51:18.050274 False [     154.413757] 0003 0035 000001fa
2022-03-10 16:51:18.066581 False [     154.430729] 0003 0035 000001fa
2022-03-10 16:51:18.083660 False [     154.447597] 0003 0035 00000200
2022-03-10 16:51:18.100358 False [     154.464511] 0003 0035 00000205
2022-03-10 16:51:18.117329 False [     154.481519] 0003 0035 0000020c
2022-03-10 16:51:18.135021 False [     154.498459] 0003 0035 00000214
2022-03-10 16:51:18.151352 False [     154.515392] 0003 0035 0000021c
2022-03-10 16:51:18.168253 False [     154.532207] 0003 0035 00000224
2022-03-10 16:51:18.559345 False [     154.922689] 0003 0035 000000d7
2022-03-10 16:51:18.575004 True [     154.939020] 0003 0035 000000d7
2022-03-10 16:51:18.592231 True [     154.956330] 0003 0035 000000d7
2022-03-10 16:51:18.609191 True [     154.972857] 0003 0035 000000d7
2022-03-10 16:51:18.626114 True [     154.989979] 0003 0035 000000d7
2022-03-10 16:51:18.642880 True [     155.006749] 0003 0035 000000d7
2022-03-10 16:51:18.660545 True [     155.023955] 0003 0035 000000d7
2022-03-10 16:51:18.677117 True [     155.040687] 0003 0035 000000d7
2022-03-10 16:51:18.693465 True [     155.057582] 0003 0035 000000d4
2022-03-10 16:51:18.710378 True [     155.074620] 0003 0035 000000d4
2022-03-10 16:51:18.727930 True [     155.091889] 0003 0035 000000d4
2022-03-10 16:51:18.728926 True [     155.091889] 0003 0035 000000e2
2022-03-10 16:51:18.744799 False [     155.108529] 0003 0035 000000d4
2022-03-10 16:51:18.745156 True [     155.108529] 0003 0035 000000e5
2022-03-10 16:51:18.761700 False [     155.125450] 0003 0035 000000d4
2022-03-10 16:51:18.778165 True [     155.142324] 0003 0035 000000d4
2022-03-10 16:51:18.795196 True [     155.159224] 0003 0035 000000d4
2022-03-10 16:51:18.812748 True [     155.176413] 0003 0035 000000d8
2022-03-10 16:51:18.830155 True [     155.193382] 0003 0035 000000dd
2022-03-10 16:51:18.847511 True [     155.210160] 0003 0035 000000e1
2022-03-10 16:51:18.863291 True [     155.227041] 0003 0035 000000e6
2022-03-10 16:51:18.880051 True [     155.244117] 0003 0035 000000ea
2022-03-10 16:51:18.897111 True [     155.260961] 0003 0035 000000ea
2022-03-10 16:51:18.914504 True [     155.278071] 0003 0035 000000ee
2022-03-10 16:51:18.931050 True [     155.294819] 0003 0035 000000ee
2022-03-10 16:51:18.947803 True [     155.311867] 0003 0035 000000ee
2022-03-10 16:51:18.964644 True [     155.328914] 0003 0035 000000f3
2022-03-10 16:51:18.981332 False [     155.345589] 0003 0035 000000f3
2022-03-10 16:51:18.999004 True [     155.363157] 0003 0035 000000f7
2022-03-10 16:51:19.015200 False [     155.379635] 0003 0035 000000fb
2022-03-10 16:51:19.033536 False [     155.397149] 0003 0035 000000ff
2022-03-10 16:51:19.051169 False [     155.413537] 0003 0035 00000104
2022-03-10 16:51:19.066425 False [     155.430358] 0003 0035 00000109
