Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.314948854366252 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:52:33.995867 True [     230.357541] 0003 0035 000000da
2022-03-10 16:52:34.012376 True [     230.374312] 0003 0035 000000da
2022-03-10 16:52:34.028128 True [     230.390698] 0003 0035 000000da
2022-03-10 16:52:34.045061 True [     230.407428] 0003 0035 000000da
2022-03-10 16:52:34.063607 True [     230.424600] 0003 0035 000000da
2022-03-10 16:52:34.079188 True [     230.441641] 0003 0035 000000da
2022-03-10 16:52:34.096774 True [     230.458514] 0003 0035 000000da
2022-03-10 16:52:34.113607 True [     230.475257] 0003 0035 000000da
2022-03-10 16:52:34.130245 True [     230.492307] 0003 0035 000000da
2022-03-10 16:52:34.147944 True [     230.509545] 0003 0035 000000da
2022-03-10 16:52:34.165220 True [     230.526145] 0003 0035 000000de
2022-03-10 16:52:34.182594 True [     230.543144] 0003 0035 000000e2
2022-03-10 16:52:34.199039 True [     230.560167] 0003 0035 000000e6
2022-03-10 16:52:34.215197 True [     230.577081] 0003 0035 000000eb
2022-03-10 16:52:34.232447 True [     230.594056] 0003 0035 000000f2
2022-03-10 16:52:34.249108 True [     230.610866] 0003 0035 000000fa
2022-03-10 16:52:34.266716 True [     230.627825] 0003 0035 00000103
2022-03-10 16:52:34.283646 True [     230.644805] 0003 0035 0000010b
2022-03-10 16:52:34.316585 True [     230.679552] 0003 0035 00000111
2022-03-10 16:52:34.333350 True [     230.695726] 0003 0035 00000118
2022-03-10 16:52:34.350467 True [     230.712751] 0003 0035 0000011e
2022-03-10 16:52:34.367650 True [     230.729578] 0003 0035 00000124
2022-03-10 16:52:34.384323 True [     230.746437] 0003 0035 00000129
2022-03-10 16:52:34.405916 True [     230.763600] 0003 0035 0000012d
2022-03-10 16:52:34.417650 True [     230.780394] 0003 0035 00000131
2022-03-10 16:52:34.435710 True [     230.797382] 0003 0035 00000135
2022-03-10 16:52:34.453058 True [     230.814321] 0003 0035 00000135
2022-03-10 16:52:34.469873 True [     230.831198] 0003 0035 00000139
2022-03-10 16:52:34.486236 True [     230.848189] 0003 0035 00000139
2022-03-10 16:52:34.503734 True [     230.865189] 0003 0035 0000013d
2022-03-10 16:52:34.519618 True [     230.882086] 0003 0035 00000141
2022-03-10 16:52:34.536416 True [     230.898881] 0003 0035 00000145
2022-03-10 16:52:34.553907 True [     230.915911] 0003 0035 0000014c
2022-03-10 16:52:34.572886 True [     230.933310] 0003 0035 00000154
2022-03-10 16:52:34.588663 True [     230.950370] 0003 0035 0000015d
2022-03-10 16:52:34.605826 True [     230.966686] 0003 0035 00000166
2022-03-10 16:52:34.621034 True [     230.983584] 0003 0035 0000016e
2022-03-10 16:52:34.638323 True [     231.000873] 0003 0035 00000175
2022-03-10 16:52:34.655643 True [     231.017937] 0003 0035 0000017b
2022-03-10 16:52:34.673180 True [     231.034955] 0003 0035 0000017f
2022-03-10 16:52:34.691251 True [     231.051589] 0003 0035 0000017f
2022-03-10 16:52:34.691251 True [     231.051589] 0003 0035 0000019d
2022-03-10 16:52:34.707380 False [     231.068608] 0003 0035 0000017f
2022-03-10 16:52:34.707380 True [     231.068608] 0003 0035 0000019d
2022-03-10 16:52:34.723847 True [     231.085679] 0003 0035 00000183
2022-03-10 16:52:34.723847 True [     231.085679] 0003 0035 0000019b
2022-03-10 16:52:34.740320 True [     231.102251] 0003 0035 00000187
2022-03-10 16:52:34.740320 True [     231.102251] 0003 0035 0000019b
2022-03-10 16:52:34.756408 True [     231.119260] 0003 0035 00000187
2022-03-10 16:52:34.774556 True [     231.136395] 0003 0035 0000018b
2022-03-10 16:52:34.793818 True [     231.153360] 0003 0035 0000018b
2022-03-10 16:52:34.809020 True [     231.170332] 0003 0035 0000018f
2022-03-10 16:52:34.824990 True [     231.187288] 0003 0035 00000192
2022-03-10 16:52:34.842662 True [     231.204473] 0003 0035 00000195
2022-03-10 16:52:34.859379 True [     231.221205] 0003 0035 00000195
2022-03-10 16:52:34.876275 True [     231.238049] 0003 0035 00000198
