Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.2073315172466106 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-12 15:25:38.845507 False [   13875.462119] 0003 0035 0000002a
2022-03-12 15:25:38.863413 False [   13875.479606] 0003 0035 0000002a
2022-03-12 15:25:38.878964 False [   13875.495524] 0003 0035 0000002a
2022-03-12 15:25:38.895799 False [   13875.512054] 0003 0035 0000002a
2022-03-12 15:25:38.912710 False [   13875.529842] 0003 0035 0000002a
2022-03-12 15:25:38.928671 False [   13875.546573] 0003 0035 0000002a
2022-03-12 15:25:38.947749 False [   13875.563694] 0003 0035 0000002a
2022-03-12 15:25:38.963720 False [   13875.581628] 0003 0035 0000002a
2022-03-12 15:25:38.980682 False [   13875.598108] 0003 0035 0000002a
2022-03-12 15:25:38.997371 False [   13875.614693] 0003 0035 0000002a
2022-03-12 15:25:39.014567 False [   13875.631526] 0003 0035 0000002a
2022-03-12 15:25:39.031788 False [   13875.648839] 0003 0035 00000032
2022-03-12 15:25:39.048821 False [   13875.665260] 0003 0035 0000003b
2022-03-12 15:25:39.066318 False [   13875.683391] 0003 0035 00000045
2022-03-12 15:25:39.083606 False [   13875.700394] 0003 0035 0000004f
2022-03-12 15:25:39.097571 False [   13875.715034] 0003 0035 00000058
2022-03-12 15:25:39.115872 False [   13875.732687] 0003 0035 00000060
2022-03-12 15:25:39.132767 False [   13875.749537] 0003 0035 00000066
2022-03-12 15:25:39.150610 False [   13875.766928] 0003 0035 0000006b
2022-03-12 15:25:39.165825 False [   13875.783456] 0003 0035 0000006f
2022-03-12 15:25:39.183716 False [   13875.801414] 0003 0035 00000073
2022-03-12 15:25:39.201377 False [   13875.818356] 0003 0035 00000073
2022-03-12 15:25:39.218616 False [   13875.835229] 0003 0035 00000078
2022-03-12 15:25:39.234721 False [   13875.851801] 0003 0035 00000078
2022-03-12 15:25:39.252586 False [   13875.868871] 0003 0035 0000007c
2022-03-12 15:25:39.268178 False [   13875.885189] 0003 0035 00000080
2022-03-12 15:25:39.286365 False [   13875.902818] 0003 0035 00000086
2022-03-12 15:25:39.303203 False [   13875.919730] 0003 0035 0000008d
2022-03-12 15:25:39.321112 False [   13875.937081] 0003 0035 00000096
2022-03-12 15:25:39.337061 False [   13875.954319] 0003 0035 000000a1
2022-03-12 15:25:39.354362 False [   13875.970916] 0003 0035 000000ad
2022-03-12 15:25:39.370985 True [   13875.987664] 0003 0035 000000b8
2022-03-12 15:25:39.388045 True [   13876.005164] 0003 0035 000000c1
2022-03-12 15:25:39.405870 True [   13876.021900] 0003 0035 000000c9
2022-03-12 15:25:39.421409 True [   13876.038620] 0003 0035 000000d0
2022-03-12 15:25:39.438659 True [   13876.055376] 0003 0035 000000d6
2022-03-12 15:25:39.455856 True [   13876.072778] 0003 0035 000000da
2022-03-12 15:25:39.472475 True [   13876.089307] 0003 0035 000000da
2022-03-12 15:25:39.489551 True [   13876.106394] 0003 0035 000000da
2022-03-12 15:25:39.506097 True [   13876.123033] 0003 0035 000000da
2022-03-12 15:25:39.522459 True [   13876.139564] 0003 0035 000000da
