Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 3.062645015110699 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-12 15:29:24.238463 False [   14100.851205] 0003 0036 0000002f
2022-03-12 15:29:24.256593 False [   14100.868325] 0003 0035 000004ce
2022-03-12 15:29:24.256593 False [   14100.868325] 0003 0036 0000002f
2022-03-12 15:29:24.272767 False [   14100.885261] 0003 0035 000004ce
2022-03-12 15:29:24.272767 False [   14100.885261] 0003 0036 0000002f
2022-03-12 15:29:24.289251 False [   14100.901934] 0003 0035 000004ce
2022-03-12 15:29:24.289251 False [   14100.901934] 0003 0036 0000002f
2022-03-12 15:29:24.306381 False [   14100.918909] 0003 0035 000004ce
2022-03-12 15:29:24.306381 False [   14100.918909] 0003 0036 0000002f
2022-03-12 15:29:24.323135 False [   14100.935746] 0003 0035 000004ce
2022-03-12 15:29:24.323135 False [   14100.935746] 0003 0036 0000002f
2022-03-12 15:29:24.340856 False [   14100.951938] 0003 0035 000004ce
2022-03-12 15:29:24.340856 False [   14100.951938] 0003 0036 0000002f
2022-03-12 15:29:27.032736 False [   14103.644953] 0003 0035 000003c2
2022-03-12 15:29:27.032736 False [   14103.644953] 0003 0036 000000ae
2022-03-12 15:29:27.049406 False [   14103.662098] 0003 0035 000003c2
2022-03-12 15:29:27.049406 False [   14103.662098] 0003 0036 000000ae
2022-03-12 15:29:27.066291 False [   14103.678799] 0003 0035 000003c2
2022-03-12 15:29:27.066291 False [   14103.678799] 0003 0036 000000ae
2022-03-12 15:29:27.083213 False [   14103.695698] 0003 0035 000003c2
2022-03-12 15:29:27.083213 False [   14103.695698] 0003 0036 000000ae
2022-03-12 15:29:27.101004 False [   14103.712918] 0003 0035 000003c2
2022-03-12 15:29:27.101004 False [   14103.712918] 0003 0036 000000ae
2022-03-12 15:29:27.118773 False [   14103.730489] 0003 0035 000003c2
2022-03-12 15:29:27.118773 False [   14103.730489] 0003 0036 000000ae
2022-03-12 15:29:27.135765 False [   14103.746629] 0003 0035 000003c2
2022-03-12 15:29:27.135765 False [   14103.746629] 0003 0036 000000ae
2022-03-12 15:29:28.302264 False [   14104.915132] 0003 0035 000003bc
2022-03-12 15:29:28.303197 True [   14104.915132] 0003 0036 000001b7
2022-03-12 15:29:28.319970 True [   14104.932563] 0003 0035 000003bc
2022-03-12 15:29:28.319970 True [   14104.932563] 0003 0036 000001b7
2022-03-12 15:29:28.336126 True [   14104.948709] 0003 0035 000003bc
2022-03-12 15:29:28.336126 True [   14104.948709] 0003 0036 000001b7
2022-03-12 15:29:28.353696 True [   14104.965971] 0003 0035 000003bc
2022-03-12 15:29:28.353696 True [   14104.965971] 0003 0036 000001b7
2022-03-12 15:29:28.370590 True [   14104.982718] 0003 0035 000003bc
2022-03-12 15:29:28.370590 True [   14104.982718] 0003 0036 000001b7
2022-03-12 15:29:28.387039 True [   14104.999414] 0003 0035 000003bc
2022-03-12 15:29:28.387039 True [   14104.999414] 0003 0036 000001b7
2022-03-12 15:29:28.404223 True [   14105.016611] 0003 0035 000003bc
2022-03-12 15:29:28.404223 True [   14105.016611] 0003 0036 000001b7
2022-03-12 15:29:29.812295 True [   14106.423886] 0003 0035 0000030e
2022-03-12 15:29:29.812295 True [   14106.423886] 0003 0036 000001d0
2022-03-12 15:29:29.826972 True [   14106.439449] 0003 0035 0000030e
2022-03-12 15:29:29.826972 True [   14106.439449] 0003 0036 000001d0
2022-03-12 15:29:29.844690 True [   14106.456383] 0003 0035 0000030e
2022-03-12 15:29:29.844690 True [   14106.456383] 0003 0036 000001d0
2022-03-12 15:29:29.863314 True [   14106.473696] 0003 0035 0000030e
2022-03-12 15:29:29.863314 True [   14106.473696] 0003 0036 000001d0
2022-03-12 15:29:29.878038 True [   14106.490345] 0003 0035 0000030e
2022-03-12 15:29:29.878038 True [   14106.490345] 0003 0036 000001d0
2022-03-12 15:29:29.894582 True [   14106.506878] 0003 0035 0000030e
2022-03-12 15:29:29.894582 True [   14106.506878] 0003 0036 000001d0
2022-03-12 15:29:30.607426 False [   14107.219742] 0003 0035 000004b2
2022-03-12 15:29:30.607426 False [   14107.219742] 0003 0036 0000001e
2022-03-12 15:29:30.623226 False [   14107.235443] 0003 0035 000004b2
2022-03-12 15:29:30.625221 False [   14107.235443] 0003 0036 0000001e
2022-03-12 15:29:30.640205 False [   14107.252409] 0003 0035 000004b2
2022-03-12 15:29:30.640205 False [   14107.252409] 0003 0036 0000001e
2022-03-12 15:29:30.657436 False [   14107.269614] 0003 0035 000004b2
2022-03-12 15:29:30.657436 False [   14107.269614] 0003 0036 0000001e
2022-03-12 15:29:30.676182 False [   14107.286955] 0003 0035 000004b2
2022-03-12 15:29:30.676182 False [   14107.286955] 0003 0036 0000001e
2022-03-12 15:29:30.691171 False [   14107.304080] 0003 0035 000004b2
2022-03-12 15:29:30.691171 False [   14107.304080] 0003 0036 0000001e
2022-03-12 15:29:30.708636 False [   14107.320125] 0003 0035 000004b2
2022-03-12 15:29:30.709667 False [   14107.320125] 0003 0036 0000001e
2022-03-12 15:29:32.825787 False [   14109.438408] 0003 0035 0000038c
2022-03-12 15:29:32.825787 False [   14109.438408] 0003 0036 000000b5
2022-03-12 15:29:32.841810 False [   14109.454567] 0003 0035 0000038c
2022-03-12 15:29:32.841810 False [   14109.454567] 0003 0036 000000b5
2022-03-12 15:29:32.858303 False [   14109.471195] 0003 0035 0000038c
2022-03-12 15:29:32.859312 False [   14109.471195] 0003 0036 000000b5
2022-03-12 15:29:32.875972 False [   14109.488065] 0003 0035 0000038c
2022-03-12 15:29:32.875972 False [   14109.488065] 0003 0036 000000b5
2022-03-12 15:29:32.893046 False [   14109.505533] 0003 0035 0000038c
2022-03-12 15:29:32.893046 False [   14109.505533] 0003 0036 000000b5
2022-03-12 15:29:34.535907 False [   14111.148694] 0003 0035 0000030e
2022-03-12 15:29:34.536916 True [   14111.148694] 0003 0036 000001ac
2022-03-12 15:29:34.553194 True [   14111.165708] 0003 0035 0000030e
2022-03-12 15:29:34.553194 True [   14111.165708] 0003 0036 000001ac
2022-03-12 15:29:34.571808 True [   14111.182232] 0003 0035 0000030e
2022-03-12 15:29:34.571808 True [   14111.182232] 0003 0036 000001ac
2022-03-12 15:29:34.588035 True [   14111.198972] 0003 0035 0000030e
2022-03-12 15:29:34.588035 True [   14111.198972] 0003 0036 000001ac
2022-03-12 15:29:34.603604 True [   14111.216092] 0003 0035 0000030e
2022-03-12 15:29:34.603604 True [   14111.216092] 0003 0036 000001ac
2022-03-12 15:29:35.942313 True [   14112.554583] 0003 0035 0000019d
2022-03-12 15:29:35.942313 False [   14112.554583] 0003 0036 00000297
2022-03-12 15:29:35.959475 False [   14112.571241] 0003 0035 0000019d
2022-03-12 15:29:35.959475 False [   14112.571241] 0003 0036 00000297
2022-03-12 15:29:35.975458 False [   14112.587894] 0003 0035 0000019d
2022-03-12 15:29:35.975458 False [   14112.587894] 0003 0036 00000297
2022-03-12 15:29:35.975458 False [   14112.587894] 0003 0035 000000f0
2022-03-12 15:29:35.975458 False [   14112.587894] 0003 0036 00000296
2022-03-12 15:29:35.995151 False [   14112.605032] 0003 0035 0000019d
2022-03-12 15:29:35.995151 False [   14112.605032] 0003 0036 00000297
2022-03-12 15:29:35.995151 False [   14112.605032] 0003 0035 000000f0
2022-03-12 15:29:35.995151 False [   14112.605032] 0003 0036 00000296
2022-03-12 15:29:36.009396 False [   14112.621702] 0003 0035 0000019d
2022-03-12 15:29:36.009396 False [   14112.621702] 0003 0036 00000297
2022-03-12 15:29:36.009396 False [   14112.621702] 0003 0035 000000f0
2022-03-12 15:29:36.009396 False [   14112.621702] 0003 0036 00000296
2022-03-12 15:29:36.027025 False [   14112.638856] 0003 0035 0000019d
2022-03-12 15:29:36.027025 False [   14112.638856] 0003 0036 00000297
2022-03-12 15:29:36.027025 False [   14112.638856] 0003 0035 000000f0
2022-03-12 15:29:36.027025 False [   14112.638856] 0003 0036 00000296
2022-03-12 15:29:36.043727 False [   14112.655513] 0003 0035 0000019d
2022-03-12 15:29:36.043727 False [   14112.655513] 0003 0036 00000297
2022-03-12 15:29:36.043727 False [   14112.655513] 0003 0035 000000f0
2022-03-12 15:29:36.043727 False [   14112.655513] 0003 0036 00000296
2022-03-12 15:29:36.060370 False [   14112.672493] 0003 0035 0000019d
2022-03-12 15:29:36.060370 False [   14112.672493] 0003 0036 00000297
2022-03-12 15:29:36.060370 False [   14112.672493] 0003 0035 000000f0
2022-03-12 15:29:36.060370 False [   14112.672493] 0003 0036 00000296
2022-03-12 15:29:36.077194 False [   14112.689370] 0003 0035 0000019d
2022-03-12 15:29:36.077194 False [   14112.689370] 0003 0036 00000297
2022-03-12 15:29:36.077194 False [   14112.689370] 0003 0035 000000f0
2022-03-12 15:29:36.077194 False [   14112.689370] 0003 0036 00000296
2022-03-12 15:29:36.096212 False [   14112.707060] 0003 0035 000001a2
2022-03-12 15:29:36.096212 False [   14112.707060] 0003 0036 00000297
2022-03-12 15:29:36.096212 False [   14112.707060] 0003 0035 000000ec
2022-03-12 15:29:36.096212 False [   14112.707060] 0003 0036 00000296
2022-03-12 15:29:36.112880 False [   14112.723201] 0003 0035 000001a9
2022-03-12 15:29:36.112880 False [   14112.723201] 0003 0036 00000299
2022-03-12 15:29:36.112880 False [   14112.723201] 0003 0035 000000e8
2022-03-12 15:29:36.113871 False [   14112.723201] 0003 0036 00000296
2022-03-12 15:29:36.129825 False [   14112.740130] 0003 0035 000001b1
2022-03-12 15:29:36.129825 False [   14112.740130] 0003 0036 0000029b
2022-03-12 15:29:36.129825 False [   14112.740130] 0003 0035 000000e8
2022-03-12 15:29:36.129825 False [   14112.740130] 0003 0036 00000296
2022-03-12 15:29:36.146604 False [   14112.757066] 0003 0035 000001b9
