Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.48737622266180847 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:06:02.048547 True [   18139.140618] 0003 0036 000001f6
2022-03-16 15:06:02.056553 True [   18139.156986] 0003 0035 00000434
2022-03-16 15:06:02.057549 True [   18139.156986] 0003 0036 000001f6
2022-03-16 15:06:02.074177 True [   18139.173836] 0003 0035 00000434
2022-03-16 15:06:02.074177 True [   18139.173836] 0003 0036 000001f6
2022-03-16 15:06:02.090616 True [   18139.190964] 0003 0035 00000434
2022-03-16 15:06:02.090616 True [   18139.190964] 0003 0036 000001f6
2022-03-16 15:06:02.106830 True [   18139.207411] 0003 0035 00000434
2022-03-16 15:06:02.106830 True [   18139.207411] 0003 0036 000001f6
2022-03-16 15:06:02.124986 True [   18139.224982] 0003 0035 00000434
2022-03-16 15:06:02.124986 True [   18139.224982] 0003 0036 000001f6
2022-03-16 15:06:02.141272 True [   18139.241343] 0003 0035 00000434
2022-03-16 15:06:02.141272 True [   18139.241343] 0003 0036 000001f6
2022-03-16 15:06:02.157451 True [   18139.258139] 0003 0035 00000434
2022-03-16 15:06:02.158419 True [   18139.258139] 0003 0036 000001f6
2022-03-16 15:06:02.173896 True [   18139.274294] 0003 0035 00000434
2022-03-16 15:06:02.173896 True [   18139.274294] 0003 0036 000001f6
2022-03-16 15:06:02.191670 True [   18139.291222] 0003 0035 00000434
2022-03-16 15:06:02.191670 True [   18139.291222] 0003 0036 000001f6
2022-03-16 15:06:02.209623 True [   18139.308968] 0003 0035 00000434
2022-03-16 15:06:02.209623 True [   18139.308968] 0003 0036 000001f6
2022-03-16 15:06:02.225854 True [   18139.325276] 0003 0035 00000430
2022-03-16 15:06:02.225854 True [   18139.325276] 0003 0036 000001f8
2022-03-16 15:06:02.242730 True [   18139.342568] 0003 0035 0000042a
2022-03-16 15:06:02.242730 True [   18139.342568] 0003 0036 000001f8
2022-03-16 15:06:02.259749 True [   18139.359486] 0003 0035 0000041f
2022-03-16 15:06:02.259749 True [   18139.359486] 0003 0036 000001f8
2022-03-16 15:06:02.275782 True [   18139.375945] 0003 0035 00000411
2022-03-16 15:06:02.275782 True [   18139.375945] 0003 0036 000001f8
2022-03-16 15:06:02.294742 True [   18139.394722] 0003 0035 00000402
2022-03-16 15:06:02.294742 True [   18139.394722] 0003 0036 000001f8
2022-03-16 15:06:02.310219 True [   18139.410262] 0003 0035 000003f4
2022-03-16 15:06:02.310219 True [   18139.410262] 0003 0036 000001f8
2022-03-16 15:06:02.326121 True [   18139.426442] 0003 0035 000003e7
2022-03-16 15:06:02.326121 True [   18139.426442] 0003 0036 000001f8
2022-03-16 15:06:02.343924 True [   18139.444250] 0003 0035 000003db
2022-03-16 15:06:02.343924 True [   18139.444250] 0003 0036 000001f8
2022-03-16 15:06:02.360667 True [   18139.461198] 0003 0035 000003cd
2022-03-16 15:06:02.360667 True [   18139.461198] 0003 0036 000001f8
2022-03-16 15:06:02.377317 True [   18139.477679] 0003 0035 000003bc
2022-03-16 15:06:02.377317 True [   18139.477679] 0003 0036 000001f8
2022-03-16 15:06:02.393995 True [   18139.494577] 0003 0035 000003ab
2022-03-16 15:06:02.393995 True [   18139.494577] 0003 0036 000001f8
2022-03-16 15:06:02.411805 True [   18139.511974] 0003 0035 0000039b
2022-03-16 15:06:02.411805 True [   18139.511974] 0003 0036 000001f8
2022-03-16 15:06:02.428899 True [   18139.529012] 0003 0035 0000038d
2022-03-16 15:06:02.428899 True [   18139.529012] 0003 0036 000001f8
2022-03-16 15:06:02.446124 True [   18139.546087] 0003 0035 00000382
2022-03-16 15:06:02.446124 True [   18139.546087] 0003 0036 000001f8
