Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.7653129007762625 
    wm_size = [1200 1920] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 15:12:56.426100 False [   18553.517403] 0003 0036 0000029e
2022-03-16 15:12:56.442544 False [   18553.533862] 0003 0035 0000046f
2022-03-16 15:12:56.442544 False [   18553.533862] 0003 0036 0000029e
2022-03-16 15:12:56.458477 False [   18553.550278] 0003 0035 0000046f
2022-03-16 15:12:56.458477 False [   18553.550278] 0003 0036 0000029e
2022-03-16 15:12:56.475427 False [   18553.566680] 0003 0035 0000046f
2022-03-16 15:12:56.475427 False [   18553.566680] 0003 0036 0000029e
2022-03-16 15:12:56.492404 False [   18553.583299] 0003 0035 0000046f
2022-03-16 15:12:56.492404 False [   18553.583299] 0003 0036 0000029e
2022-03-16 15:12:56.509797 False [   18553.600835] 0003 0035 0000046f
2022-03-16 15:12:56.509797 False [   18553.600835] 0003 0036 0000029e
2022-03-16 15:12:56.526750 False [   18553.617546] 0003 0035 0000046f
2022-03-16 15:12:56.526750 False [   18553.617546] 0003 0036 0000029e
2022-03-16 15:12:56.543709 False [   18553.634321] 0003 0035 0000046f
2022-03-16 15:12:56.543709 False [   18553.634321] 0003 0036 0000029e
2022-03-16 15:12:56.560674 False [   18553.650844] 0003 0035 0000046f
2022-03-16 15:12:56.560674 False [   18553.650844] 0003 0036 0000029e
2022-03-16 15:12:56.576674 False [   18553.668571] 0003 0035 0000046f
2022-03-16 15:12:56.576674 False [   18553.668571] 0003 0036 0000029e
2022-03-16 15:12:56.594569 False [   18553.685467] 0003 0035 0000046f
2022-03-16 15:12:56.594569 False [   18553.685467] 0003 0036 0000029e
2022-03-16 15:12:56.611667 False [   18553.702832] 0003 0035 0000046f
2022-03-16 15:12:56.611667 False [   18553.702832] 0003 0036 0000029e
2022-03-16 15:12:56.628871 False [   18553.719316] 0003 0035 0000046f
2022-03-16 15:12:56.628871 False [   18553.719316] 0003 0036 0000029e
2022-03-16 15:12:56.644865 False [   18553.736000] 0003 0035 0000046f
