Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.0931176187513074 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:18:47.686781 False [   18904.769557] 0003 0036 00000057
2022-03-16 15:18:47.704405 False [   18904.786348] 0003 0035 000004e5
2022-03-16 15:18:47.704405 False [   18904.786348] 0003 0036 00000057
2022-03-16 15:18:47.718835 False [   18904.802340] 0003 0035 000004e5
2022-03-16 15:18:47.718835 False [   18904.802340] 0003 0036 00000057
2022-03-16 15:18:47.736787 False [   18904.819343] 0003 0035 000004e5
2022-03-16 15:18:47.737801 False [   18904.819343] 0003 0036 00000057
2022-03-16 15:18:47.754258 False [   18904.837141] 0003 0035 000004e5
2022-03-16 15:18:47.754258 False [   18904.837141] 0003 0036 00000057
2022-03-16 15:18:47.768040 False [   18904.853944] 0003 0035 000004e5
2022-03-16 15:18:47.768040 False [   18904.853944] 0003 0036 00000057
2022-03-16 15:18:47.789297 False [   18904.870889] 0003 0035 000004e5
2022-03-16 15:18:47.789297 False [   18904.870889] 0003 0036 00000057
2022-03-16 15:18:47.806105 False [   18904.887708] 0003 0035 000004e5
2022-03-16 15:18:47.806105 False [   18904.887708] 0003 0036 00000057
2022-03-16 15:18:47.820984 False [   18904.904373] 0003 0035 000004e5
2022-03-16 15:18:47.820984 False [   18904.904373] 0003 0036 00000057
2022-03-16 15:18:47.839065 False [   18904.920630] 0003 0035 000004e5
2022-03-16 15:18:47.839065 False [   18904.920630] 0003 0036 00000057
2022-03-16 15:18:47.857469 False [   18904.938289] 0003 0035 000004e5
2022-03-16 15:18:47.857469 False [   18904.938289] 0003 0036 00000057
2022-03-16 15:18:47.873311 False [   18904.954512] 0003 0035 000004e8
2022-03-16 15:18:47.873311 False [   18904.954512] 0003 0036 0000005b
2022-03-16 15:18:47.889892 False [   18904.970929] 0003 0035 000004eb
2022-03-16 15:18:47.889892 False [   18904.970929] 0003 0036 0000005f
2022-03-16 15:18:47.905471 False [   18904.987844] 0003 0035 000004eb
2022-03-16 15:18:47.905471 False [   18904.987844] 0003 0036 0000005f
2022-03-16 15:18:47.923154 False [   18905.004964] 0003 0035 000004ee
2022-03-16 15:18:47.924150 False [   18905.004964] 0003 0036 00000063
2022-03-16 15:18:47.941677 False [   18905.021667] 0003 0035 000004ee
2022-03-16 15:18:47.941677 False [   18905.021667] 0003 0036 00000063
2022-03-16 15:18:47.956164 False [   18905.038648] 0003 0035 000004ee
2022-03-16 15:18:47.956164 False [   18905.038648] 0003 0036 00000063
2022-03-16 15:18:47.974890 False [   18905.055611] 0003 0035 000004ee
2022-03-16 15:18:47.974890 False [   18905.055611] 0003 0036 00000063
2022-03-16 15:18:47.988361 False [   18905.072554] 0003 0035 000004ee
2022-03-16 15:18:47.988361 False [   18905.072554] 0003 0036 00000063
2022-03-16 15:18:48.007734 False [   18905.089943] 0003 0035 000004ee
2022-03-16 15:18:48.007734 False [   18905.089943] 0003 0036 00000063
2022-03-16 15:18:48.023793 False [   18905.107201] 0003 0035 000004ee
2022-03-16 15:18:48.023793 False [   18905.107201] 0003 0036 00000063
2022-03-16 15:18:48.041937 False [   18905.123346] 0003 0035 000004f1
2022-03-16 15:18:48.041937 False [   18905.123346] 0003 0036 0000005d
2022-03-16 15:18:48.056306 False [   18905.140350] 0003 0035 000004f1
2022-03-16 15:18:48.056306 False [   18905.140350] 0003 0036 00000059
2022-03-16 15:18:48.076678 False [   18905.157276] 0003 0035 000004f1
2022-03-16 15:18:48.076678 False [   18905.157276] 0003 0036 00000055
2022-03-16 15:18:48.092752 False [   18905.174176] 0003 0035 000004f1
2022-03-16 15:18:48.094760 False [   18905.174176] 0003 0036 00000055
2022-03-16 15:18:48.109002 False [   18905.191320] 0003 0035 000004f1
2022-03-16 15:18:48.109002 False [   18905.191320] 0003 0036 00000055
2022-03-16 15:18:48.123402 False [   18905.208242] 0003 0035 000004f1
2022-03-16 15:18:48.123402 False [   18905.208242] 0003 0036 00000055
2022-03-16 15:18:48.143968 False [   18905.224991] 0003 0035 000004f1
2022-03-16 15:18:48.143968 False [   18905.224991] 0003 0036 00000055
2022-03-16 15:18:48.160886 False [   18905.241905] 0003 0035 000004f1
2022-03-16 15:18:48.160886 False [   18905.241905] 0003 0036 00000055
2022-03-16 15:18:48.173857 False [   18905.259559] 0003 0035 000004f1
2022-03-16 15:18:48.173857 False [   18905.259559] 0003 0036 0000005a
2022-03-16 15:18:48.192440 False [   18905.276557] 0003 0035 000004f1
2022-03-16 15:18:48.192440 False [   18905.276557] 0003 0036 00000060
2022-03-16 15:18:48.211158 False [   18905.293077] 0003 0035 000004f1
2022-03-16 15:18:48.211158 False [   18905.293077] 0003 0036 00000066
2022-03-16 15:18:48.224120 False [   18905.309776] 0003 0035 000004f1
2022-03-16 15:18:48.224120 False [   18905.309776] 0003 0036 0000006b
2022-03-16 15:18:48.244013 False [   18905.326553] 0003 0035 000004f1
2022-03-16 15:18:48.244013 False [   18905.326553] 0003 0036 0000006f
2022-03-16 15:18:48.258713 False [   18905.343508] 0003 0035 000004f1
2022-03-16 15:18:48.258713 False [   18905.343508] 0003 0036 0000006f
2022-03-16 15:18:48.278536 False [   18905.362004] 0003 0035 000004f1
2022-03-16 15:18:48.278536 False [   18905.362004] 0003 0036 0000006f
2022-03-16 15:18:48.296580 False [   18905.378545] 0003 0035 000004f1
2022-03-16 15:18:48.296580 False [   18905.378545] 0003 0036 0000006f
2022-03-16 15:18:48.312739 False [   18905.394807] 0003 0035 000004f1
2022-03-16 15:18:48.312739 False [   18905.394807] 0003 0036 0000006f
2022-03-16 15:18:48.331062 False [   18905.411515] 0003 0035 000004f1
2022-03-16 15:18:48.331062 False [   18905.411515] 0003 0036 0000006f
2022-03-16 15:18:48.344786 False [   18905.428970] 0003 0035 000004f1
2022-03-16 15:18:48.344786 False [   18905.428970] 0003 0036 0000006f
2022-03-16 15:18:48.365406 False [   18905.445993] 0003 0035 000004f1
2022-03-16 15:18:48.365406 False [   18905.445993] 0003 0036 0000006f
2022-03-16 15:18:48.379716 False [   18905.462732] 0003 0035 000004f1
2022-03-16 15:18:48.379716 False [   18905.462732] 0003 0036 0000006f
2022-03-16 15:18:48.398970 False [   18905.480471] 0003 0035 000004f1
