Mode = area stim
    verts = 22 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.97733540518634 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:26:55.755166 False [   19392.829775] 0003 0036 0000004c
2022-03-16 15:26:55.769848 False [   19392.846055] 0003 0035 00000427
2022-03-16 15:26:55.769848 False [   19392.846055] 0003 0036 0000004c
2022-03-16 15:26:55.787139 False [   19392.862720] 0003 0035 00000427
2022-03-16 15:26:55.787139 False [   19392.862720] 0003 0036 0000004c
2022-03-16 15:26:55.803417 False [   19392.879938] 0003 0035 00000427
2022-03-16 15:26:55.804405 False [   19392.879938] 0003 0036 0000004c
2022-03-16 15:26:55.821342 False [   19392.896664] 0003 0035 00000427
2022-03-16 15:26:55.821342 False [   19392.896664] 0003 0036 0000004c
2022-03-16 15:26:55.843443 False [   19392.913625] 0003 0035 00000427
2022-03-16 15:26:55.843443 False [   19392.913625] 0003 0036 0000004c
2022-03-16 15:26:55.855484 False [   19392.930338] 0003 0035 00000427
2022-03-16 15:26:55.855484 False [   19392.930338] 0003 0036 0000004c
2022-03-16 15:26:55.875347 False [   19392.947332] 0003 0035 00000427
2022-03-16 15:26:55.875347 False [   19392.947332] 0003 0036 0000004c
2022-03-16 15:26:55.893058 False [   19392.965276] 0003 0035 00000427
2022-03-16 15:26:55.893058 False [   19392.965276] 0003 0036 0000004c
2022-03-16 15:26:55.910109 False [   19392.982079] 0003 0035 00000427
2022-03-16 15:26:55.910109 False [   19392.982079] 0003 0036 0000004c
2022-03-16 15:26:55.929254 False [   19392.998758] 0003 0035 00000427
2022-03-16 15:26:55.929254 False [   19392.998758] 0003 0036 0000004c
2022-03-16 15:26:55.947440 False [   19393.016849] 0003 0035 00000427
2022-03-16 15:26:55.947440 False [   19393.016849] 0003 0036 0000004c
2022-03-16 15:26:55.963420 False [   19393.033043] 0003 0035 00000427
2022-03-16 15:26:55.963420 False [   19393.033043] 0003 0036 0000004c
2022-03-16 15:26:55.977369 False [   19393.048933] 0003 0035 00000427
2022-03-16 15:26:55.977369 False [   19393.048933] 0003 0036 0000004c
2022-03-16 15:26:55.997434 False [   19393.067391] 0003 0035 00000427
2022-03-16 15:26:55.997434 False [   19393.067391] 0003 0036 0000004c
2022-03-16 15:26:56.014283 False [   19393.083253] 0003 0035 00000427
2022-03-16 15:26:56.015292 False [   19393.083253] 0003 0036 0000004c
2022-03-16 15:26:56.027248 False [   19393.099642] 0003 0035 00000427
2022-03-16 15:26:56.027248 False [   19393.099642] 0003 0036 0000004c
2022-03-16 15:26:56.042225 False [   19393.117104] 0003 0035 00000427
2022-03-16 15:26:56.042225 False [   19393.117104] 0003 0036 0000004c
2022-03-16 15:26:56.061656 False [   19393.133559] 0003 0035 00000427
2022-03-16 15:26:56.061656 False [   19393.133559] 0003 0036 0000004c
2022-03-16 15:26:56.074577 False [   19393.150445] 0003 0035 00000427
2022-03-16 15:26:56.074577 False [   19393.150445] 0003 0036 0000004c
2022-03-16 15:26:56.092257 False [   19393.168151] 0003 0035 00000427
2022-03-16 15:26:56.092257 False [   19393.168151] 0003 0036 0000004c
2022-03-16 15:26:56.114198 False [   19393.185007] 0003 0035 00000427
2022-03-16 15:26:56.114198 False [   19393.185007] 0003 0036 0000004c
2022-03-16 15:26:56.134997 False [   19393.202171] 0003 0035 00000427
2022-03-16 15:26:56.134997 False [   19393.202171] 0003 0036 0000004c
2022-03-16 15:26:56.147577 False [   19393.219251] 0003 0035 00000427
2022-03-16 15:26:56.147577 False [   19393.219251] 0003 0036 0000004c
2022-03-16 15:26:56.165516 False [   19393.235492] 0003 0035 00000427
2022-03-16 15:26:56.165516 False [   19393.235492] 0003 0036 0000004c
2022-03-16 15:26:56.181333 False [   19393.253494] 0003 0035 00000427
2022-03-16 15:26:56.181333 False [   19393.253494] 0003 0036 0000004c
2022-03-16 15:26:56.194920 False [   19393.270078] 0003 0035 00000427
2022-03-16 15:26:56.194920 False [   19393.270078] 0003 0036 0000004c
2022-03-16 15:26:56.214807 False [   19393.286564] 0003 0035 00000427
2022-03-16 15:26:56.215818 False [   19393.286564] 0003 0036 0000004c
2022-03-16 15:26:56.230758 False [   19393.304904] 0003 0035 00000427
2022-03-16 15:26:56.230758 False [   19393.304904] 0003 0036 0000004c
2022-03-16 15:26:56.244437 False [   19393.320489] 0003 0035 00000427
2022-03-16 15:26:56.245412 False [   19393.320489] 0003 0036 0000004c
2022-03-16 15:26:56.266576 False [   19393.338216] 0003 0035 00000427
2022-03-16 15:26:56.266576 False [   19393.338216] 0003 0036 0000004c
2022-03-16 15:26:56.284529 False [   19393.355046] 0003 0035 00000427
2022-03-16 15:26:56.284529 False [   19393.355046] 0003 0036 0000004c
2022-03-16 15:26:56.298483 False [   19393.371143] 0003 0035 00000427
2022-03-16 15:26:56.298483 False [   19393.371143] 0003 0036 0000004c
2022-03-16 15:26:56.313836 False [   19393.388266] 0003 0035 00000427
2022-03-16 15:26:56.313836 False [   19393.388266] 0003 0036 0000004c
2022-03-16 15:26:56.333770 False [   19393.405952] 0003 0035 00000427
2022-03-16 15:26:56.333770 False [   19393.405952] 0003 0036 0000004c
2022-03-16 15:26:56.347732 False [   19393.423328] 0003 0035 00000427
2022-03-16 15:26:56.347732 False [   19393.423328] 0003 0036 0000004c
2022-03-16 15:26:56.367688 False [   19393.439263] 0003 0035 00000427
2022-03-16 15:26:56.367688 False [   19393.439263] 0003 0036 0000004c
2022-03-16 15:26:56.381674 False [   19393.455959] 0003 0035 00000427
2022-03-16 15:26:56.385663 False [   19393.455959] 0003 0036 0000004c
2022-03-16 15:26:56.397365 False [   19393.472960] 0003 0035 00000427
2022-03-16 15:26:56.397365 False [   19393.472960] 0003 0036 0000004c
2022-03-16 15:26:56.415253 False [   19393.490632] 0003 0035 00000427
2022-03-16 15:26:56.415253 False [   19393.490632] 0003 0036 0000004c
2022-03-16 15:26:56.432191 False [   19393.506632] 0003 0035 00000427
2022-03-16 15:26:56.432191 False [   19393.506632] 0003 0036 0000004c
2022-03-16 15:26:56.448607 False [   19393.524054] 0003 0035 00000427
2022-03-16 15:26:56.448607 False [   19393.524054] 0003 0036 0000004c
2022-03-16 15:26:56.469100 False [   19393.542310] 0003 0035 00000427
2022-03-16 15:26:56.469100 False [   19393.542310] 0003 0036 0000004c
2022-03-16 15:26:56.489176 False [   19393.559075] 0003 0035 00000427
2022-03-16 15:26:56.489176 False [   19393.559075] 0003 0036 0000004c
2022-03-16 15:26:56.504484 False [   19393.574200] 0003 0035 00000427
2022-03-16 15:26:56.504484 False [   19393.574200] 0003 0036 0000004c
2022-03-16 15:26:56.517452 False [   19393.592150] 0003 0035 00000427
2022-03-16 15:26:56.517452 False [   19393.592150] 0003 0036 0000004c
2022-03-16 15:26:56.534406 False [   19393.609528] 0003 0035 00000427
2022-03-16 15:26:56.535350 False [   19393.609528] 0003 0036 0000004c
2022-03-16 15:26:56.550106 False [   19393.625479] 0003 0035 00000427
2022-03-16 15:26:56.550106 False [   19393.625479] 0003 0036 0000004c
2022-03-16 15:26:56.572951 False [   19393.643180] 0003 0035 00000427
2022-03-16 15:26:56.572951 False [   19393.643180] 0003 0036 0000004c
2022-03-16 15:26:56.588122 False [   19393.658914] 0003 0035 00000427
2022-03-16 15:26:56.588122 False [   19393.658914] 0003 0036 0000004c
2022-03-16 15:26:56.602281 False [   19393.675655] 0003 0035 00000427
2022-03-16 15:26:56.602281 False [   19393.675655] 0003 0036 0000004c
2022-03-16 15:26:56.617495 False [   19393.692626] 0003 0035 00000427
2022-03-16 15:26:56.617495 False [   19393.692626] 0003 0036 0000004c
2022-03-16 15:26:56.635253 False [   19393.710532] 0003 0035 00000427
2022-03-16 15:26:56.635253 False [   19393.710532] 0003 0036 0000004c
2022-03-16 15:26:56.650640 False [   19393.726934] 0003 0035 00000427
2022-03-16 15:26:56.651626 False [   19393.726934] 0003 0036 0000004c
2022-03-16 15:26:56.671270 False [   19393.743908] 0003 0035 00000427
2022-03-16 15:26:56.671270 False [   19393.743908] 0003 0036 0000004c
2022-03-16 15:26:56.686232 False [   19393.760414] 0003 0035 00000427
2022-03-16 15:26:56.686232 False [   19393.760414] 0003 0036 0000004c
2022-03-16 15:26:56.704182 False [   19393.777765] 0003 0035 00000427
2022-03-16 15:26:56.704182 False [   19393.777765] 0003 0036 0000004c
2022-03-16 15:26:56.720048 False [   19393.794931] 0003 0035 00000427
2022-03-16 15:26:56.720048 False [   19393.794931] 0003 0036 0000004c
2022-03-16 15:26:56.736365 False [   19393.811577] 0003 0035 00000427
2022-03-16 15:26:56.736365 False [   19393.811577] 0003 0036 0000004c
2022-03-16 15:26:56.756961 False [   19393.830035] 0003 0035 00000427
2022-03-16 15:26:56.756961 False [   19393.830035] 0003 0036 0000004c
2022-03-16 15:26:56.771512 False [   19393.846694] 0003 0035 00000427
2022-03-16 15:26:56.772502 False [   19393.846694] 0003 0036 0000004c
2022-03-16 15:26:56.791928 False [   19393.863712] 0003 0035 00000427
2022-03-16 15:26:56.791928 False [   19393.863712] 0003 0036 0000004c
2022-03-16 15:26:56.806900 False [   19393.879638] 0003 0035 00000427
2022-03-16 15:26:56.806900 False [   19393.879638] 0003 0036 0000004c
2022-03-16 15:26:56.820417 False [   19393.896863] 0003 0035 00000427
2022-03-16 15:26:56.820417 False [   19393.896863] 0003 0036 0000004c
2022-03-16 15:26:56.843103 False [   19393.914125] 0003 0035 00000427
2022-03-16 15:26:56.843103 False [   19393.914125] 0003 0036 0000004c
2022-03-16 15:26:56.861640 False [   19393.931270] 0003 0035 00000427
2022-03-16 15:26:56.861640 False [   19393.931270] 0003 0036 0000004c
2022-03-16 15:26:56.875900 False [   19393.947987] 0003 0035 00000427
2022-03-16 15:26:56.875900 False [   19393.947987] 0003 0036 0000004c
2022-03-16 15:26:56.890044 False [   19393.965611] 0003 0035 00000427
2022-03-16 15:26:56.891041 False [   19393.965611] 0003 0036 0000004c
2022-03-16 15:26:56.911899 False [   19393.982117] 0003 0035 00000427
2022-03-16 15:26:56.911899 False [   19393.982117] 0003 0036 0000004c
2022-03-16 15:26:56.922870 False [   19393.998418] 0003 0035 00000427
