Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.6310691985003918 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 17:09:47.113628 True [   25564.549858] 0003 0036 00000174
2022-03-16 17:09:47.129574 True [   25564.565475] 0003 0035 00000302
2022-03-16 17:09:47.131859 True [   25564.565475] 0003 0036 00000174
2022-03-16 17:09:47.145832 True [   25564.582370] 0003 0035 00000302
2022-03-16 17:09:47.145832 True [   25564.582370] 0003 0036 00000174
2022-03-16 17:09:47.162936 True [   25564.599471] 0003 0035 00000302
2022-03-16 17:09:47.162936 True [   25564.599471] 0003 0036 00000174
2022-03-16 17:09:47.178961 True [   25564.615842] 0003 0035 00000302
2022-03-16 17:09:47.178961 True [   25564.615842] 0003 0036 00000174
2022-03-16 17:09:47.196422 True [   25564.633042] 0003 0035 00000302
2022-03-16 17:09:47.196422 True [   25564.633042] 0003 0036 00000174
2022-03-16 17:09:47.213387 True [   25564.649950] 0003 0035 00000302
2022-03-16 17:09:47.213387 True [   25564.649950] 0003 0036 00000174
2022-03-16 17:09:47.229770 True [   25564.666644] 0003 0035 00000302
2022-03-16 17:09:47.230808 True [   25564.666644] 0003 0036 00000174
2022-03-16 17:09:47.246285 True [   25564.683178] 0003 0035 00000302
2022-03-16 17:09:47.247294 True [   25564.683178] 0003 0036 00000174
2022-03-16 17:09:47.263759 True [   25564.700401] 0003 0035 00000302
2022-03-16 17:09:47.263759 True [   25564.700401] 0003 0036 00000174
2022-03-16 17:09:47.280297 True [   25564.717323] 0003 0035 00000302
2022-03-16 17:09:47.280297 True [   25564.717323] 0003 0036 00000178
2022-03-16 17:09:47.298309 True [   25564.734793] 0003 0035 00000302
2022-03-16 17:09:47.298309 True [   25564.734793] 0003 0036 00000178
2022-03-16 17:09:47.315337 True [   25564.751723] 0003 0035 00000302
2022-03-16 17:09:47.315337 True [   25564.751723] 0003 0036 0000017d
2022-03-16 17:09:47.331023 True [   25564.768525] 0003 0035 00000302
2022-03-16 17:09:47.332022 True [   25564.768525] 0003 0036 00000181
2022-03-16 17:09:47.348867 True [   25564.785494] 0003 0035 00000302
2022-03-16 17:09:47.348867 True [   25564.785494] 0003 0036 00000185
2022-03-16 17:09:47.364814 True [   25564.802199] 0003 0035 00000302
2022-03-16 17:09:47.364814 True [   25564.802199] 0003 0036 00000189
