Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.6258923177968843 
    wm_size = [1200 1920] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 17:42:16.450970 False [   27513.850862] 0003 0036 00000025
2022-03-16 17:42:16.468432 False [   27513.868270] 0003 0035 000004b3
2022-03-16 17:42:16.468432 False [   27513.868270] 0003 0036 00000025
2022-03-16 17:42:16.484237 False [   27513.884587] 0003 0035 000004b3
2022-03-16 17:42:16.485190 False [   27513.884587] 0003 0036 00000025
2022-03-16 17:42:16.501982 False [   27513.902108] 0003 0035 000004b3
2022-03-16 17:42:16.501982 False [   27513.902108] 0003 0036 00000025
2022-03-16 17:42:16.517610 False [   27513.918615] 0003 0035 000004b3
2022-03-16 17:42:16.518620 False [   27513.918615] 0003 0036 00000025
2022-03-16 17:42:16.535346 False [   27513.935462] 0003 0035 000004b3
2022-03-16 17:42:16.535346 False [   27513.935462] 0003 0036 00000025
2022-03-16 17:42:16.552619 False [   27513.953418] 0003 0035 000004b3
2022-03-16 17:42:16.552619 False [   27513.953418] 0003 0036 00000025
2022-03-16 17:42:16.567758 False [   27513.968798] 0003 0035 000004b3
2022-03-16 17:42:16.567758 False [   27513.968798] 0003 0036 00000025
2022-03-16 17:42:16.583509 False [   27513.985168] 0003 0035 000004b3
2022-03-16 17:42:16.585177 False [   27513.985168] 0003 0036 00000025
2022-03-16 17:42:16.958220 False [   27514.358297] 0003 0035 000004ef
2022-03-16 17:42:16.958220 False [   27514.358297] 0003 0036 00000031
2022-03-16 17:42:16.976363 False [   27514.375468] 0003 0035 000004ef
2022-03-16 17:42:16.976363 False [   27514.375468] 0003 0036 00000031
2022-03-16 17:42:16.991303 False [   27514.392203] 0003 0035 000004ef
2022-03-16 17:42:16.991303 False [   27514.392203] 0003 0036 00000031
2022-03-16 17:42:17.008979 False [   27514.409837] 0003 0035 000004ef
2022-03-16 17:42:17.008979 False [   27514.409837] 0003 0036 00000031
2022-03-16 17:42:17.026844 False [   27514.426023] 0003 0035 000004ef
2022-03-16 17:42:17.027424 False [   27514.426023] 0003 0036 00000031
2022-03-16 17:42:21.348839 False [   27518.749197] 0003 0035 00000364
2022-03-16 17:42:21.348839 True [   27518.749197] 0003 0036 000001f4
2022-03-16 17:42:21.365445 True [   27518.765983] 0003 0035 00000364
2022-03-16 17:42:21.372937 True [   27518.765983] 0003 0036 000001f4
2022-03-16 17:42:21.381293 True [   27518.782313] 0003 0035 00000364
2022-03-16 17:42:21.381293 True [   27518.782313] 0003 0036 000001f4
2022-03-16 17:42:21.398880 True [   27518.799500] 0003 0035 00000364
2022-03-16 17:42:21.398880 True [   27518.799500] 0003 0036 000001f4
2022-03-16 17:42:21.414967 True [   27518.815704] 0003 0035 00000364
2022-03-16 17:42:21.414967 True [   27518.815704] 0003 0036 000001f4
2022-03-16 17:42:21.432829 True [   27518.833176] 0003 0035 00000364
2022-03-16 17:42:21.432829 True [   27518.833176] 0003 0036 000001f4
2022-03-16 17:42:21.450724 True [   27518.850330] 0003 0035 00000364
2022-03-16 17:42:21.450724 True [   27518.850330] 0003 0036 000001f4
2022-03-16 17:42:21.467387 True [   27518.867210] 0003 0035 00000364
2022-03-16 17:42:21.467387 True [   27518.867210] 0003 0036 000001f4
2022-03-16 17:42:21.482258 True [   27518.883745] 0003 0035 00000364
2022-03-16 17:42:21.482258 True [   27518.883745] 0003 0036 000001f4
2022-03-16 17:42:21.500443 True [   27518.901191] 0003 0035 00000364
2022-03-16 17:42:21.500443 True [   27518.901191] 0003 0036 000001f4
2022-03-16 17:42:23.485857 True [   27520.885594] 0003 0035 000003c9
2022-03-16 17:42:23.485857 False [   27520.885594] 0003 0036 00000273
2022-03-16 17:42:23.501718 False [   27520.902134] 0003 0035 000003c9
2022-03-16 17:42:23.502728 False [   27520.902134] 0003 0036 00000273
2022-03-16 17:42:23.517700 False [   27520.918694] 0003 0035 000003c9
2022-03-16 17:42:23.517700 False [   27520.918694] 0003 0036 00000273
2022-03-16 17:42:23.535533 False [   27520.935935] 0003 0035 000003c9
2022-03-16 17:42:23.535533 False [   27520.935935] 0003 0036 00000273
2022-03-16 17:42:23.551825 False [   27520.952305] 0003 0035 000003c9
2022-03-16 17:42:23.551825 False [   27520.952305] 0003 0036 00000273
2022-03-16 17:42:23.568330 False [   27520.968740] 0003 0035 000003c9
2022-03-16 17:42:23.568330 False [   27520.968740] 0003 0036 0000026f
2022-03-16 17:42:23.585619 False [   27520.986008] 0003 0035 000003c9
2022-03-16 17:42:23.585619 False [   27520.986008] 0003 0036 0000026f
2022-03-16 17:42:23.601147 False [   27521.002655] 0003 0035 000003c9
2022-03-16 17:42:23.601147 False [   27521.002655] 0003 0036 0000026b
2022-03-16 17:42:23.619488 False [   27521.019582] 0003 0035 000003c9
2022-03-16 17:42:23.619488 False [   27521.019582] 0003 0036 0000026b
2022-03-16 17:42:23.636931 False [   27521.037009] 0003 0035 000003c9
2022-03-16 17:42:23.636931 False [   27521.037009] 0003 0036 00000267
2022-03-16 17:42:23.652821 False [   27521.053739] 0003 0035 000003c9
2022-03-16 17:42:23.652821 False [   27521.053739] 0003 0036 00000267
2022-03-16 17:42:23.669481 False [   27521.070486] 0003 0035 000003c9
2022-03-16 17:42:23.669481 False [   27521.070486] 0003 0036 00000267
2022-03-16 17:42:23.688463 False [   27521.087468] 0003 0035 000003c9
2022-03-16 17:42:23.689426 False [   27521.087468] 0003 0036 00000267
2022-03-16 17:42:23.703413 False [   27521.104476] 0003 0035 000003c9
2022-03-16 17:42:23.703413 False [   27521.104476] 0003 0036 00000267
2022-03-16 17:42:23.721335 False [   27521.122116] 0003 0035 000003c7
2022-03-16 17:42:23.721335 False [   27521.122116] 0003 0036 00000263
2022-03-16 17:42:23.738290 False [   27521.138774] 0003 0035 000003c7
2022-03-16 17:42:23.738290 False [   27521.138774] 0003 0036 00000263
2022-03-16 17:42:23.754246 False [   27521.154890] 0003 0035 000003c7
2022-03-16 17:42:23.754246 False [   27521.154890] 0003 0036 00000263
2022-03-16 17:42:23.771202 False [   27521.171921] 0003 0035 000003c7
2022-03-16 17:42:23.771202 False [   27521.171921] 0003 0036 00000263
2022-03-16 17:42:23.790782 False [   27521.189536] 0003 0035 000003c4
2022-03-16 17:42:23.790782 False [   27521.189536] 0003 0036 0000025f
2022-03-16 17:42:23.805423 False [   27521.205642] 0003 0035 000003c4
2022-03-16 17:42:23.805423 False [   27521.205642] 0003 0036 0000025f
