Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.93367406020058 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 19:32:49.947424 0 [   34486.983906] 0003 0036 00000884
2022-03-16 19:32:49.972133 0 [   34487.008042] 0003 0036 00000882
2022-03-16 19:32:49.980707 0 [   34487.016186] 0003 0036 00000881
2022-03-16 19:32:49.988459 0 [   34487.024668] 0003 0036 0000087e
2022-03-16 19:32:49.996701 0 [   34487.032753] 0003 0036 0000087c
2022-03-16 19:32:50.004833 0 [   34487.041262] 0003 0036 00000879
2022-03-16 19:32:50.013266 0 [   34487.049521] 0003 0036 00000878
2022-03-16 19:32:50.021254 0 [   34487.057861] 0003 0036 00000874
2022-03-16 19:32:50.029584 0 [   34487.066022] 0003 0036 00000873
2022-03-16 19:32:50.038357 0 [   34487.074580] 0003 0036 00000870
2022-03-16 19:32:50.047283 0 [   34487.082724] 0003 0036 0000086f
2022-03-16 19:32:50.056926 0 [   34487.091126] 0003 0036 0000086e
2022-03-16 19:32:50.062908 0 [   34487.099313] 0003 0036 0000086b
2022-03-16 19:32:50.071920 0 [   34487.107885] 0003 0036 00000869
2022-03-16 19:32:50.079573 0 [   34487.116165] 0003 0036 00000868
2022-03-16 19:32:50.088930 0 [   34487.124611] 0003 0036 00000867
2022-03-16 19:32:50.096954 0 [   34487.132523] 0003 0036 00000866
2022-03-16 19:32:50.121795 0 [   34487.158056] 0003 0036 00000865
2022-03-16 19:33:05.853810 0 [   34502.889953] 0003 0036 000009ef
2022-03-16 19:33:06.701464 0 [   34503.735783] 0003 0036 0000097e
2022-03-16 19:33:06.833528 0 [   34503.868103] 0003 0036 0000097d
2022-03-16 19:33:06.849063 0 [   34503.884950] 0003 0036 0000097c
2022-03-16 19:33:06.857116 0 [   34503.893149] 0003 0036 0000097a
2022-03-16 19:33:06.873379 0 [   34503.909911] 0003 0036 00000979
2022-03-16 19:33:06.884370 0 [   34503.918146] 0003 0036 00000978
2022-03-16 19:33:06.899237 0 [   34503.934729] 0003 0036 00000977
2022-03-16 19:33:06.907205 0 [   34503.942990] 0003 0036 00000976
2022-03-16 19:33:06.918803 0 [   34503.951241] 0003 0036 00000975
2022-03-16 19:33:06.940828 0 [   34503.976356] 0003 0036 00000974
2022-03-16 19:33:06.956893 0 [   34503.992850] 0003 0036 00000973
2022-03-16 19:33:06.981157 0 [   34504.017660] 0003 0036 00000972
2022-03-16 19:33:07.016396 0 [   34504.051009] 0003 0036 00000971
2022-03-16 19:33:09.647365 0 [   34506.677468] 0003 0036 0000099a
2022-03-16 19:33:09.777509 0 [   34506.810132] 0003 0036 00000999
2022-03-16 19:33:09.783510 0 [   34506.818451] 0003 0036 00000998
2022-03-16 19:33:09.792434 0 [   34506.826434] 0003 0036 00000997
2022-03-16 19:33:09.800116 0 [   34506.834731] 0003 0036 00000995
2022-03-16 19:33:09.808401 0 [   34506.843019] 0003 0036 00000994
2022-03-16 19:33:09.816436 0 [   34506.851404] 0003 0036 00000993
2022-03-16 19:33:09.826593 0 [   34506.859760] 0003 0036 00000991
2022-03-16 19:33:09.832578 0 [   34506.868000] 0003 0036 00000990
2022-03-16 19:33:09.841555 0 [   34506.876259] 0003 0036 0000098f
2022-03-16 19:33:09.865511 0 [   34506.901216] 0003 0036 0000098e
2022-03-16 19:33:09.882758 0 [   34506.918040] 0003 0036 0000098d
2022-03-16 19:33:09.906760 0 [   34506.942698] 0003 0036 0000098c
2022-03-16 19:33:11.622525 0 [   34508.655160] 0003 0036 0000002b
2022-03-16 19:33:11.738442 0 [   34508.770903] 0003 0036 00000022
2022-03-16 19:33:11.743360 0 [   34508.780564] 0003 0036 0000001b
2022-03-16 19:33:11.750559 0 [   34508.787463] 0003 0036 00000018
2022-03-16 19:33:11.759250 0 [   34508.795842] 0003 0036 00000014
2022-03-16 19:33:11.768701 0 [   34508.803997] 0003 0036 00000012
2022-03-16 19:33:11.775710 0 [   34508.812600] 0003 0036 00000011
2022-03-16 19:33:11.786290 0 [   34508.820706] 0003 0036 00000010
2022-03-16 19:33:11.811383 0 [   34508.845739] 0003 0036 0000000e
2022-03-16 19:33:11.900367 0 [   34508.936993] 0003 0036 00000010
2022-03-16 19:33:11.935235 0 [   34508.970218] 0003 0036 00000011
2022-03-16 19:33:11.950645 0 [   34508.986989] 0003 0036 00000012
2022-03-16 19:33:11.976286 0 [   34509.011851] 0003 0036 00000014
2022-03-16 19:33:12.000285 0 [   34509.036894] 0003 0036 00000015
2022-03-16 19:33:15.116399 0 [   34512.153358] 0003 0036 00000027
2022-03-16 19:33:15.240554 0 [   34512.277401] 0003 0036 00000025
2022-03-16 19:33:15.250289 0 [   34512.285875] 0003 0036 00000024
2022-03-16 19:33:15.265241 0 [   34512.302447] 0003 0036 00000022
2022-03-16 19:33:15.282364 0 [   34512.319047] 0003 0036 00000021
2022-03-16 19:33:15.365937 0 [   34512.402194] 0003 0036 0000001f
2022-03-16 19:33:15.383409 0 [   34512.418874] 0003 0036 0000001e
2022-03-16 19:33:15.401224 0 [   34512.435427] 0003 0036 0000001c
2022-03-16 19:33:15.408376 0 [   34512.443605] 0003 0036 0000001b
