Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.9508145121994385 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 19:48:49.099934 False [   35446.116643] 0003 0036 0000087b
2022-03-16 19:48:49.253846 False [   35446.273430] 0003 0036 0000087a
2022-03-16 19:48:49.278827 False [   35446.289668] 0003 0036 00000879
2022-03-16 19:48:49.278827 False [   35446.297692] 0003 0035 00000161
2022-03-16 19:48:49.278827 False [   35446.297692] 0003 0036 00000876
2022-03-16 19:48:49.285587 False [   35446.306073] 0003 0035 00000162
2022-03-16 19:48:49.286887 False [   35446.306073] 0003 0036 00000873
2022-03-16 19:48:49.290312 False [   35446.314457] 0003 0035 00000164
2022-03-16 19:48:49.290312 False [   35446.314457] 0003 0036 0000086e
2022-03-16 19:48:49.300500 False [   35446.322689] 0003 0035 00000165
2022-03-16 19:48:49.300500 False [   35446.322689] 0003 0036 00000868
2022-03-16 19:48:49.309828 False [   35446.330865] 0003 0035 00000167
2022-03-16 19:48:49.309828 False [   35446.330865] 0003 0036 00000864
2022-03-16 19:48:49.320195 False [   35446.339332] 0003 0035 00000169
2022-03-16 19:48:49.320195 False [   35446.339332] 0003 0036 0000085e
2022-03-16 19:48:49.329063 False [   35446.347575] 0003 0035 0000016c
2022-03-16 19:48:49.329063 False [   35446.347575] 0003 0036 00000859
2022-03-16 19:48:49.335928 False [   35446.356067] 0003 0035 0000016d
2022-03-16 19:48:49.335928 False [   35446.356067] 0003 0036 00000854
2022-03-16 19:48:49.340279 False [   35446.364350] 0003 0035 0000016f
2022-03-16 19:48:49.340279 False [   35446.364350] 0003 0036 0000084e
2022-03-16 19:48:49.348987 False [   35446.372731] 0003 0035 00000172
2022-03-16 19:48:49.348987 False [   35446.372731] 0003 0036 00000847
2022-03-16 19:48:49.357850 False [   35446.380757] 0003 0035 00000174
2022-03-16 19:48:49.357850 False [   35446.380757] 0003 0036 00000841
2022-03-16 19:48:49.366196 False [   35446.389188] 0003 0035 00000176
2022-03-16 19:48:49.367194 False [   35446.389188] 0003 0036 0000083a
2022-03-16 19:48:49.375226 False [   35446.397399] 0003 0035 00000178
2022-03-16 19:48:49.375226 False [   35446.397399] 0003 0036 00000831
2022-03-16 19:48:49.385630 False [   35446.405769] 0003 0035 0000017a
2022-03-16 19:48:49.385630 False [   35446.405769] 0003 0036 0000082d
2022-03-16 19:48:49.391496 False [   35446.413951] 0003 0035 0000017b
2022-03-16 19:48:49.391496 False [   35446.413951] 0003 0036 00000828
2022-03-16 19:48:49.399003 False [   35446.422406] 0003 0035 0000017d
2022-03-16 19:48:49.399003 False [   35446.422406] 0003 0036 00000823
2022-03-16 19:48:49.410339 False [   35446.430650] 0003 0035 0000017f
2022-03-16 19:48:49.410339 False [   35446.430650] 0003 0036 0000081e
2022-03-16 19:48:49.416511 False [   35446.439312] 0003 0035 00000181
2022-03-16 19:48:49.416511 False [   35446.439312] 0003 0036 00000819
2022-03-16 19:48:49.425617 False [   35446.447243] 0003 0035 00000182
2022-03-16 19:48:49.425617 False [   35446.447243] 0003 0036 00000815
2022-03-16 19:48:49.432638 False [   35446.455891] 0003 0035 00000184
2022-03-16 19:48:49.432638 False [   35446.455891] 0003 0036 00000811
2022-03-16 19:48:49.443706 False [   35446.464107] 0003 0035 00000185
2022-03-16 19:48:49.443706 False [   35446.464107] 0003 0036 0000080e
2022-03-16 19:48:49.452617 False [   35446.472447] 0003 0035 00000187
2022-03-16 19:48:49.452617 False [   35446.472447] 0003 0036 0000080a
2022-03-16 19:48:49.457747 False [   35446.480908] 0003 0035 00000188
2022-03-16 19:48:49.457747 False [   35446.480908] 0003 0036 00000806
2022-03-16 19:48:49.466387 False [   35446.488901] 0003 0036 00000801
2022-03-16 19:48:49.474625 False [   35446.497516] 0003 0036 000007fe
2022-03-16 19:48:49.483663 False [   35446.505705] 0003 0035 0000018a
2022-03-16 19:48:49.483663 False [   35446.505705] 0003 0036 000007fa
2022-03-16 19:48:49.492706 False [   35446.513775] 0003 0035 0000018b
2022-03-16 19:48:49.492706 False [   35446.513775] 0003 0036 000007f6
2022-03-16 19:48:49.499477 False [   35446.522366] 0003 0036 000007f2
2022-03-16 19:48:49.506251 False [   35446.530426] 0003 0035 0000018c
2022-03-16 19:48:49.506251 False [   35446.530426] 0003 0036 000007ef
2022-03-16 19:48:49.517447 False [   35446.539201] 0003 0036 000007ec
2022-03-16 19:48:49.524462 False [   35446.546998] 0003 0036 000007ea
2022-03-16 19:48:49.533034 False [   35446.555664] 0003 0035 0000018d
2022-03-16 19:48:49.533034 False [   35446.555664] 0003 0036 000007e7
2022-03-16 19:48:49.542514 False [   35446.563665] 0003 0035 0000018e
2022-03-16 19:48:49.542514 False [   35446.563665] 0003 0036 000007e4
2022-03-16 19:48:49.548474 False [   35446.572051] 0003 0036 000007e2
2022-03-16 19:48:49.557464 False [   35446.580323] 0003 0035 0000018f
2022-03-16 19:48:49.557464 False [   35446.580323] 0003 0036 000007e0
2022-03-16 19:48:49.568025 False [   35446.588861] 0003 0036 000007de
2022-03-16 19:48:49.574469 False [   35446.596895] 0003 0036 000007db
2022-03-16 19:48:49.581964 False [   35446.605327] 0003 0036 000007d9
2022-03-16 19:48:49.590846 False [   35446.613489] 0003 0036 000007d7
2022-03-16 19:48:49.602107 False [   35446.622024] 0003 0036 000007d4
2022-03-16 19:48:49.608792 False [   35446.630380] 0003 0036 000007d3
2022-03-16 19:48:49.618262 False [   35446.638537] 0003 0036 000007cf
2022-03-16 19:48:49.623740 False [   35446.646832] 0003 0035 00000190
2022-03-16 19:48:49.623740 False [   35446.646832] 0003 0036 000007cd
2022-03-16 19:48:49.633475 False [   35446.655413] 0003 0036 000007c9
2022-03-16 19:48:49.643328 False [   35446.663584] 0003 0036 000007c6
2022-03-16 19:48:49.649872 False [   35446.671861] 0003 0036 000007c4
2022-03-16 19:48:49.659325 False [   35446.680286] 0003 0036 000007c1
2022-03-16 19:48:49.667157 False [   35446.688565] 0003 0036 000007be
2022-03-16 19:48:49.675495 False [   35446.696745] 0003 0036 000007bd
2022-03-16 19:48:49.683276 False [   35446.704987] 0003 0036 000007bb
2022-03-16 19:48:49.689475 False [   35446.713273] 0003 0035 00000191
2022-03-16 19:48:49.689475 False [   35446.713273] 0003 0036 000007b9
2022-03-16 19:48:49.699211 False [   35446.721837] 0003 0036 000007b7
2022-03-16 19:48:49.708256 False [   35446.729923] 0003 0036 000007b5
2022-03-16 19:48:49.716652 False [   35446.738296] 0003 0036 000007b4
2022-03-16 19:48:49.724177 False [   35446.746614] 0003 0035 00000192
2022-03-16 19:48:49.724177 False [   35446.746614] 0003 0036 000007b2
2022-03-16 19:48:49.733551 False [   35446.754948] 0003 0035 00000193
2022-03-16 19:48:49.733551 False [   35446.754948] 0003 0036 000007b0
2022-03-16 19:48:49.742135 False [   35446.763165] 0003 0036 000007af
2022-03-16 19:48:49.751989 False [   35446.771528] 0003 0035 00000194
2022-03-16 19:48:49.751989 False [   35446.771528] 0003 0036 000007ac
2022-03-16 19:48:49.755799 False [   35446.779755] 0003 0035 00000196
2022-03-16 19:48:49.755799 False [   35446.779755] 0003 0036 000007aa
2022-03-16 19:48:49.766050 False [   35446.788177] 0003 0035 00000197
2022-03-16 19:48:49.766050 False [   35446.788177] 0003 0036 000007a8
2022-03-16 19:48:49.774791 False [   35446.796453] 0003 0035 00000198
2022-03-16 19:48:49.774791 False [   35446.796453] 0003 0036 000007a7
2022-03-16 19:48:49.784128 False [   35446.804968] 0003 0035 00000199
2022-03-16 19:48:49.784128 False [   35446.804968] 0003 0036 000007a5
2022-03-16 19:48:49.789508 False [   35446.813255] 0003 0035 0000019a
2022-03-16 19:48:49.789508 False [   35446.813255] 0003 0036 000007a3
2022-03-16 19:48:49.798823 False [   35446.821459] 0003 0035 0000019c
2022-03-16 19:48:49.798823 False [   35446.821459] 0003 0036 000007a1
2022-03-16 19:48:49.807219 False [   35446.829593] 0003 0035 0000019d
2022-03-16 19:48:49.807219 False [   35446.829593] 0003 0036 0000079e
2022-03-16 19:48:49.815810 False [   35446.838023] 0003 0035 0000019e
2022-03-16 19:48:49.816811 False [   35446.838023] 0003 0036 0000079d
2022-03-16 19:48:49.825796 False [   35446.846309] 0003 0035 000001a0
2022-03-16 19:48:49.825796 False [   35446.846309] 0003 0036 0000079a
2022-03-16 19:48:49.833628 False [   35446.854704] 0003 0035 000001a1
2022-03-16 19:48:49.833628 False [   35446.854704] 0003 0036 00000799
2022-03-16 19:48:49.840742 False [   35446.862916] 0003 0035 000001a3
2022-03-16 19:48:49.840742 False [   35446.862916] 0003 0036 00000795
2022-03-16 19:48:49.848586 False [   35446.871635] 0003 0035 000001a5
2022-03-16 19:48:49.848586 False [   35446.871635] 0003 0036 00000794
2022-03-16 19:48:49.857083 False [   35446.879625] 0003 0035 000001a6
2022-03-16 19:48:49.857083 False [   35446.879625] 0003 0036 00000791
2022-03-16 19:48:49.864876 False [   35446.887928] 0003 0035 000001a8
2022-03-16 19:48:49.865880 False [   35446.887928] 0003 0036 0000078f
2022-03-16 19:48:49.872401 False [   35446.896144] 0003 0035 000001a9
2022-03-16 19:48:49.872401 False [   35446.896144] 0003 0036 0000078d
2022-03-16 19:48:49.881840 False [   35446.904565] 0003 0035 000001ab
2022-03-16 19:48:49.881840 False [   35446.904565] 0003 0036 0000078a
2022-03-16 19:48:49.892007 False [   35446.912788] 0003 0035 000001ac
2022-03-16 19:48:49.892007 False [   35446.912788] 0003 0036 00000788
2022-03-16 19:48:49.900023 False [   35446.921209] 0003 0035 000001ad
2022-03-16 19:48:49.900023 False [   35446.921209] 0003 0036 00000786
2022-03-16 19:48:49.907754 False [   35446.929440] 0003 0035 000001b0
2022-03-16 19:48:49.907754 False [   35446.929440] 0003 0036 00000784
2022-03-16 19:48:49.915726 False [   35446.937867] 0003 0035 000001b2
2022-03-16 19:48:49.915726 False [   35446.937867] 0003 0036 00000781
2022-03-16 19:48:49.923962 False [   35446.946166] 0003 0035 000001b3
2022-03-16 19:48:49.923962 False [   35446.946166] 0003 0036 00000780
2022-03-16 19:48:49.933661 False [   35446.954472] 0003 0035 000001b5
2022-03-16 19:48:49.933661 False [   35446.954472] 0003 0036 0000077f
2022-03-16 19:48:49.940098 False [   35446.962647] 0003 0035 000001b7
2022-03-16 19:48:49.940098 False [   35446.962647] 0003 0036 0000077c
2022-03-16 19:48:49.948391 False [   35446.971357] 0003 0036 0000077b
2022-03-16 19:48:49.958100 False [   35446.979299] 0003 0035 000001b9
2022-03-16 19:48:49.959105 False [   35446.979299] 0003 0036 0000077a
2022-03-16 19:48:49.967155 False [   35446.987989] 0003 0035 000001ba
2022-03-16 19:48:49.967155 False [   35446.987989] 0003 0036 00000779
2022-03-16 19:48:49.974818 False [   35446.995901] 0003 0036 00000778
2022-03-16 19:48:49.984558 False [   35447.004856] 0003 0035 000001bc
2022-03-16 19:48:49.984558 False [   35447.004856] 0003 0036 00000776
2022-03-16 19:48:49.993047 False [   35447.012573] 0003 0035 000001bd
2022-03-16 19:48:49.993047 False [   35447.012573] 0003 0036 00000775
