Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.1520927405445303 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 13:33:19.375295 True [  143913.303771] 0003 0036 000003a5
2022-04-02 13:33:19.422347 True [  143913.352279] 0003 0035 000002a7
2022-04-02 13:33:19.426344 True [  143913.352279] 0003 0036 000003a6
2022-04-02 13:33:19.430381 True [  143913.360544] 0003 0035 000002aa
2022-04-02 13:33:19.430381 True [  143913.360544] 0003 0036 000003a9
2022-04-02 13:33:19.439259 True [  143913.368879] 0003 0035 000002ad
2022-04-02 13:33:19.439259 True [  143913.368879] 0003 0036 000003ac
2022-04-02 13:33:19.446495 True [  143913.377150] 0003 0035 000002b0
2022-04-02 13:33:19.446495 True [  143913.377150] 0003 0036 000003af
2022-04-02 13:33:19.455759 True [  143913.385640] 0003 0035 000002b3
2022-04-02 13:33:19.455759 True [  143913.385640] 0003 0036 000003b5
2022-04-02 13:33:19.463970 True [  143913.393738] 0003 0035 000002b5
2022-04-02 13:33:19.463970 True [  143913.393738] 0003 0036 000003b9
2022-04-02 13:33:19.472121 True [  143913.402194] 0003 0035 000002b8
2022-04-02 13:33:19.472121 True [  143913.402194] 0003 0036 000003bf
2022-04-02 13:33:19.480788 True [  143913.410356] 0003 0035 000002bb
2022-04-02 13:33:19.480788 True [  143913.410356] 0003 0036 000003c5
2022-04-02 13:33:19.489342 True [  143913.418763] 0003 0035 000002bf
2022-04-02 13:33:19.489342 True [  143913.418763] 0003 0036 000003cc
2022-04-02 13:33:19.497007 True [  143913.426924] 0003 0035 000002c4
2022-04-02 13:33:19.497007 True [  143913.426924] 0003 0036 000003d4
2022-04-02 13:33:19.504825 True [  143913.435372] 0003 0035 000002c8
2022-04-02 13:33:19.505821 True [  143913.435372] 0003 0036 000003db
2022-04-02 13:33:19.517198 True [  143913.443699] 0003 0035 000002cb
2022-04-02 13:33:19.517198 True [  143913.443699] 0003 0036 000003e0
2022-04-02 13:33:19.522289 True [  143913.452094] 0003 0035 000002ce
2022-04-02 13:33:19.522289 True [  143913.452094] 0003 0036 000003e8
2022-04-02 13:33:19.530132 True [  143913.460288] 0003 0035 000002d2
2022-04-02 13:33:19.530132 True [  143913.460288] 0003 0036 000003f0
2022-04-02 13:33:19.538433 True [  143913.468700] 0003 0035 000002d7
2022-04-02 13:33:19.538433 True [  143913.468700] 0003 0036 000003fa
2022-04-02 13:33:19.546489 True [  143913.476825] 0003 0035 000002dc
2022-04-02 13:33:19.546489 True [  143913.476825] 0003 0036 00000404
2022-04-02 13:33:19.555414 True [  143913.485208] 0003 0035 000002e0
2022-04-02 13:33:19.555414 True [  143913.485208] 0003 0036 0000040e
2022-04-02 13:33:19.563279 True [  143913.493411] 0003 0035 000002e4
2022-04-02 13:33:19.563279 True [  143913.493411] 0003 0036 00000414
2022-04-02 13:33:19.571837 True [  143913.501921] 0003 0035 000002e7
2022-04-02 13:33:19.571837 True [  143913.501921] 0003 0036 0000041e
2022-04-02 13:33:19.579992 True [  143913.510191] 0003 0035 000002ea
2022-04-02 13:33:19.579992 True [  143913.510191] 0003 0036 00000424
2022-04-02 13:33:19.588281 True [  143913.518405] 0003 0035 000002ed
2022-04-02 13:33:19.588281 True [  143913.518405] 0003 0036 0000042f
2022-04-02 13:33:19.596026 True [  143913.526627] 0003 0035 000002f1
2022-04-02 13:33:19.596026 True [  143913.526627] 0003 0036 00000439
2022-04-02 13:33:19.605005 True [  143913.535106] 0003 0035 000002f5
2022-04-02 13:33:19.605005 True [  143913.535106] 0003 0036 00000443
2022-04-02 13:33:19.613004 True [  143913.543256] 0003 0035 000002f8
2022-04-02 13:33:19.613004 True [  143913.543256] 0003 0036 0000044b
2022-04-02 13:33:19.622569 True [  143913.551691] 0003 0035 000002fb
2022-04-02 13:33:19.622569 True [  143913.551691] 0003 0036 00000455
2022-04-02 13:33:19.630191 True [  143913.559917] 0003 0035 000002fd
2022-04-02 13:33:19.630191 True [  143913.559917] 0003 0036 0000045c
2022-04-02 13:33:19.638798 True [  143913.568371] 0003 0035 000002ff
2022-04-02 13:33:19.638798 True [  143913.568371] 0003 0036 00000464
2022-04-02 13:33:19.646963 True [  143913.576787] 0003 0035 00000303
2022-04-02 13:33:19.646963 True [  143913.576787] 0003 0036 0000046c
2022-04-02 13:33:19.655422 True [  143913.584955] 0003 0035 00000304
2022-04-02 13:33:19.655422 True [  143913.584955] 0003 0036 00000471
2022-04-02 13:33:19.663223 True [  143913.593184] 0003 0035 00000306
2022-04-02 13:33:19.663223 True [  143913.593184] 0003 0036 00000477
2022-04-02 13:33:19.671511 True [  143913.601536] 0003 0036 0000047b
2022-04-02 13:33:19.679956 True [  143913.609784] 0003 0035 00000307
2022-04-02 13:33:19.679956 True [  143913.609784] 0003 0036 0000047e
2022-04-02 13:33:19.687899 True [  143913.618180] 0003 0035 00000309
2022-04-02 13:33:19.687899 True [  143913.618180] 0003 0036 00000485
2022-04-02 13:33:19.696025 True [  143913.626404] 0003 0035 0000030a
2022-04-02 13:33:19.696025 True [  143913.626404] 0003 0036 0000048a
2022-04-02 13:33:19.705635 True [  143913.634863] 0003 0036 0000048e
2022-04-02 13:33:19.712757 True [  143913.643029] 0003 0035 0000030b
2022-04-02 13:33:19.712757 True [  143913.643029] 0003 0036 00000490
