Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.7457779650029883 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:45:14.713880 False [  144628.632926] 0003 0036 0000007e
2022-04-02 13:45:16.000931 False [  144629.920943] 0003 0035 00000525
2022-04-02 13:45:16.000931 False [  144629.920943] 0003 0036 000001cb
2022-04-02 13:45:17.638148 False [  144631.557503] 0003 0035 0000044f
2022-04-02 13:45:17.638148 True [  144631.557503] 0003 0036 0000055a
2022-04-02 13:45:19.084350 True [  144633.003489] 0003 0035 000002f7
2022-04-02 13:45:19.084865 True [  144633.003489] 0003 0036 000006b8
2022-04-02 13:45:19.093223 True [  144633.011250] 0003 0035 0000032a
2022-04-02 13:45:19.093223 True [  144633.011250] 0003 0036 000005f4
2022-04-02 13:45:19.099614 True [  144633.018998] 0003 0035 000002f3
2022-04-02 13:45:19.099614 True [  144633.018998] 0003 0036 000006af
2022-04-02 13:45:19.108261 True [  144633.027528] 0003 0035 000002f1
2022-04-02 13:45:19.108261 True [  144633.027528] 0003 0036 000006aa
2022-04-02 13:45:19.108261 True [  144633.027528] 0003 0035 00000328
2022-04-02 13:45:19.108261 True [  144633.027528] 0003 0036 000005ef
2022-04-02 13:45:19.117265 True [  144633.035868] 0003 0035 000002ef
2022-04-02 13:45:19.117265 True [  144633.035868] 0003 0036 000006a6
2022-04-02 13:45:19.117265 True [  144633.035868] 0003 0035 00000327
2022-04-02 13:45:19.117265 True [  144633.035868] 0003 0036 000005ec
2022-04-02 13:45:19.124577 True [  144633.044138] 0003 0035 000002e6
2022-04-02 13:45:19.124577 True [  144633.044138] 0003 0036 0000069b
2022-04-02 13:45:19.124577 True [  144633.044138] 0003 0036 000005de
2022-04-02 13:45:19.132399 True [  144633.052333] 0003 0035 000002e1
2022-04-02 13:45:19.132399 True [  144633.052333] 0003 0036 00000694
2022-04-02 13:45:19.132399 True [  144633.052333] 0003 0036 000005d5
2022-04-02 13:45:19.142094 True [  144633.060770] 0003 0035 000002de
2022-04-02 13:45:19.142094 True [  144633.060770] 0003 0036 00000690
2022-04-02 13:45:19.142094 True [  144633.060770] 0003 0035 00000329
2022-04-02 13:45:19.142094 True [  144633.060770] 0003 0036 000005c9
2022-04-02 13:45:19.150189 True [  144633.068996] 0003 0035 000002d6
2022-04-02 13:45:19.150189 True [  144633.068996] 0003 0036 0000068e
2022-04-02 13:45:19.152425 True [  144633.068996] 0003 0035 0000032a
2022-04-02 13:45:19.152425 True [  144633.068996] 0003 0036 000005c1
2022-04-02 13:45:19.158127 True [  144633.077473] 0003 0035 000002d1
2022-04-02 13:45:19.158127 True [  144633.077473] 0003 0036 0000068b
2022-04-02 13:45:19.158127 True [  144633.077473] 0003 0035 0000032d
2022-04-02 13:45:19.158127 True [  144633.077473] 0003 0036 000005b4
2022-04-02 13:45:19.165425 True [  144633.085653] 0003 0035 000002c6
2022-04-02 13:45:19.165425 True [  144633.085653] 0003 0035 0000032e
2022-04-02 13:45:19.165425 True [  144633.085653] 0003 0036 000005ab
2022-04-02 13:45:19.174302 True [  144633.094162] 0003 0035 000002bf
2022-04-02 13:45:19.174302 True [  144633.094162] 0003 0035 00000331
2022-04-02 13:45:19.174302 True [  144633.094162] 0003 0036 000005a0
2022-04-02 13:45:19.182767 True [  144633.102420] 0003 0035 000002ad
2022-04-02 13:45:19.182767 True [  144633.102420] 0003 0036 0000068f
2022-04-02 13:45:19.182767 True [  144633.102420] 0003 0035 00000332
2022-04-02 13:45:19.182767 True [  144633.102420] 0003 0036 00000599
2022-04-02 13:45:19.191203 True [  144633.110789] 0003 0035 000002a2
2022-04-02 13:45:19.191203 True [  144633.110789] 0003 0036 00000692
2022-04-02 13:45:19.191203 True [  144633.110789] 0003 0035 00000333
2022-04-02 13:45:19.191203 True [  144633.110789] 0003 0036 00000593
2022-04-02 13:45:19.199831 True [  144633.119264] 0003 0035 00000294
2022-04-02 13:45:19.199831 True [  144633.119264] 0003 0036 00000699
2022-04-02 13:45:19.199831 True [  144633.119264] 0003 0035 00000334
2022-04-02 13:45:19.199831 True [  144633.119264] 0003 0036 0000058c
2022-04-02 13:45:19.206898 True [  144633.127821] 0003 0035 0000028b
2022-04-02 13:45:19.206898 True [  144633.127821] 0003 0036 0000069d
2022-04-02 13:45:19.206898 True [  144633.127821] 0003 0036 00000586
2022-04-02 13:45:19.216043 True [  144633.135894] 0003 0035 00000280
2022-04-02 13:45:19.216043 True [  144633.135894] 0003 0036 000006a3
2022-04-02 13:45:19.216043 True [  144633.135894] 0003 0035 00000335
2022-04-02 13:45:19.216043 True [  144633.135894] 0003 0036 00000582
2022-04-02 13:45:19.224769 True [  144633.144335] 0003 0035 00000279
2022-04-02 13:45:19.224769 True [  144633.144335] 0003 0036 000006a7
2022-04-02 13:45:19.224769 True [  144633.144335] 0003 0036 0000057f
2022-04-02 13:45:19.233227 True [  144633.152513] 0003 0035 0000026e
2022-04-02 13:45:19.233227 False [  144633.152513] 0003 0036 000006af
2022-04-02 13:45:19.233227 True [  144633.152513] 0003 0036 0000057d
