Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.5157115037091708 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:46:37.095693 True [  144711.005935] 0003 0036 0000065e
2022-04-02 13:46:37.101833 True [  144711.013867] 0003 0036 00000661
2022-04-02 13:46:37.104783 True [  144711.021782] 0003 0036 00000662
2022-04-02 13:46:37.113209 True [  144711.029871] 0003 0036 00000664
2022-04-02 13:46:37.119959 True [  144711.038273] 0003 0035 00000375
2022-04-02 13:46:37.120359 True [  144711.038273] 0003 0036 00000663
2022-04-02 13:46:38.389292 True [  144712.303441] 0003 0035 00000303
2022-04-02 13:46:38.389292 True [  144712.303441] 0003 0036 0000054a
2022-04-02 13:46:38.408297 True [  144712.326406] 0003 0035 00000339
2022-04-02 13:46:38.408297 True [  144712.326406] 0003 0036 0000046a
2022-04-02 13:46:38.544109 True [  144712.459366] 0003 0035 00000302
2022-04-02 13:46:38.545166 True [  144712.459366] 0003 0036 0000054b
2022-04-02 13:46:38.548993 True [  144712.467718] 0003 0035 00000301
2022-04-02 13:46:38.548993 True [  144712.467718] 0003 0036 0000054c
2022-04-02 13:46:38.558865 True [  144712.476308] 0003 0035 00000300
2022-04-02 13:46:38.558865 True [  144712.476308] 0003 0036 0000054e
2022-04-02 13:46:38.574410 True [  144712.492596] 0003 0035 000002fe
2022-04-02 13:46:38.574410 True [  144712.492596] 0003 0036 0000054f
2022-04-02 13:46:38.574410 True [  144712.492596] 0003 0035 0000033a
2022-04-02 13:46:38.574410 True [  144712.492596] 0003 0036 00000469
2022-04-02 13:46:38.583155 True [  144712.501380] 0003 0035 000002fb
2022-04-02 13:46:38.583155 True [  144712.501380] 0003 0036 00000553
2022-04-02 13:46:38.583155 True [  144712.501380] 0003 0035 0000033b
2022-04-02 13:46:38.590384 True [  144712.509127] 0003 0035 000002f8
2022-04-02 13:46:38.590384 True [  144712.509127] 0003 0036 00000556
2022-04-02 13:46:38.590384 True [  144712.509127] 0003 0035 0000033c
2022-04-02 13:46:38.597908 True [  144712.517763] 0003 0035 000002f6
2022-04-02 13:46:38.597908 True [  144712.517763] 0003 0036 00000559
2022-04-02 13:46:38.597908 True [  144712.517763] 0003 0035 0000033d
2022-04-02 13:46:38.608010 True [  144712.525893] 0003 0035 000002f4
2022-04-02 13:46:38.608010 True [  144712.525893] 0003 0036 0000055a
2022-04-02 13:46:38.608010 True [  144712.525893] 0003 0035 0000033e
2022-04-02 13:46:38.616324 True [  144712.534388] 0003 0035 000002f1
2022-04-02 13:46:38.616324 True [  144712.534388] 0003 0036 0000055d
2022-04-02 13:46:38.616324 True [  144712.534388] 0003 0035 0000033f
2022-04-02 13:46:38.616324 True [  144712.534388] 0003 0036 00000468
2022-04-02 13:46:38.623664 True [  144712.542495] 0003 0035 000002ef
2022-04-02 13:46:38.623664 True [  144712.542495] 0003 0036 0000055f
2022-04-02 13:46:38.623664 True [  144712.542495] 0003 0035 00000340
2022-04-02 13:46:38.631485 True [  144712.550890] 0003 0035 000002ed
2022-04-02 13:46:38.631485 True [  144712.550890] 0003 0036 00000561
2022-04-02 13:46:38.642556 True [  144712.559353] 0003 0035 000002ea
2022-04-02 13:46:38.642556 True [  144712.559353] 0003 0036 00000564
2022-04-02 13:46:38.642556 True [  144712.559353] 0003 0035 00000341
2022-04-02 13:46:38.659430 True [  144712.575845] 0003 0035 000002e7
2022-04-02 13:46:38.659430 True [  144712.575845] 0003 0036 00000566
2022-04-02 13:46:38.659430 True [  144712.575845] 0003 0035 00000342
2022-04-02 13:46:38.665982 True [  144712.584361] 0003 0035 000002e5
2022-04-02 13:46:38.665982 True [  144712.584361] 0003 0036 00000568
2022-04-02 13:46:38.665982 True [  144712.584361] 0003 0035 00000343
2022-04-02 13:46:38.665982 True [  144712.584361] 0003 0036 00000467
2022-04-02 13:46:38.674436 True [  144712.592673] 0003 0035 000002e3
2022-04-02 13:46:38.674436 True [  144712.592673] 0003 0036 0000056a
2022-04-02 13:46:38.674436 True [  144712.592673] 0003 0036 00000466
2022-04-02 13:46:38.682952 True [  144712.600992] 0003 0035 000002e1
2022-04-02 13:46:38.682952 True [  144712.600992] 0003 0036 0000056b
2022-04-02 13:46:38.682952 True [  144712.600992] 0003 0035 00000344
2022-04-02 13:46:38.692440 True [  144712.609136] 0003 0035 000002df
2022-04-02 13:46:38.692440 True [  144712.609136] 0003 0036 0000056c
2022-04-02 13:46:38.692440 True [  144712.609136] 0003 0035 00000345
2022-04-02 13:46:38.692440 True [  144712.609136] 0003 0036 00000465
2022-04-02 13:46:38.698424 True [  144712.617307] 0003 0036 0000056e
2022-04-02 13:46:38.698424 True [  144712.617307] 0003 0035 00000346
2022-04-02 13:46:38.708368 True [  144712.625885] 0003 0035 000002dd
2022-04-02 13:46:38.708368 True [  144712.625885] 0003 0036 0000056f
2022-04-02 13:46:38.708368 True [  144712.625885] 0003 0035 00000347
2022-04-02 13:46:38.708368 True [  144712.625885] 0003 0036 00000464
2022-04-02 13:46:38.715459 True [  144712.634179] 0003 0035 000002dc
