Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.4034589733288429 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 14:00:16.433799 False [  145530.335311] 0003 0036 00000198
2022-04-02 14:00:16.566035 False [  145530.469032] 0003 0036 00000199
2022-04-02 14:00:16.583358 False [  145530.484714] 0003 0036 0000019a
2022-04-02 14:00:16.590182 False [  145530.492742] 0003 0036 0000019c
2022-04-02 14:00:16.595927 False [  145530.501012] 0003 0036 0000019e
2022-04-02 14:00:16.604288 False [  145530.509214] 0003 0035 00000180
2022-04-02 14:00:16.604288 False [  145530.509214] 0003 0036 000001a0
2022-04-02 14:00:16.612655 False [  145530.517624] 0003 0035 00000181
2022-04-02 14:00:16.612655 False [  145530.517624] 0003 0036 000001a3
2022-04-02 14:00:16.621180 False [  145530.525814] 0003 0036 000001a7
2022-04-02 14:00:16.630547 False [  145530.534282] 0003 0035 00000182
2022-04-02 14:00:16.630547 False [  145530.534282] 0003 0036 000001a9
2022-04-02 14:00:16.640272 False [  145530.542524] 0003 0035 00000183
2022-04-02 14:00:16.640272 False [  145530.542524] 0003 0036 000001ad
2022-04-02 14:00:16.643692 False [  145530.551032] 0003 0035 00000185
2022-04-02 14:00:16.643692 False [  145530.551032] 0003 0036 000001b0
2022-04-02 14:00:16.653018 False [  145530.559181] 0003 0035 00000186
2022-04-02 14:00:16.653018 False [  145530.559181] 0003 0036 000001b4
2022-04-02 14:00:16.661414 False [  145530.567666] 0003 0035 00000188
2022-04-02 14:00:16.661414 False [  145530.567666] 0003 0036 000001b9
2022-04-02 14:00:16.670120 False [  145530.575768] 0003 0036 000001bc
2022-04-02 14:00:16.679108 False [  145530.584086] 0003 0035 0000018b
2022-04-02 14:00:16.679108 False [  145530.584086] 0003 0036 000001c0
2022-04-02 14:00:16.687114 False [  145530.592580] 0003 0035 0000018d
2022-04-02 14:00:16.687114 False [  145530.592580] 0003 0036 000001c4
2022-04-02 14:00:16.695209 False [  145530.600728] 0003 0035 0000018f
2022-04-02 14:00:16.695209 False [  145530.600728] 0003 0036 000001ca
2022-04-02 14:00:16.705018 False [  145530.609052] 0003 0035 00000191
2022-04-02 14:00:16.705018 False [  145530.609052] 0003 0036 000001cd
2022-04-02 14:00:16.713740 False [  145530.617688] 0003 0035 00000192
2022-04-02 14:00:16.713740 False [  145530.617688] 0003 0036 000001d0
2022-04-02 14:00:16.721825 False [  145530.625591] 0003 0035 00000193
2022-04-02 14:00:16.721825 False [  145530.625591] 0003 0036 000001d4
2022-04-02 14:00:16.729408 False [  145530.633967] 0003 0035 00000194
2022-04-02 14:00:16.729408 False [  145530.633967] 0003 0036 000001d6
2022-04-02 14:00:16.736822 False [  145530.642165] 0003 0035 00000195
