Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.9981248280230397 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 14:19:19.017359 False [  146682.317885] 0003 0036 000001f3
2022-04-02 14:19:19.210220 False [  146682.490868] 0003 0035 00000173
2022-04-02 14:19:19.215169 False [  146682.505674] 0003 0036 000001f4
2022-04-02 14:19:19.215169 False [  146682.517371] 0003 0035 00000174
2022-04-02 14:19:19.215169 False [  146682.517371] 0003 0036 000001f5
2022-04-02 14:19:19.222246 False [  146682.531778] 0003 0035 00000176
2022-04-02 14:19:19.223243 False [  146682.531778] 0003 0036 000001f7
2022-04-02 14:19:19.249018 False [  146682.540066] 0003 0035 00000177
2022-04-02 14:19:19.249018 False [  146682.540066] 0003 0036 000001f8
2022-04-02 14:19:19.292104 False [  146682.550384] 0003 0035 00000179
2022-04-02 14:19:19.293105 False [  146682.550384] 0003 0036 000001f9
2022-04-02 14:19:19.293105 False [  146682.556770] 0003 0035 0000017a
2022-04-02 14:19:19.293105 False [  146682.556770] 0003 0036 000001fb
2022-04-02 14:19:19.293105 False [  146682.565030] 0003 0035 0000017d
2022-04-02 14:19:19.293105 False [  146682.565030] 0003 0036 000001fe
2022-04-02 14:19:19.298362 False [  146682.573373] 0003 0035 0000017e
2022-04-02 14:19:19.298362 False [  146682.573373] 0003 0036 00000200
2022-04-02 14:19:19.298362 False [  146682.584285] 0003 0035 0000017f
2022-04-02 14:19:19.298362 False [  146682.584285] 0003 0036 00000202
2022-04-02 14:19:19.298362 False [  146682.591337] 0003 0035 00000181
2022-04-02 14:19:19.298362 False [  146682.591337] 0003 0036 00000203
2022-04-02 14:19:19.298362 False [  146682.600782] 0003 0035 00000182
2022-04-02 14:19:19.298362 False [  146682.600782] 0003 0036 00000206
2022-04-02 14:19:19.367699 False [  146682.614913] 0003 0035 00000185
2022-04-02 14:19:19.367699 False [  146682.614913] 0003 0036 00000208
2022-04-02 14:19:19.367699 False [  146682.624563] 0003 0035 00000186
2022-04-02 14:19:19.367699 False [  146682.624563] 0003 0036 0000020b
2022-04-02 14:19:19.367699 False [  146682.633435] 0003 0035 00000188
2022-04-02 14:19:19.367699 False [  146682.633435] 0003 0036 0000020c
2022-04-02 14:19:19.367699 False [  146682.641741] 0003 0035 00000189
2022-04-02 14:19:19.367699 False [  146682.641741] 0003 0036 0000020e
2022-04-02 14:19:19.367699 False [  146682.650762] 0003 0035 0000018b
2022-04-02 14:19:19.367699 False [  146682.650762] 0003 0036 0000020f
2022-04-02 14:19:19.367699 False [  146682.658882] 0003 0035 0000018c
2022-04-02 14:19:19.367699 False [  146682.658882] 0003 0036 00000212
2022-04-02 14:19:19.380361 False [  146682.673029] 0003 0035 0000018e
2022-04-02 14:19:19.380361 False [  146682.673029] 0003 0036 00000214
2022-04-02 14:19:19.380361 False [  146682.683545] 0003 0035 0000018f
2022-04-02 14:19:19.380361 False [  146682.683545] 0003 0036 00000217
2022-04-02 14:19:19.390050 False [  146682.698024] 0003 0035 00000192
2022-04-02 14:19:19.390050 False [  146682.698024] 0003 0036 00000219
2022-04-02 14:19:19.424078 False [  146682.706344] 0003 0035 00000194
2022-04-02 14:19:19.424078 False [  146682.706344] 0003 0036 0000021c
2022-04-02 14:19:19.466243 False [  146682.716508] 0003 0035 00000196
2022-04-02 14:19:19.466243 False [  146682.716508] 0003 0036 0000021e
2022-04-02 14:19:19.466243 False [  146682.723051] 0003 0035 00000197
2022-04-02 14:19:19.466243 False [  146682.723051] 0003 0036 00000221
2022-04-02 14:19:19.466243 False [  146682.732534] 0003 0035 00000199
2022-04-02 14:19:19.466243 False [  146682.732534] 0003 0036 00000224
2022-04-02 14:19:19.466243 False [  146682.739663] 0003 0035 0000019a
2022-04-02 14:19:19.466243 False [  146682.739663] 0003 0036 00000225
2022-04-02 14:19:19.509164 False [  146682.748170] 0003 0035 0000019c
2022-04-02 14:19:19.509164 False [  146682.748170] 0003 0036 00000228
2022-04-02 14:19:19.509164 False [  146682.757619] 0003 0035 0000019d
2022-04-02 14:19:19.509164 False [  146682.757619] 0003 0036 00000229
2022-04-02 14:19:19.509164 False [  146682.767099] 0003 0035 0000019e
2022-04-02 14:19:19.509164 False [  146682.767099] 0003 0036 0000022b
2022-04-02 14:19:19.509164 False [  146682.772776] 0003 0035 000001a0
2022-04-02 14:19:19.509164 False [  146682.772776] 0003 0036 0000022d
2022-04-02 14:19:19.509164 False [  146682.782567] 0003 0035 000001a1
2022-04-02 14:19:19.509164 False [  146682.782567] 0003 0036 0000022e
2022-04-02 14:19:19.542018 False [  146682.792324] 0003 0035 000001a2
2022-04-02 14:19:19.542018 False [  146682.792324] 0003 0036 00000230
2022-04-02 14:19:19.542018 False [  146682.798153] 0003 0035 000001a3
2022-04-02 14:19:19.542018 False [  146682.798153] 0003 0036 00000232
2022-04-02 14:19:19.542018 False [  146682.806039] 0003 0035 000001a5
2022-04-02 14:19:19.542018 False [  146682.806039] 0003 0036 00000234
2022-04-02 14:19:19.566296 False [  146682.824739] 0003 0035 000001a7
2022-04-02 14:19:19.566296 False [  146682.824739] 0003 0036 00000236
2022-04-02 14:19:19.566296 False [  146682.834702] 0003 0035 000001a8
2022-04-02 14:19:19.566296 False [  146682.834702] 0003 0036 00000238
2022-04-02 14:19:19.566296 False [  146682.839310] 0003 0036 00000239
2022-04-02 14:19:19.566296 False [  146682.847688] 0003 0035 000001a9
2022-04-02 14:19:19.566296 False [  146682.857954] 0003 0035 000001aa
2022-04-02 14:19:19.566296 False [  146682.857954] 0003 0036 0000023b
2022-04-02 14:19:19.569522 False [  146682.867771] 0003 0035 000001ab
2022-04-02 14:19:19.569522 False [  146682.867771] 0003 0036 0000023d
2022-04-02 14:19:19.569522 False [  146682.873296] 0003 0035 000001ac
2022-04-02 14:19:19.569522 False [  146682.873296] 0003 0036 0000023f
2022-04-02 14:19:19.676171 False [  146682.889098] 0003 0035 000001ad
2022-04-02 14:19:19.676171 False [  146682.889098] 0003 0036 00000241
2022-04-02 14:19:19.676171 False [  146682.899130] 0003 0036 00000242
2022-04-02 14:19:19.676171 False [  146682.908959] 0003 0035 000001ae
2022-04-02 14:19:19.676171 False [  146682.908959] 0003 0036 00000244
2022-04-02 14:19:19.676171 False [  146682.916692] 0003 0035 000001af
2022-04-02 14:19:19.676171 False [  146682.926830] 0003 0035 000001b0
2022-04-02 14:19:19.676171 False [  146682.926830] 0003 0036 00000245
2022-04-02 14:19:19.676171 False [  146682.936692] 0003 0036 00000247
2022-04-02 14:19:19.725171 False [  146682.946858] 0003 0035 000001b1
2022-04-02 14:19:19.725171 False [  146682.946858] 0003 0036 00000248
2022-04-02 14:19:19.725171 False [  146682.956520] 0003 0035 000001b2
2022-04-02 14:19:19.725171 False [  146682.956520] 0003 0036 00000249
2022-04-02 14:19:19.725171 False [  146682.965911] 0003 0035 000001b3
2022-04-02 14:19:19.725171 False [  146682.965911] 0003 0036 0000024b
2022-04-02 14:19:19.725171 False [  146682.972929] 0003 0036 0000024c
2022-04-02 14:19:19.725171 False [  146682.983730] 0003 0035 000001b4
2022-04-02 14:19:19.725171 False [  146682.983730] 0003 0036 0000024e
2022-04-02 14:19:19.725171 False [  146682.993121] 0003 0035 000001b5
2022-04-02 14:19:19.725171 False [  146682.993121] 0003 0036 0000024f
2022-04-02 14:19:19.775295 False [  146683.002302] 0003 0035 000001b6
2022-04-02 14:19:19.775295 False [  146683.008822] 0003 0036 00000250
2022-04-02 14:19:19.775295 False [  146683.019109] 0003 0035 000001b7
2022-04-02 14:19:19.775295 False [  146683.019109] 0003 0036 00000251
2022-04-02 14:19:19.775295 False [  146683.023377] 0003 0036 00000253
2022-04-02 14:19:19.775295 False [  146683.032826] 0003 0035 000001b8
2022-04-02 14:19:19.775295 False [  146683.032826] 0003 0036 00000254
2022-04-02 14:19:19.780413 False [  146683.042071] 0003 0035 000001b9
2022-04-02 14:19:19.780413 False [  146683.052325] 0003 0036 00000255
2022-04-02 14:19:19.780413 False [  146683.062745] 0003 0035 000001ba
2022-04-02 14:19:19.780413 False [  146683.062745] 0003 0036 00000257
2022-04-02 14:19:19.780413 False [  146683.072953] 0003 0035 000001bb
2022-04-02 14:19:19.780413 False [  146683.072953] 0003 0036 00000258
2022-04-02 14:19:19.780413 False [  146683.082539] 0003 0035 000001be
2022-04-02 14:19:19.780413 False [  146683.082539] 0003 0036 0000025a
2022-04-02 14:19:19.828787 False [  146683.097080] 0003 0035 000001bf
2022-04-02 14:19:19.828787 False [  146683.097080] 0003 0036 0000025d
2022-04-02 14:19:19.891497 False [  146683.106702] 0003 0035 000001c1
2022-04-02 14:19:19.891497 False [  146683.106702] 0003 0036 0000025f
2022-04-02 14:19:19.892546 False [  146683.116264] 0003 0035 000001c2
2022-04-02 14:19:19.892546 False [  146683.126584] 0003 0035 000001c3
2022-04-02 14:19:19.892546 False [  146683.126584] 0003 0036 00000261
2022-04-02 14:19:19.892546 False [  146683.135370] 0003 0035 000001c4
2022-04-02 14:19:19.892546 False [  146683.135370] 0003 0036 00000263
2022-04-02 14:19:19.892546 False [  146683.144415] 0003 0035 000001c5
2022-04-02 14:19:19.892546 False [  146683.144415] 0003 0036 00000264
2022-04-02 14:19:19.945844 False [  146683.154402] 0003 0035 000001c6
2022-04-02 14:19:19.945844 False [  146683.166075] 0003 0035 000001c7
2022-04-02 14:19:19.945844 False [  146683.166075] 0003 0036 00000266
2022-04-02 14:19:19.945844 False [  146683.175736] 0003 0035 000001c9
2022-04-02 14:19:19.945844 False [  146683.175736] 0003 0036 00000268
2022-04-02 14:19:19.945844 False [  146683.185695] 0003 0036 00000269
2022-04-02 14:19:19.945844 False [  146683.196806] 0003 0035 000001ca
2022-04-02 14:19:19.945844 False [  146683.196806] 0003 0036 0000026a
2022-04-02 14:19:19.945844 False [  146683.207471] 0003 0035 000001cc
2022-04-02 14:19:19.945844 False [  146683.207471] 0003 0036 0000026c
2022-04-02 14:19:19.997968 False [  146683.213311] 0003 0036 0000026d
2022-04-02 14:19:19.997968 False [  146683.225324] 0003 0035 000001cd
2022-04-02 14:19:19.997968 False [  146683.225324] 0003 0036 0000026e
2022-04-02 14:19:19.997968 False [  146683.233898] 0003 0036 0000026f
2022-04-02 14:19:19.997968 False [  146683.243607] 0003 0035 000001ce
2022-04-02 14:19:19.997968 False [  146683.243607] 0003 0036 00000270
2022-04-02 14:19:19.997968 False [  146683.253823] 0003 0035 000001cf
2022-04-02 14:19:19.997968 False [  146683.253823] 0003 0036 00000271
2022-04-02 14:19:19.997968 False [  146683.261765] 0003 0035 000001d0
2022-04-02 14:19:19.997968 False [  146683.261765] 0003 0036 00000272
2022-04-02 14:19:20.054276 False [  146683.271439] 0003 0036 00000273
2022-04-02 14:19:20.054276 False [  146683.282036] 0003 0035 000001d1
2022-04-02 14:19:20.054276 False [  146683.282036] 0003 0036 00000275
2022-04-02 14:19:20.054276 False [  146683.292729] 0003 0035 000001d3
2022-04-02 14:19:20.054276 False [  146683.292729] 0003 0036 00000276
2022-04-02 14:19:20.054276 False [  146683.302179] 0003 0036 00000278
2022-04-02 14:19:20.054276 False [  146683.313043] 0003 0036 00000279
2022-04-02 14:19:20.119468 False [  146683.323502] 0003 0035 000001d4
2022-04-02 14:19:20.119468 False [  146683.323502] 0003 0036 0000027a
2022-04-02 14:19:20.119468 False [  146683.332418] 0003 0035 000001d5
2022-04-02 14:19:20.119468 False [  146683.339355] 0003 0035 000001d7
2022-04-02 14:19:20.119468 False [  146683.339355] 0003 0036 0000027c
2022-04-02 14:19:20.119468 False [  146683.348397] 0003 0036 0000027d
2022-04-02 14:19:20.119468 False [  146683.359110] 0003 0036 0000027e
2022-04-02 14:19:20.119468 False [  146683.369949] 0003 0035 000001d8
2022-04-02 14:19:20.119468 False [  146683.369949] 0003 0036 0000027f
2022-04-02 14:19:20.154187 False [  146683.379254] 0003 0035 000001d9
2022-04-02 14:19:20.154187 False [  146683.391491] 0003 0035 000001da
2022-04-02 14:19:20.154187 False [  146683.391491] 0003 0036 00000280
2022-04-02 14:19:20.154187 False [  146683.400525] 0003 0036 00000282
2022-04-02 14:19:20.154187 False [  146683.410461] 0003 0035 000001db
2022-04-02 14:19:20.154187 False [  146683.410461] 0003 0036 00000283
2022-04-02 14:19:20.154187 False [  146683.419890] 0003 0035 000001dc
2022-04-02 14:19:20.154187 False [  146683.419890] 0003 0036 00000284
2022-04-02 14:19:20.154187 False [  146683.426158] 0003 0035 000001dd
2022-04-02 14:19:20.158312 False [  146683.438533] 0003 0036 00000285
2022-04-02 14:19:20.158312 False [  146683.449504] 0003 0035 000001de
2022-04-02 14:19:20.158312 False [  146683.449504] 0003 0036 00000287
2022-04-02 14:19:20.158312 False [  146683.459225] 0003 0035 000001df
2022-04-02 14:19:20.158312 False [  146683.459225] 0003 0036 00000288
2022-04-02 14:19:20.177707 False [  146683.479331] 0003 0035 000001e0
