Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.221698797590173 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:20:27.466564 False [  146750.771624] 0003 0036 0000019c
2022-04-02 14:20:27.592212 False [  146750.870048] 0003 0035 00000116
2022-04-02 14:20:27.648133 False [  146750.886798] 0003 0035 00000118
2022-04-02 14:20:27.648133 False [  146750.886798] 0003 0036 0000019d
2022-04-02 14:20:27.648133 False [  146750.898222] 0003 0035 0000011a
2022-04-02 14:20:27.648133 False [  146750.898222] 0003 0036 0000019e
2022-04-02 14:20:27.648133 False [  146750.906267] 0003 0035 0000011b
2022-04-02 14:20:27.649131 False [  146750.906267] 0003 0036 0000019f
2022-04-02 14:20:27.697628 False [  146750.914200] 0003 0035 0000011c
2022-04-02 14:20:27.697628 False [  146750.914200] 0003 0036 000001a0
2022-04-02 14:20:27.697628 False [  146750.920440] 0003 0035 0000011d
2022-04-02 14:20:27.697628 False [  146750.920440] 0003 0036 000001a1
2022-04-02 14:20:27.697628 False [  146750.928347] 0003 0035 0000011e
2022-04-02 14:20:27.697628 False [  146750.928347] 0003 0036 000001a2
2022-04-02 14:20:27.697628 False [  146750.940227] 0003 0035 00000120
2022-04-02 14:20:27.697628 False [  146750.940227] 0003 0036 000001a3
2022-04-02 14:20:27.697628 False [  146750.951664] 0003 0035 00000121
2022-04-02 14:20:27.697628 False [  146750.951664] 0003 0036 000001a4
2022-04-02 14:20:27.697628 False [  146750.963469] 0003 0035 00000122
2022-04-02 14:20:27.697628 False [  146750.963469] 0003 0036 000001a5
2022-04-02 14:20:27.807054 False [  146750.973654] 0003 0035 00000124
2022-04-02 14:20:27.807054 False [  146750.973654] 0003 0036 000001a8
2022-04-02 14:20:27.807054 False [  146750.983626] 0003 0035 00000125
2022-04-02 14:20:27.807054 False [  146750.983626] 0003 0036 000001a9
2022-04-02 14:20:27.807054 False [  146750.992761] 0003 0035 00000127
2022-04-02 14:20:27.807054 False [  146750.992761] 0003 0036 000001aa
2022-04-02 14:20:27.807054 False [  146750.997024] 0003 0035 00000128
2022-04-02 14:20:27.807054 False [  146750.997024] 0003 0036 000001ab
2022-04-02 14:20:27.807054 False [  146751.003108] 0003 0035 00000129
2022-04-02 14:20:27.807054 False [  146751.003108] 0003 0036 000001ad
2022-04-02 14:20:27.807054 False [  146751.013066] 0003 0035 0000012b
2022-04-02 14:20:27.807054 False [  146751.013066] 0003 0036 000001af
2022-04-02 14:20:27.860437 False [  146751.024745] 0003 0035 0000012c
2022-04-02 14:20:27.860437 False [  146751.024745] 0003 0036 000001b0
2022-04-02 14:20:27.860437 False [  146751.035752] 0003 0035 0000012d
2022-04-02 14:20:27.860437 False [  146751.035752] 0003 0036 000001b2
2022-04-02 14:20:27.860437 False [  146751.047151] 0003 0035 0000012f
2022-04-02 14:20:27.860437 False [  146751.047151] 0003 0036 000001b4
2022-04-02 14:20:27.860437 False [  146751.057739] 0003 0035 00000133
2022-04-02 14:20:27.860437 False [  146751.057739] 0003 0036 000001b9
2022-04-02 14:20:27.860437 False [  146751.067947] 0003 0035 00000134
2022-04-02 14:20:27.860437 False [  146751.067947] 0003 0036 000001bb
2022-04-02 14:20:27.860437 False [  146751.079140] 0003 0035 00000136
2022-04-02 14:20:27.860437 False [  146751.079140] 0003 0036 000001be
2022-04-02 14:20:27.860437 False [  146751.089738] 0003 0035 00000139
2022-04-02 14:20:27.860437 False [  146751.089738] 0003 0036 000001c4
2022-04-02 14:20:27.860437 False [  146751.101070] 0003 0035 0000013a
2022-04-02 14:20:27.860437 False [  146751.101070] 0003 0036 000001c5
2022-04-02 14:20:27.860437 False [  146751.112323] 0003 0035 0000013c
2022-04-02 14:20:27.860437 False [  146751.112323] 0003 0036 000001c8
2022-04-02 14:20:27.860437 False [  146751.122325] 0003 0035 0000013f
2022-04-02 14:20:27.860437 False [  146751.122325] 0003 0036 000001cd
2022-04-02 14:20:27.953305 False [  146751.133121] 0003 0035 00000141
2022-04-02 14:20:27.954153 False [  146751.133121] 0003 0036 000001cf
2022-04-02 14:20:27.954153 False [  146751.140882] 0003 0035 00000142
2022-04-02 14:20:27.954153 False [  146751.140882] 0003 0036 000001d1
2022-04-02 14:20:27.954153 False [  146751.150699] 0003 0035 00000143
2022-04-02 14:20:27.954153 False [  146751.150699] 0003 0036 000001d3
2022-04-02 14:20:27.954153 False [  146751.159447] 0003 0035 00000144
2022-04-02 14:20:27.954153 False [  146751.159447] 0003 0036 000001d5
2022-04-02 14:20:27.954153 False [  146751.164954] 0003 0035 00000146
2022-04-02 14:20:27.954153 False [  146751.164954] 0003 0036 000001d7
2022-04-02 14:20:27.954153 False [  146751.173198] 0003 0035 00000148
2022-04-02 14:20:27.954153 False [  146751.173198] 0003 0036 000001da
2022-04-02 14:20:28.000775 False [  146751.182002] 0003 0035 00000149
2022-04-02 14:20:28.000775 False [  146751.182002] 0003 0036 000001db
2022-04-02 14:20:28.000775 False [  146751.191549] 0003 0035 0000014b
2022-04-02 14:20:28.000775 False [  146751.191549] 0003 0036 000001de
2022-04-02 14:20:28.000775 False [  146751.200863] 0003 0035 0000014c
2022-04-02 14:20:28.000775 False [  146751.200863] 0003 0036 000001df
2022-04-02 14:20:28.000775 False [  146751.210302] 0003 0035 0000014d
2022-04-02 14:20:28.000775 False [  146751.210302] 0003 0036 000001e1
2022-04-02 14:20:28.000775 False [  146751.222769] 0003 0035 0000014f
2022-04-02 14:20:28.000775 False [  146751.222769] 0003 0036 000001e3
2022-04-02 14:20:28.000775 False [  146751.232962] 0003 0035 00000152
2022-04-02 14:20:28.000775 False [  146751.232962] 0003 0036 000001e7
2022-04-02 14:20:28.000775 False [  146751.242418] 0003 0035 00000153
2022-04-02 14:20:28.000775 False [  146751.242418] 0003 0036 000001e8
2022-04-02 14:20:28.000775 False [  146751.250465] 0003 0035 00000154
2022-04-02 14:20:28.000775 False [  146751.250465] 0003 0036 000001ea
2022-04-02 14:20:28.000775 False [  146751.259584] 0003 0035 00000155
2022-04-02 14:20:28.000775 False [  146751.259584] 0003 0036 000001ec
2022-04-02 14:20:28.000775 False [  146751.269435] 0003 0035 00000156
2022-04-02 14:20:28.000775 False [  146751.269435] 0003 0036 000001ed
2022-04-02 14:20:28.014602 False [  146751.277274] 0003 0035 00000158
2022-04-02 14:20:28.014602 False [  146751.277274] 0003 0036 000001f1
2022-04-02 14:20:28.014602 False [  146751.286973] 0003 0035 0000015a
2022-04-02 14:20:28.014602 False [  146751.286973] 0003 0036 000001f2
2022-04-02 14:20:28.014602 False [  146751.295760] 0003 0035 0000015b
2022-04-02 14:20:28.014602 False [  146751.295760] 0003 0036 000001f4
2022-04-02 14:20:28.014602 False [  146751.307299] 0003 0035 0000015c
2022-04-02 14:20:28.014602 False [  146751.307299] 0003 0036 000001f5
2022-04-02 14:20:28.014602 False [  146751.315696] 0003 0035 0000015d
2022-04-02 14:20:28.014602 False [  146751.315696] 0003 0036 000001f7
2022-04-02 14:20:28.076332 False [  146751.322277] 0003 0035 0000015f
2022-04-02 14:20:28.076332 False [  146751.322277] 0003 0036 000001f9
2022-04-02 14:20:28.115066 False [  146751.331909] 0003 0035 00000161
2022-04-02 14:20:28.115066 False [  146751.331909] 0003 0036 000001fa
2022-04-02 14:20:28.115066 False [  146751.341998] 0003 0036 000001fd
2022-04-02 14:20:28.115066 False [  146751.351492] 0003 0035 00000163
2022-04-02 14:20:28.115066 False [  146751.351492] 0003 0036 000001fe
2022-04-02 14:20:28.115066 False [  146751.361671] 0003 0035 00000164
2022-04-02 14:20:28.115066 False [  146751.361671] 0003 0036 00000201
2022-04-02 14:20:28.115066 False [  146751.371737] 0003 0035 00000166
2022-04-02 14:20:28.115066 False [  146751.371737] 0003 0036 00000204
2022-04-02 14:20:28.115066 False [  146751.381655] 0003 0035 00000168
2022-04-02 14:20:28.115066 False [  146751.381655] 0003 0036 00000206
2022-04-02 14:20:28.119589 False [  146751.392039] 0003 0036 00000207
2022-04-02 14:20:28.119589 False [  146751.403428] 0003 0035 0000016a
2022-04-02 14:20:28.119589 False [  146751.403428] 0003 0036 0000020a
2022-04-02 14:20:28.119589 False [  146751.411648] 0003 0035 0000016c
2022-04-02 14:20:28.119589 False [  146751.411648] 0003 0036 0000020e
2022-04-02 14:20:28.119589 False [  146751.418731] 0003 0035 0000016e
2022-04-02 14:20:28.119589 False [  146751.418731] 0003 0036 0000020f
2022-04-02 14:20:28.119589 False [  146751.426832] 0003 0035 0000016f
2022-04-02 14:20:28.119589 False [  146751.426832] 0003 0036 00000211
2022-04-02 14:20:28.158765 False [  146751.435467] 0003 0035 00000170
2022-04-02 14:20:28.158765 False [  146751.435467] 0003 0036 00000213
2022-04-02 14:20:28.179070 False [  146751.443573] 0003 0035 00000172
2022-04-02 14:20:28.179070 False [  146751.443573] 0003 0036 00000215
2022-04-02 14:20:28.179070 False [  146751.451999] 0003 0035 00000173
2022-04-02 14:20:28.179070 False [  146751.451999] 0003 0036 00000218
2022-04-02 14:20:28.179070 False [  146751.460142] 0003 0035 00000174
2022-04-02 14:20:28.179070 False [  146751.460142] 0003 0036 00000219
2022-04-02 14:20:28.179070 False [  146751.468506] 0003 0035 00000176
2022-04-02 14:20:28.179070 False [  146751.468506] 0003 0036 0000021c
2022-04-02 14:20:28.211869 False [  146751.476624] 0003 0035 00000178
2022-04-02 14:20:28.211869 False [  146751.476624] 0003 0036 0000021e
2022-04-02 14:20:28.211869 False [  146751.485218] 0003 0035 0000017a
2022-04-02 14:20:28.211869 False [  146751.485218] 0003 0036 00000220
2022-04-02 14:20:28.211869 False [  146751.493955] 0003 0035 0000017b
2022-04-02 14:20:28.211869 False [  146751.493955] 0003 0036 00000223
2022-04-02 14:20:28.228673 False [  146751.501936] 0003 0035 0000017d
2022-04-02 14:20:28.228673 False [  146751.501936] 0003 0036 00000224
2022-04-02 14:20:28.228673 False [  146751.510272] 0003 0035 0000017e
2022-04-02 14:20:28.228673 False [  146751.510272] 0003 0036 00000227
2022-04-02 14:20:28.228673 False [  146751.519531] 0003 0035 0000017f
2022-04-02 14:20:28.228673 False [  146751.519531] 0003 0036 00000229
2022-04-02 14:20:28.228673 False [  146751.526694] 0003 0035 00000181
2022-04-02 14:20:28.228673 False [  146751.526694] 0003 0036 0000022b
2022-04-02 14:20:28.252034 False [  146751.535328] 0003 0035 00000182
2022-04-02 14:20:28.252034 False [  146751.535328] 0003 0036 0000022e
2022-04-02 14:20:28.252034 False [  146751.543249] 0003 0035 00000183
2022-04-02 14:20:28.252034 False [  146751.543249] 0003 0036 0000022f
2022-04-02 14:20:28.275063 False [  146751.551817] 0003 0035 00000185
2022-04-02 14:20:28.275063 False [  146751.551817] 0003 0036 00000232
2022-04-02 14:20:28.275063 False [  146751.559873] 0003 0035 00000186
2022-04-02 14:20:28.275063 False [  146751.559873] 0003 0036 00000234
2022-04-02 14:20:28.285009 False [  146751.568409] 0003 0035 00000187
2022-04-02 14:20:28.285009 False [  146751.568409] 0003 0036 00000236
2022-04-02 14:20:28.285009 False [  146751.576680] 0003 0035 00000188
2022-04-02 14:20:28.285009 False [  146751.576680] 0003 0036 00000238
2022-04-02 14:20:28.285009 False [  146751.585010] 0003 0035 0000018a
2022-04-02 14:20:28.285009 False [  146751.585010] 0003 0036 00000239
2022-04-02 14:20:28.309661 False [  146751.593233] 0003 0035 0000018c
2022-04-02 14:20:28.309661 False [  146751.593233] 0003 0036 0000023c
2022-04-02 14:20:28.309661 False [  146751.601715] 0003 0036 0000023e
2022-04-02 14:20:28.367139 False [  146751.611895] 0003 0035 0000018e
2022-04-02 14:20:28.367139 False [  146751.611895] 0003 0036 00000240
2022-04-02 14:20:28.367139 False [  146751.618522] 0003 0035 0000018f
