Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.352692049053831 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:10:28.144680 False [  156951.317533] 0003 0036 000008c7
2022-04-02 17:10:28.189557 False [  156951.366390] 0003 0035 000005e5
2022-04-02 17:10:28.664725 False [  156951.841342] 0003 0035 000005bd
2022-04-02 17:10:28.664725 False [  156951.841342] 0003 0036 000008e4
2022-04-02 17:10:30.208515 False [  156953.379660] 0003 0035 00000504
2022-04-02 17:10:30.208515 False [  156953.379660] 0003 0036 0000043b
2022-04-02 17:10:30.215174 False [  156953.394161] 0003 0035 00000505
2022-04-02 17:10:30.215174 False [  156953.394161] 0003 0036 0000043a
2022-04-02 17:10:30.223162 False [  156953.402231] 0003 0035 00000508
2022-04-02 17:10:30.233102 False [  156953.411365] 0003 0035 00000509
2022-04-02 17:10:30.240667 False [  156953.418812] 0003 0035 0000050a
2022-04-02 17:10:30.248402 False [  156953.427251] 0003 0035 0000050c
2022-04-02 17:10:30.265111 False [  156953.443831] 0003 0035 0000050d
2022-04-02 17:10:30.272525 False [  156953.452102] 0003 0035 0000050e
2022-04-02 17:10:30.283026 False [  156953.460827] 0003 0035 0000050f
2022-04-02 17:10:30.287809 False [  156953.468699] 0003 0035 00000510
2022-04-02 17:10:30.332554 False [  156953.510327] 0003 0035 00000511
2022-04-02 17:10:30.368523 False [  156953.543761] 0003 0035 00000512
2022-04-02 17:10:30.734470 False [  156953.909658] 0003 0035 00000510
2022-04-02 17:10:30.737474 False [  156953.909658] 0003 0036 00000436
2022-04-02 17:10:30.737474 False [  156953.917826] 0003 0036 00000434
2022-04-02 17:10:30.747113 False [  156953.926036] 0003 0035 0000050f
2022-04-02 17:10:30.747113 False [  156953.926036] 0003 0036 00000431
2022-04-02 17:10:30.754846 False [  156953.934311] 0003 0035 0000050e
2022-04-02 17:10:30.754846 False [  156953.934311] 0003 0036 0000042f
2022-04-02 17:10:30.763222 False [  156953.942682] 0003 0035 0000050d
2022-04-02 17:10:30.770757 False [  156953.950822] 0003 0036 0000042d
2022-04-02 17:10:30.781513 False [  156953.959350] 0003 0035 0000050c
2022-04-02 17:10:30.781513 False [  156953.959350] 0003 0036 0000042c
2022-04-02 17:10:30.788297 False [  156953.967480] 0003 0036 0000042b
2022-04-02 17:10:30.795309 False [  156953.975841] 0003 0036 0000042a
2022-04-02 17:10:30.813346 False [  156953.992561] 0003 0036 00000429
2022-04-02 17:10:30.829835 False [  156954.009224] 0003 0036 00000426
2022-04-02 17:10:30.839434 False [  156954.017560] 0003 0036 00000424
2022-04-02 17:10:30.846329 False [  156954.025810] 0003 0035 0000050d
2022-04-02 17:10:30.846329 False [  156954.025810] 0003 0036 00000422
2022-04-02 17:10:30.853632 False [  156954.033965] 0003 0036 00000420
2022-04-02 17:10:30.861358 False [  156954.042342] 0003 0036 0000041f
2022-04-02 17:10:30.870301 False [  156954.050921] 0003 0035 0000050e
2022-04-02 17:10:30.870301 False [  156954.050921] 0003 0036 0000041e
2022-04-02 17:10:30.879594 False [  156954.059453] 0003 0036 0000041c
2022-04-02 17:10:30.888305 False [  156954.067337] 0003 0036 0000041b
2022-04-02 17:10:30.904699 False [  156954.084989] 0003 0036 0000041a
2022-04-02 17:10:30.913162 False [  156954.092304] 0003 0036 00000419
2022-04-02 17:10:30.967589 False [  156954.142468] 0003 0036 00000418
2022-04-02 17:10:31.149746 False [  156954.325181] 0003 0035 0000050c
2022-04-02 17:10:31.149746 False [  156954.325181] 0003 0036 0000041a
2022-04-02 17:10:31.155227 False [  156954.333385] 0003 0035 00000509
2022-04-02 17:10:31.155227 False [  156954.333385] 0003 0036 0000041c
2022-04-02 17:10:31.163029 False [  156954.341591] 0003 0035 00000507
2022-04-02 17:10:31.163029 False [  156954.341591] 0003 0036 0000041e
2022-04-02 17:10:31.170648 False [  156954.349815] 0003 0035 00000505
2022-04-02 17:10:31.170648 False [  156954.349815] 0003 0036 0000041f
2022-04-02 17:10:31.178899 False [  156954.358207] 0003 0036 00000420
2022-04-02 17:10:31.188901 False [  156954.366415] 0003 0035 00000504
2022-04-02 17:10:31.188901 False [  156954.366415] 0003 0036 00000421
2022-04-02 17:10:31.195169 False [  156954.374876] 0003 0035 00000503
2022-04-02 17:10:31.202388 False [  156954.383019] 0003 0035 00000502
