Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.21370756515694914 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:18:21.379873 True [  157424.551173] 0003 0036 000003b8
2022-04-02 17:18:21.506002 True [  157424.675611] 0003 0036 000003b9
2022-04-02 17:18:21.538216 True [  157424.709619] 0003 0036 000003ba
2022-04-02 17:18:21.656983 True [  157424.824709] 0003 0035 00000431
2022-04-02 17:18:22.284154 True [  157425.450265] 0003 0035 00000448
2022-04-02 17:18:22.284154 True [  157425.450265] 0003 0036 000003ce
2022-04-02 17:18:22.966735 False [  157426.139171] 0003 0035 000004ea
2022-04-02 17:18:22.966735 False [  157426.139171] 0003 0036 00000311
2022-04-02 17:18:23.410359 False [  157426.579889] 0003 0035 0000045f
2022-04-02 17:18:23.410359 True [  157426.579889] 0003 0036 000003e3
2022-04-02 17:18:23.607617 True [  157426.778627] 0003 0036 000003e4
2022-04-02 17:18:23.614941 True [  157426.785777] 0003 0036 000003e5
2022-04-02 17:18:23.630852 True [  157426.802253] 0003 0036 000003e6
2022-04-02 17:18:23.641456 True [  157426.810802] 0003 0035 0000045e
2022-04-02 17:18:23.646263 True [  157426.818916] 0003 0036 000003e7
2022-04-02 17:18:23.656562 True [  157426.828328] 0003 0036 000003e8
2022-04-02 17:18:23.664254 True [  157426.835488] 0003 0036 000003e9
2022-04-02 17:18:23.673163 True [  157426.843895] 0003 0036 000003ea
2022-04-02 17:18:23.681176 True [  157426.852096] 0003 0035 0000045d
2022-04-02 17:18:23.681176 True [  157426.852096] 0003 0036 000003eb
2022-04-02 17:18:23.698282 True [  157426.868858] 0003 0036 000003ed
2022-04-02 17:18:23.706304 True [  157426.877172] 0003 0036 000003ee
2022-04-02 17:18:23.713875 True [  157426.885501] 0003 0036 000003ef
2022-04-02 17:18:23.730788 True [  157426.901946] 0003 0036 000003f0
2022-04-02 17:18:23.757248 True [  157426.927137] 0003 0035 0000045c
2022-04-02 17:18:23.757248 True [  157426.927137] 0003 0036 000003f1
2022-04-02 17:18:23.762844 True [  157426.935583] 0003 0036 000003f2
2022-04-02 17:18:23.776491 True [  157426.943720] 0003 0036 000003f3
2022-04-02 17:18:23.799244 True [  157426.968509] 0003 0036 000003f4
2022-04-02 17:18:23.804248 True [  157426.977091] 0003 0036 000003f5
2022-04-02 17:18:23.814301 True [  157426.985193] 0003 0036 000003f6
2022-04-02 17:18:23.831193 True [  157427.001707] 0003 0036 000003f7
2022-04-02 17:18:23.839690 True [  157427.010254] 0003 0036 000003f8
2022-04-02 17:18:23.855279 True [  157427.026685] 0003 0036 000003f9
2022-04-02 17:18:23.874530 True [  157427.044305] 0003 0036 000003fb
2022-04-02 17:18:23.882322 True [  157427.051871] 0003 0036 000003fd
2022-04-02 17:18:23.889247 True [  157427.059991] 0003 0036 000003fe
2022-04-02 17:18:23.906454 True [  157427.076613] 0003 0036 000003ff
2022-04-02 17:18:23.922644 True [  157427.093404] 0003 0036 00000401
2022-04-02 17:18:23.930624 True [  157427.101468] 0003 0036 00000403
2022-04-02 17:18:23.939174 True [  157427.109921] 0003 0036 00000404
2022-04-02 17:18:23.947064 True [  157427.118102] 0003 0036 00000405
2022-04-02 17:18:23.954095 True [  157427.126542] 0003 0036 00000407
