Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.6807939182022242 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:21:21.061593 True [  157604.230459] 0003 0036 0000044f
2022-04-02 17:21:21.303888 True [  157604.471113] 0003 0035 000004eb
2022-04-02 17:21:21.327342 True [  157604.495645] 0003 0035 000004ea
2022-04-02 17:21:21.334826 True [  157604.503740] 0003 0035 000004e9
2022-04-02 17:21:21.334826 True [  157604.503740] 0003 0036 00000450
2022-04-02 17:21:21.343886 True [  157604.511880] 0003 0036 00000451
2022-04-02 17:21:21.350173 True [  157604.520642] 0003 0035 000004e7
2022-04-02 17:21:21.350173 True [  157604.520642] 0003 0036 00000454
2022-04-02 17:21:21.359770 True [  157604.528642] 0003 0035 000004e5
2022-04-02 17:21:21.359770 True [  157604.528642] 0003 0036 00000456
2022-04-02 17:21:21.368122 True [  157604.537041] 0003 0035 000004e4
2022-04-02 17:21:21.368122 True [  157604.537041] 0003 0036 00000459
2022-04-02 17:21:21.374345 True [  157604.545195] 0003 0035 000004e1
2022-04-02 17:21:21.374345 True [  157604.545195] 0003 0036 0000045c
2022-04-02 17:21:21.384266 True [  157604.553573] 0003 0035 000004de
2022-04-02 17:21:21.384266 True [  157604.553573] 0003 0036 00000461
2022-04-02 17:21:21.394835 True [  157604.561729] 0003 0035 000004da
2022-04-02 17:21:21.394835 True [  157604.561729] 0003 0036 00000466
2022-04-02 17:21:21.401520 True [  157604.570185] 0003 0035 000004d7
2022-04-02 17:21:21.401520 True [  157604.570185] 0003 0036 0000046c
2022-04-02 17:21:21.420746 True [  157604.587063] 0003 0035 000004d0
2022-04-02 17:21:21.420746 True [  157604.587063] 0003 0036 00000475
2022-04-02 17:21:21.425767 True [  157604.595143] 0003 0035 000004cc
2022-04-02 17:21:21.425767 True [  157604.595143] 0003 0036 0000047b
2022-04-02 17:21:21.435925 True [  157604.603431] 0003 0035 000004c9
2022-04-02 17:21:21.435925 True [  157604.603431] 0003 0036 00000480
2022-04-02 17:21:21.442907 True [  157604.611659] 0003 0035 000004c5
2022-04-02 17:21:21.442907 True [  157604.611659] 0003 0036 00000485
2022-04-02 17:21:21.451100 True [  157604.620176] 0003 0035 000004c1
2022-04-02 17:21:21.451100 True [  157604.620176] 0003 0036 0000048a
2022-04-02 17:21:21.459510 True [  157604.628286] 0003 0035 000004be
2022-04-02 17:21:21.459510 True [  157604.628286] 0003 0036 0000048f
2022-04-02 17:21:21.466841 True [  157604.636720] 0003 0035 000004bb
2022-04-02 17:21:21.466841 True [  157604.636720] 0003 0036 00000494
2022-04-02 17:21:21.475993 True [  157604.644978] 0003 0035 000004b9
2022-04-02 17:21:21.475993 True [  157604.644978] 0003 0036 00000499
2022-04-02 17:21:21.484327 True [  157604.654371] 0003 0035 000004b7
2022-04-02 17:21:21.484327 True [  157604.654371] 0003 0036 0000049d
2022-04-02 17:21:21.494022 True [  157604.662169] 0003 0035 000004b5
2022-04-02 17:21:21.494022 True [  157604.662169] 0003 0036 0000049f
2022-04-02 17:21:21.501242 True [  157604.669986] 0003 0035 000004b4
2022-04-02 17:21:21.501242 True [  157604.669986] 0003 0036 000004a2
2022-04-02 17:21:21.509823 True [  157604.678211] 0003 0035 000004b3
2022-04-02 17:21:21.509823 True [  157604.678211] 0003 0036 000004a4
2022-04-02 17:21:21.518990 True [  157604.686663] 0003 0036 000004a6
2022-04-02 17:21:21.527179 True [  157604.694896] 0003 0036 000004a8
2022-04-02 17:21:21.534271 True [  157604.703533] 0003 0035 000004b2
2022-04-02 17:21:21.534271 True [  157604.703533] 0003 0036 000004a9
2022-04-02 17:21:21.558209 True [  157604.728157] 0003 0035 000004b1
2022-04-02 17:21:21.558209 True [  157604.728157] 0003 0036 000004aa
2022-04-02 17:21:21.583505 True [  157604.753037] 0003 0036 000004ab
2022-04-02 17:21:21.721462 True [  157604.886090] 0003 0035 000004b3
2022-04-02 17:21:21.721462 True [  157604.886090] 0003 0036 000004aa
2022-04-02 17:21:21.727828 True [  157604.894436] 0003 0035 000004b6
2022-04-02 17:21:21.727828 True [  157604.894436] 0003 0036 000004a9
2022-04-02 17:21:21.734699 True [  157604.902871] 0003 0035 000004b7
2022-04-02 17:21:21.744271 True [  157604.910986] 0003 0035 000004b9
2022-04-02 17:21:21.749625 True [  157604.919412] 0003 0035 000004ba
2022-04-02 17:21:21.749625 True [  157604.919412] 0003 0036 000004a8
2022-04-02 17:21:21.757912 True [  157604.927526] 0003 0035 000004bb
2022-04-02 17:21:21.767075 True [  157604.935954] 0003 0035 000004bc
2022-04-02 17:21:21.767075 True [  157604.935954] 0003 0036 000004a7
2022-04-02 17:21:21.785048 True [  157604.952626] 0003 0035 000004bd
2022-04-02 17:21:21.792948 True [  157604.961158] 0003 0035 000004be
2022-04-02 17:21:21.800082 True [  157604.969232] 0003 0036 000004a6
2022-04-02 17:21:21.826807 True [  157604.993966] 0003 0035 000004c5
2022-04-02 17:21:21.826807 True [  157604.993966] 0003 0036 0000049c
2022-04-02 17:21:21.833052 True [  157605.002637] 0003 0035 000004ca
2022-04-02 17:21:21.833052 True [  157605.002637] 0003 0036 00000495
2022-04-02 17:21:21.843572 True [  157605.010656] 0003 0035 000004cc
2022-04-02 17:21:21.843572 True [  157605.010656] 0003 0036 00000491
2022-04-02 17:21:21.860509 True [  157605.027291] 0003 0035 000004ce
2022-04-02 17:21:21.860509 True [  157605.027291] 0003 0036 0000048e
2022-04-02 17:21:21.866448 True [  157605.035737] 0003 0035 000004d0
