Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6039246160277227 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:24:07.463698 True [  157770.623820] 0003 0036 00000466
2022-04-02 17:24:07.676449 True [  157770.838526] 0003 0036 00000467
2022-04-02 17:24:07.937404 True [  157771.105120] 0003 0036 0000046a
2022-04-02 17:24:07.949028 True [  157771.112654] 0003 0036 0000046f
2022-04-02 17:24:07.956271 True [  157771.120440] 0003 0035 00000517
2022-04-02 17:24:07.956271 True [  157771.120440] 0003 0036 00000473
2022-04-02 17:24:07.962121 True [  157771.128751] 0003 0035 00000516
2022-04-02 17:24:07.962121 True [  157771.128751] 0003 0036 00000478
2022-04-02 17:24:07.971242 True [  157771.136797] 0003 0035 00000514
2022-04-02 17:24:07.971242 True [  157771.136797] 0003 0036 0000047d
2022-04-02 17:24:07.980123 True [  157771.145515] 0003 0035 00000512
2022-04-02 17:24:07.980123 True [  157771.145515] 0003 0036 00000481
2022-04-02 17:24:07.985752 True [  157771.153356] 0003 0035 00000510
2022-04-02 17:24:07.985752 True [  157771.153356] 0003 0036 00000485
2022-04-02 17:24:07.992965 True [  157771.161709] 0003 0035 0000050e
2022-04-02 17:24:07.992965 True [  157771.161709] 0003 0036 00000489
2022-04-02 17:24:08.001178 True [  157771.170024] 0003 0035 0000050c
2022-04-02 17:24:08.001178 True [  157771.170024] 0003 0036 0000048c
2022-04-02 17:24:08.013075 True [  157771.178390] 0003 0035 0000050a
2022-04-02 17:24:08.013075 True [  157771.178390] 0003 0036 0000048f
2022-04-02 17:24:08.018861 True [  157771.186589] 0003 0035 00000509
2022-04-02 17:24:08.018861 True [  157771.186589] 0003 0036 00000492
2022-04-02 17:24:08.027677 True [  157771.195236] 0003 0035 00000508
2022-04-02 17:24:08.027677 True [  157771.195236] 0003 0036 00000494
2022-04-02 17:24:08.035805 True [  157771.203148] 0003 0035 00000507
2022-04-02 17:24:08.035805 True [  157771.203148] 0003 0036 00000496
2022-04-02 17:24:08.043947 True [  157771.211913] 0003 0035 00000506
2022-04-02 17:24:08.043947 True [  157771.211913] 0003 0036 00000498
2022-04-02 17:24:08.051171 True [  157771.219811] 0003 0035 00000505
2022-04-02 17:24:08.051171 True [  157771.219811] 0003 0036 00000499
2022-04-02 17:24:08.071872 True [  157771.238076] 0003 0036 0000049a
2022-04-02 17:24:08.080379 True [  157771.245087] 0003 0035 00000506
2022-04-02 17:24:08.080379 True [  157771.245087] 0003 0036 0000049b
2022-04-02 17:24:08.119686 True [  157771.278160] 0003 0035 00000507
2022-04-02 17:24:08.123945 True [  157771.286479] 0003 0035 00000508
2022-04-02 17:24:08.130478 True [  157771.294894] 0003 0035 00000509
2022-04-02 17:24:08.130478 True [  157771.294894] 0003 0036 0000049a
2022-04-02 17:24:08.136625 True [  157771.303091] 0003 0035 0000050c
2022-04-02 17:24:08.136625 True [  157771.303091] 0003 0036 00000499
2022-04-02 17:24:08.142350 True [  157771.311313] 0003 0035 0000050e
2022-04-02 17:24:08.154194 True [  157771.319603] 0003 0035 00000510
2022-04-02 17:24:08.154194 True [  157771.319603] 0003 0036 00000498
2022-04-02 17:24:08.161524 True [  157771.327935] 0003 0035 00000513
2022-04-02 17:24:08.161524 True [  157771.327935] 0003 0036 00000496
2022-04-02 17:24:08.172319 True [  157771.337833] 0003 0035 00000514
2022-04-02 17:24:08.172319 True [  157771.337833] 0003 0036 00000495
2022-04-02 17:24:08.177621 True [  157771.344851] 0003 0035 00000516
2022-04-02 17:24:08.177621 True [  157771.344851] 0003 0036 00000494
2022-04-02 17:24:08.187478 True [  157771.352821] 0003 0035 00000517
2022-04-02 17:24:08.187478 True [  157771.352821] 0003 0036 00000493
2022-04-02 17:24:08.196158 True [  157771.361381] 0003 0035 00000519
2022-04-02 17:24:08.203573 True [  157771.369549] 0003 0035 0000051b
2022-04-02 17:24:08.203573 True [  157771.369549] 0003 0036 00000492
2022-04-02 17:24:08.212080 True [  157771.377883] 0003 0036 00000491
2022-04-02 17:24:08.217657 True [  157771.386002] 0003 0035 0000051c
2022-04-02 17:24:08.226579 True [  157771.394400] 0003 0035 0000051d
2022-04-02 17:24:08.226579 True [  157771.394400] 0003 0036 00000490
2022-04-02 17:24:08.234633 True [  157771.402859] 0003 0035 0000051e
2022-04-02 17:24:08.464367 True [  157771.628473] 0003 0036 00000491
2022-04-02 17:24:08.479504 True [  157771.645259] 0003 0036 00000492
2022-04-02 17:24:08.486462 True [  157771.652664] 0003 0035 0000051f
2022-04-02 17:24:08.486462 True [  157771.652664] 0003 0036 00000493
2022-04-02 17:24:08.504200 True [  157771.669390] 0003 0036 00000495
2022-04-02 17:24:08.515868 True [  157771.677076] 0003 0036 00000497
2022-04-02 17:24:08.525778 True [  157771.685401] 0003 0035 00000520
2022-04-02 17:24:08.525778 True [  157771.685401] 0003 0036 00000499
2022-04-02 17:24:08.530501 True [  157771.693726] 0003 0036 0000049a
2022-04-02 17:24:08.536205 True [  157771.701921] 0003 0036 0000049d
2022-04-02 17:24:08.545201 True [  157771.710227] 0003 0036 0000049e
