Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.8362420199827487 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:46:46.698841 False [  159129.838270] 0003 0036 000005e9
2022-04-02 17:46:46.769470 False [  159129.877677] 0003 0035 00000116
2022-04-02 17:46:46.769470 False [  159129.877677] 0003 0036 000005e8
2022-04-02 17:46:46.769470 False [  159129.886545] 0003 0035 00000114
2022-04-02 17:46:46.769470 False [  159129.886545] 0003 0036 000005e7
2022-04-02 17:46:46.830523 False [  159129.894394] 0003 0035 00000112
2022-04-02 17:46:46.830523 False [  159129.894394] 0003 0036 000005e4
2022-04-02 17:46:46.830523 False [  159129.902764] 0003 0035 00000111
2022-04-02 17:46:46.830523 False [  159129.902764] 0003 0036 000005e2
2022-04-02 17:46:46.830523 False [  159129.912781] 0003 0035 0000010f
2022-04-02 17:46:46.830523 False [  159129.912781] 0003 0036 000005e0
2022-04-02 17:46:46.830523 False [  159129.921127] 0003 0035 0000010e
2022-04-02 17:46:46.830523 False [  159129.921127] 0003 0036 000005de
2022-04-02 17:46:46.890310 False [  159129.929494] 0003 0035 0000010d
2022-04-02 17:46:46.890310 False [  159129.929494] 0003 0036 000005da
2022-04-02 17:46:46.890310 False [  159129.937565] 0003 0035 0000010c
2022-04-02 17:46:46.890310 False [  159129.937565] 0003 0036 000005d7
2022-04-02 17:46:46.890310 False [  159129.947302] 0003 0035 0000010b
2022-04-02 17:46:46.890310 False [  159129.947302] 0003 0036 000005d3
2022-04-02 17:46:46.890310 False [  159129.956954] 0003 0036 000005cf
2022-04-02 17:46:46.890310 False [  159129.966282] 0003 0035 0000010a
2022-04-02 17:46:46.890310 False [  159129.966282] 0003 0036 000005cb
2022-04-02 17:46:46.890310 False [  159129.973268] 0003 0035 00000109
2022-04-02 17:46:46.890310 False [  159129.973268] 0003 0036 000005c8
