Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.21523805025642817 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:51:00.643501 True [  159383.780662] 0003 0036 000004e4
2022-04-02 17:51:00.872630 True [  159383.995508] 0003 0035 000003e7
2022-04-02 17:51:00.872630 True [  159383.995508] 0003 0036 000004e3
2022-04-02 17:51:00.918536 True [  159384.011412] 0003 0035 000003e6
2022-04-02 17:51:00.918536 True [  159384.011412] 0003 0036 000004e2
2022-04-02 17:51:00.918536 True [  159384.019647] 0003 0035 000003e5
2022-04-02 17:51:00.918536 True [  159384.019647] 0003 0036 000004e1
2022-04-02 17:51:01.008349 True [  159384.028087] 0003 0036 000004e0
2022-04-02 17:51:01.008349 True [  159384.037486] 0003 0035 000003e4
2022-04-02 17:51:01.008349 True [  159384.037486] 0003 0036 000004df
2022-04-02 17:51:01.008349 True [  159384.044605] 0003 0036 000004de
2022-04-02 17:51:01.008349 True [  159384.056066] 0003 0036 000004dc
2022-04-02 17:51:01.008349 True [  159384.067298] 0003 0035 000003e3
2022-04-02 17:51:01.008349 True [  159384.067298] 0003 0036 000004db
2022-04-02 17:51:01.089233 True [  159384.074539] 0003 0035 000003e2
2022-04-02 17:51:01.089233 True [  159384.074539] 0003 0036 000004da
2022-04-02 17:51:01.089233 True [  159384.085128] 0003 0035 000003e1
2022-04-02 17:51:01.089233 True [  159384.085128] 0003 0036 000004d9
2022-04-02 17:51:01.089233 True [  159384.098447] 0003 0035 000003e0
2022-04-02 17:51:01.089233 True [  159384.098447] 0003 0036 000004d7
2022-04-02 17:51:01.089233 True [  159384.108370] 0003 0035 000003df
2022-04-02 17:51:01.089233 True [  159384.108370] 0003 0036 000004d5
2022-04-02 17:51:01.089233 True [  159384.120415] 0003 0035 000003da
2022-04-02 17:51:01.089233 True [  159384.120415] 0003 0036 000004d4
2022-04-02 17:51:01.089233 True [  159384.132379] 0003 0035 000003d1
2022-04-02 17:51:01.089233 True [  159384.132379] 0003 0036 000004d1
2022-04-02 17:51:01.089233 True [  159384.145032] 0003 0035 000003cc
2022-04-02 17:51:01.089233 True [  159384.145032] 0003 0036 000004cf
2022-04-02 17:51:01.089233 True [  159384.156391] 0003 0035 000003c1
2022-04-02 17:51:01.089233 True [  159384.156391] 0003 0036 000004cd
2022-04-02 17:51:01.171828 True [  159384.166600] 0003 0035 000003bd
2022-04-02 17:51:01.171828 True [  159384.166600] 0003 0036 000004cc
2022-04-02 17:51:01.171828 True [  159384.177731] 0003 0035 000003b9
2022-04-02 17:51:01.171828 True [  159384.177731] 0003 0036 000004cb
2022-04-02 17:51:01.171828 True [  159384.189119] 0003 0035 000003af
2022-04-02 17:51:01.171828 True [  159384.189119] 0003 0036 000004c9
2022-04-02 17:51:01.171828 True [  159384.201527] 0003 0035 000003a9
2022-04-02 17:51:01.171828 True [  159384.201527] 0003 0036 000004c8
2022-04-02 17:51:01.171828 True [  159384.212817] 0003 0035 000003a4
2022-04-02 17:51:01.171828 True [  159384.212817] 0003 0036 000004c7
2022-04-02 17:51:01.171828 True [  159384.225644] 0003 0035 0000039b
2022-04-02 17:51:01.171828 True [  159384.225644] 0003 0036 000004c5
2022-04-02 17:51:01.171828 True [  159384.237069] 0003 0035 00000395
2022-04-02 17:51:01.171828 True [  159384.237069] 0003 0036 000004c4
2022-04-02 17:51:01.248471 True [  159384.249756] 0003 0035 0000038e
2022-04-02 17:51:01.248471 True [  159384.264257] 0003 0035 0000038c
2022-04-02 17:51:01.248471 True [  159384.264257] 0003 0036 000004c3
2022-04-02 17:51:01.248471 True [  159384.276152] 0003 0035 00000385
2022-04-02 17:51:01.248471 True [  159384.276152] 0003 0036 000004c2
2022-04-02 17:51:01.248471 True [  159384.287001] 0003 0035 00000382
2022-04-02 17:51:01.248471 True [  159384.287001] 0003 0036 000004c1
2022-04-02 17:51:01.248471 True [  159384.300376] 0003 0035 0000037e
2022-04-02 17:51:01.248471 True [  159384.313851] 0003 0035 0000037c
2022-04-02 17:51:01.248471 True [  159384.313851] 0003 0036 000004c0
2022-04-02 17:51:01.248471 True [  159384.320378] 0003 0035 0000037b
2022-04-02 17:51:01.307318 True [  159384.334707] 0003 0035 0000037a
2022-04-02 17:51:01.307318 True [  159384.346883] 0003 0035 00000379
2022-04-02 17:51:01.307318 True [  159384.359093] 0003 0035 00000375
2022-04-02 17:51:01.307318 True [  159384.370900] 0003 0035 00000372
2022-04-02 17:51:01.307318 True [  159384.383614] 0003 0035 0000036f
2022-04-02 17:51:01.307318 True [  159384.396409] 0003 0035 0000036e
2022-04-02 17:51:01.326186 True [  159384.412306] 0003 0035 0000036d
2022-04-02 17:51:01.326186 True [  159384.425614] 0003 0035 0000036b
2022-04-02 17:51:01.326186 True [  159384.443567] 0003 0035 0000036a
2022-04-02 17:51:01.332540 True [  159384.460329] 0003 0035 00000369
2022-04-02 17:51:01.370519 True [  159384.493877] 0003 0035 00000368
2022-04-02 17:51:01.520169 True [  159384.619111] 0003 0035 0000036a
2022-04-02 17:51:01.576155 True [  159384.626553] 0003 0035 0000036b
2022-04-02 17:51:01.577158 True [  159384.641423] 0003 0035 0000036d
2022-04-02 17:51:01.577158 True [  159384.653314] 0003 0035 0000036e
2022-04-02 17:51:01.577158 True [  159384.668069] 0003 0035 0000036f
2022-04-02 17:51:01.594147 True [  159384.682036] 0003 0035 00000371
2022-04-02 17:51:01.594147 True [  159384.693332] 0003 0035 00000372
2022-04-02 17:51:01.594147 True [  159384.709614] 0003 0035 00000373
2022-04-02 17:51:01.599393 True [  159384.726175] 0003 0035 00000374
2022-04-02 17:51:01.635314 True [  159384.761332] 0003 0035 00000375
2022-04-02 17:51:01.892185 True [  159385.016855] 0003 0035 00000376
2022-04-02 17:51:01.976231 True [  159385.025549] 0003 0035 00000377
2022-04-02 17:51:01.976231 True [  159385.025549] 0003 0036 000004bf
2022-04-02 17:51:02.003062 True [  159385.042122] 0003 0035 00000378
2022-04-02 17:51:02.003062 True [  159385.058195] 0003 0035 00000379
2022-04-02 17:51:02.003062 True [  159385.070286] 0003 0035 0000037a
2022-04-02 17:51:02.003062 True [  159385.081859] 0003 0035 0000037f
2022-04-02 17:51:02.003062 True [  159385.081859] 0003 0036 000004be
2022-04-02 17:51:02.003062 True [  159385.092155] 0003 0035 00000382
2022-04-02 17:51:02.003062 True [  159385.092155] 0003 0036 000004bd
2022-04-02 17:51:02.003062 True [  159385.104579] 0003 0035 00000398
2022-04-02 17:51:02.003062 True [  159385.104579] 0003 0036 000004b8
2022-04-02 17:51:02.003062 True [  159385.113710] 0003 0035 000003aa
2022-04-02 17:51:02.003062 True [  159385.113710] 0003 0036 000004b4
2022-04-02 17:51:02.003062 True [  159385.125036] 0003 0035 000003bc
2022-04-02 17:51:02.003062 True [  159385.125036] 0003 0036 000004b2
2022-04-02 17:51:02.009548 True [  159385.133209] 0003 0035 000003dd
2022-04-02 17:51:02.009548 True [  159385.133209] 0003 0036 000004ab
2022-04-02 17:51:02.652797 False [  159385.789348] 0003 0035 00000562
2022-04-02 17:51:02.652797 False [  159385.789348] 0003 0036 000002bf
2022-04-02 17:51:02.707374 False [  159385.822798] 0003 0036 000002be
2022-04-02 17:51:02.707374 False [  159385.839539] 0003 0036 000002bd
2022-04-02 17:51:02.732940 False [  159385.856214] 0003 0035 00000570
2022-04-02 17:51:02.732940 False [  159385.856214] 0003 0036 000002af
2022-04-02 17:51:02.856667 False [  159385.922503] 0003 0036 000002ae
2022-04-02 17:51:02.866188 False [  159385.944181] 0003 0035 0000056f
2022-04-02 17:51:02.866188 False [  159385.963855] 0003 0036 000002ac
2022-04-02 17:51:02.866188 False [  159385.976202] 0003 0035 0000056e
2022-04-02 17:51:02.866188 False [  159385.976202] 0003 0036 000002ab
2022-04-02 17:51:02.866188 False [  159385.987426] 0003 0036 000002a9
2022-04-02 17:51:02.866188 False [  159386.005657] 0003 0036 000002a7
2022-04-02 17:51:02.890936 False [  159386.022304] 0003 0036 000002a6
2022-04-02 17:51:02.945758 False [  159386.072079] 0003 0036 000002a5
2022-04-02 17:51:02.968561 False [  159386.105264] 0003 0036 000002a4
2022-04-02 17:51:03.157705 False [  159386.233902] 0003 0035 0000056f
2022-04-02 17:51:03.157705 False [  159386.233902] 0003 0036 000002a6
2022-04-02 17:51:03.157705 False [  159386.239538] 0003 0035 00000570
2022-04-02 17:51:03.157705 False [  159386.239538] 0003 0036 000002a7
2022-04-02 17:51:03.157705 False [  159386.246578] 0003 0036 000002ab
2022-04-02 17:51:03.163175 False [  159386.258616] 0003 0035 00000572
2022-04-02 17:51:03.163175 False [  159386.258616] 0003 0036 000002b0
2022-04-02 17:51:03.163175 False [  159386.267970] 0003 0035 00000574
2022-04-02 17:51:03.163175 False [  159386.267970] 0003 0036 000002b7
2022-04-02 17:51:03.163175 False [  159386.279522] 0003 0035 00000576
2022-04-02 17:51:03.163175 False [  159386.279522] 0003 0036 000002bf
2022-04-02 17:51:03.163175 False [  159386.285094] 0003 0035 00000578
2022-04-02 17:51:03.163175 False [  159386.285094] 0003 0036 000002c9
2022-04-02 17:51:03.164174 False [  159386.288238] 0003 0035 0000057a
2022-04-02 17:51:03.164174 False [  159386.288238] 0003 0036 000002d4
2022-04-02 17:51:03.164174 False [  159386.296434] 0003 0035 0000057c
2022-04-02 17:51:03.164174 False [  159386.296434] 0003 0036 000002e0
2022-04-02 17:51:03.164174 False [  159386.305809] 0003 0035 0000057f
2022-04-02 17:51:03.164174 False [  159386.305809] 0003 0036 000002ee
2022-04-02 17:51:03.220860 False [  159386.312923] 0003 0035 00000582
2022-04-02 17:51:03.220860 False [  159386.312923] 0003 0036 000002fc
2022-04-02 17:51:03.299509 False [  159386.321439] 0003 0035 00000584
2022-04-02 17:51:03.299509 False [  159386.321439] 0003 0036 0000030b
2022-04-02 17:51:03.299509 False [  159386.331383] 0003 0035 00000587
2022-04-02 17:51:03.299509 False [  159386.331383] 0003 0036 0000031a
2022-04-02 17:51:03.299509 False [  159386.343290] 0003 0035 00000589
2022-04-02 17:51:03.299509 False [  159386.343290] 0003 0036 00000329
2022-04-02 17:51:03.299509 False [  159386.355395] 0003 0035 0000058c
2022-04-02 17:51:03.299509 False [  159386.355395] 0003 0036 00000339
2022-04-02 17:51:03.299509 False [  159386.367763] 0003 0035 00000590
2022-04-02 17:51:03.299509 False [  159386.367763] 0003 0036 00000356
2022-04-02 17:51:03.358791 False [  159386.379599] 0003 0035 00000591
2022-04-02 17:51:03.358791 False [  159386.379599] 0003 0036 00000364
2022-04-02 17:51:03.358791 False [  159386.387907] 0003 0035 00000593
2022-04-02 17:51:03.358791 False [  159386.387907] 0003 0036 00000381
2022-04-02 17:51:03.358791 False [  159386.398872] 0003 0035 00000594
2022-04-02 17:51:03.358791 False [  159386.398872] 0003 0036 0000038f
2022-04-02 17:51:03.358791 False [  159386.409049] 0003 0036 0000039e
2022-04-02 17:51:03.358791 False [  159386.419981] 0003 0036 000003ad
2022-04-02 17:51:03.358791 False [  159386.435232] 0003 0035 00000595
2022-04-02 17:51:03.358791 False [  159386.435232] 0003 0036 000003bc
2022-04-02 17:51:03.358791 False [  159386.447888] 0003 0036 000003d9
2022-04-02 17:51:03.453233 False [  159386.460315] 0003 0035 00000594
2022-04-02 17:51:03.453233 False [  159386.460315] 0003 0036 000003f3
2022-04-02 17:51:03.453233 False [  159386.465305] 0003 0036 00000400
2022-04-02 17:51:03.453233 False [  159386.476060] 0003 0036 0000040c
2022-04-02 17:51:03.453233 False [  159386.487650] 0003 0035 00000593
2022-04-02 17:51:03.453233 False [  159386.487650] 0003 0036 00000419
2022-04-02 17:51:03.453233 False [  159386.498828] 0003 0035 00000592
2022-04-02 17:51:03.453233 False [  159386.498828] 0003 0036 00000430
2022-04-02 17:51:03.453233 False [  159386.507372] 0003 0035 00000591
2022-04-02 17:51:03.453233 False [  159386.507372] 0003 0036 0000043d
2022-04-02 17:51:03.511251 False [  159386.519811] 0003 0036 00000449
2022-04-02 17:51:03.511251 False [  159386.533027] 0003 0036 00000455
2022-04-02 17:51:03.511251 False [  159386.547940] 0003 0036 0000046d
2022-04-02 17:51:03.511251 False [  159386.560505] 0003 0036 00000486
2022-04-02 17:51:03.511251 False [  159386.573572] 0003 0036 00000493
2022-04-02 17:51:03.511251 False [  159386.587978] 0003 0036 000004ad
2022-04-02 17:51:03.511251 False [  159386.602552] 0003 0036 000004c5
2022-04-02 17:51:03.574060 False [  159386.615276] 0003 0036 000004d2
2022-04-02 17:51:03.574060 False [  159386.628981] 0003 0035 0000058e
2022-04-02 17:51:03.574060 False [  159386.628981] 0003 0036 000004eb
2022-04-02 17:51:03.574060 False [  159386.637847] 0003 0035 0000058c
