Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.23816853657635756 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:59:26.459112 False [  159889.587110] 0003 0036 000003f7
2022-04-02 17:59:26.618722 False [  159889.626680] 0003 0035 000005c6
2022-04-02 17:59:26.618722 False [  159889.640488] 0003 0035 000005c8
2022-04-02 17:59:26.618722 False [  159889.647998] 0003 0035 000005cb
2022-04-02 17:59:26.618722 False [  159889.660793] 0003 0035 000005cd
2022-04-02 17:59:26.618722 False [  159889.660793] 0003 0036 000003f8
2022-04-02 17:59:26.618722 False [  159889.671239] 0003 0035 000005d0
2022-04-02 17:59:26.618722 False [  159889.671239] 0003 0036 000003f9
2022-04-02 17:59:26.684244 False [  159889.682509] 0003 0035 000005d1
2022-04-02 17:59:26.684244 False [  159889.699543] 0003 0035 000005d3
2022-04-02 17:59:26.684244 False [  159889.717096] 0003 0035 000005d5
2022-04-02 17:59:26.684244 False [  159889.717096] 0003 0036 000003fc
2022-04-02 17:59:26.684244 False [  159889.727894] 0003 0035 000005d8
2022-04-02 17:59:26.684244 False [  159889.727894] 0003 0036 00000400
2022-04-02 17:59:26.684244 False [  159889.736942] 0003 0035 000005e2
2022-04-02 17:59:26.684244 False [  159889.736942] 0003 0036 0000040a
2022-04-02 17:59:26.684244 False [  159889.748081] 0003 0035 000005e7
2022-04-02 17:59:26.684244 False [  159889.748081] 0003 0036 00000410
2022-04-02 17:59:26.684244 False [  159889.759677] 0003 0035 000005ec
2022-04-02 17:59:26.684244 False [  159889.759677] 0003 0036 00000414
2022-04-02 17:59:26.742794 False [  159889.771781] 0003 0035 000005f0
2022-04-02 17:59:26.742794 False [  159889.771781] 0003 0036 00000419
2022-04-02 17:59:26.742794 False [  159889.784847] 0003 0035 000005f6
2022-04-02 17:59:26.742794 False [  159889.784847] 0003 0036 00000423
2022-04-02 17:59:26.742794 False [  159889.796391] 0003 0035 000005f8
2022-04-02 17:59:26.742794 False [  159889.796391] 0003 0036 00000425
2022-04-02 17:59:26.742794 False [  159889.806922] 0003 0035 000005fd
