Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.972169499284911 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 18:04:42.000270 False [  160205.120544] 0003 0036 00000459
2022-04-02 18:04:42.123829 False [  160205.144165] 0003 0036 00000458
2022-04-02 18:04:42.252212 False [  160205.163917] 0003 0035 000005ea
2022-04-02 18:04:42.252212 False [  160205.163917] 0003 0036 00000455
2022-04-02 18:04:42.252212 False [  160205.174236] 0003 0035 000005f4
2022-04-02 18:04:42.252212 False [  160205.174236] 0003 0036 00000451
2022-04-02 18:04:42.252212 False [  160205.189552] 0003 0035 000005f7
2022-04-02 18:04:42.252212 False [  160205.189552] 0003 0036 0000044f
2022-04-02 18:04:42.252212 False [  160205.204638] 0003 0035 000005fb
2022-04-02 18:04:42.252212 False [  160205.204638] 0003 0036 0000044e
2022-04-02 18:04:42.252212 False [  160205.220684] 0003 0036 0000044d
2022-04-02 18:04:42.252212 False [  160205.240787] 0003 0035 000005f8
2022-04-02 18:04:42.252212 False [  160205.240787] 0003 0036 0000044f
2022-04-02 18:04:42.252212 False [  160205.258630] 0003 0035 000005ec
2022-04-02 18:04:42.252212 False [  160205.258630] 0003 0036 00000453
2022-04-02 18:04:42.400301 False [  160205.279958] 0003 0035 000005c3
2022-04-02 18:04:42.401005 False [  160205.279958] 0003 0036 0000045b
2022-04-02 18:04:42.401005 False [  160205.300278] 0003 0035 000005b8
2022-04-02 18:04:42.401005 False [  160205.300278] 0003 0036 0000045d
2022-04-02 18:04:42.401005 False [  160205.318825] 0003 0035 0000058b
2022-04-02 18:04:42.401005 False [  160205.318825] 0003 0036 00000464
2022-04-02 18:04:42.401005 False [  160205.335123] 0003 0035 0000057c
2022-04-02 18:04:42.401005 False [  160205.335123] 0003 0036 00000465
2022-04-02 18:04:42.401005 False [  160205.344316] 0003 0035 0000056d
2022-04-02 18:04:42.401005 False [  160205.344316] 0003 0036 00000466
2022-04-02 18:04:42.401005 False [  160205.357336] 0003 0035 0000054a
2022-04-02 18:04:42.401005 False [  160205.357336] 0003 0036 00000467
2022-04-02 18:04:42.401005 False [  160205.372434] 0003 0035 00000538
2022-04-02 18:04:42.401005 False [  160205.372434] 0003 0036 00000468
2022-04-02 18:04:42.401005 False [  160205.387914] 0003 0035 00000517
2022-04-02 18:04:42.463378 False [  160205.408789] 0003 0035 000004f7
2022-04-02 18:04:42.463378 False [  160205.408789] 0003 0036 0000046a
2022-04-02 18:04:42.463378 True [  160205.427389] 0003 0035 000004be
2022-04-02 18:04:42.464113 True [  160205.528174] 0003 0035 000003ad
2022-04-02 18:04:42.464113 True [  160205.528174] 0003 0036 0000048b
2022-04-02 18:04:42.559804 True [  160205.538537] 0003 0035 00000386
2022-04-02 18:04:42.559804 True [  160205.538537] 0003 0036 00000493
2022-04-02 18:04:42.559804 True [  160205.547386] 0003 0035 00000375
2022-04-02 18:04:42.559804 True [  160205.547386] 0003 0036 00000497
2022-04-02 18:04:42.559804 True [  160205.551902] 0003 0035 00000364
2022-04-02 18:04:42.559804 True [  160205.551902] 0003 0036 0000049b
2022-04-02 18:04:42.559804 True [  160205.566810] 0003 0035 00000356
2022-04-02 18:04:42.559804 True [  160205.566810] 0003 0036 000004a0
2022-04-02 18:04:42.559804 True [  160205.581972] 0003 0035 0000034d
2022-04-02 18:04:42.559804 True [  160205.581972] 0003 0036 000004a3
2022-04-02 18:04:42.559804 True [  160205.597477] 0003 0035 00000332
2022-04-02 18:04:42.559804 True [  160205.597477] 0003 0036 000004ac
2022-04-02 18:04:42.690441 True [  160205.612343] 0003 0035 00000313
2022-04-02 18:04:42.690441 True [  160205.612343] 0003 0036 000004b7
2022-04-02 18:04:42.690441 True [  160205.630734] 0003 0035 000002f1
2022-04-02 18:04:42.690441 True [  160205.630734] 0003 0036 000004c2
2022-04-02 18:04:42.690441 True [  160205.643494] 0003 0035 000002cc
2022-04-02 18:04:42.690441 True [  160205.643494] 0003 0036 000004cc
2022-04-02 18:04:42.690441 True [  160205.651422] 0003 0035 000002a9
2022-04-02 18:04:42.690441 True [  160205.651422] 0003 0036 000004d5
2022-04-02 18:04:42.690441 True [  160205.666530] 0003 0035 00000298
2022-04-02 18:04:42.690441 True [  160205.666530] 0003 0036 000004da
2022-04-02 18:04:42.690441 True [  160205.681740] 0003 0035 00000289
2022-04-02 18:04:42.690441 True [  160205.681740] 0003 0036 000004dd
2022-04-02 18:04:42.690441 True [  160205.696577] 0003 0035 00000266
2022-04-02 18:04:42.690441 True [  160205.696577] 0003 0036 000004e4
2022-04-02 18:04:42.811494 True [  160205.711792] 0003 0035 00000245
2022-04-02 18:04:42.811494 True [  160205.711792] 0003 0036 000004ea
2022-04-02 18:04:42.811494 True [  160205.727466] 0003 0035 00000225
2022-04-02 18:04:42.811494 True [  160205.727466] 0003 0036 000004f1
2022-04-02 18:04:42.811494 True [  160205.745073] 0003 0035 00000206
2022-04-02 18:04:42.811494 True [  160205.745073] 0003 0036 000004f9
2022-04-02 18:04:42.811494 True [  160205.761802] 0003 0035 000001e7
2022-04-02 18:04:42.811494 True [  160205.761802] 0003 0036 000004ff
2022-04-02 18:04:42.811494 True [  160205.776928] 0003 0035 000001c8
2022-04-02 18:04:42.811494 True [  160205.776928] 0003 0036 00000506
2022-04-02 18:04:42.811494 True [  160205.793651] 0003 0035 000001aa
2022-04-02 18:04:42.811494 True [  160205.793651] 0003 0036 0000050d
2022-04-02 18:04:42.811494 True [  160205.811195] 0003 0035 0000018c
2022-04-02 18:04:42.811494 True [  160205.811195] 0003 0036 00000515
2022-04-02 18:04:42.811494 True [  160205.827291] 0003 0035 0000016e
2022-04-02 18:04:42.811494 True [  160205.827291] 0003 0036 0000051e
2022-04-02 18:04:42.916128 True [  160205.845752] 0003 0035 0000014f
2022-04-02 18:04:42.916128 True [  160205.845752] 0003 0036 00000528
2022-04-02 18:04:42.916128 True [  160205.864563] 0003 0035 00000135
2022-04-02 18:04:42.916128 True [  160205.864563] 0003 0036 00000532
2022-04-02 18:04:42.916128 True [  160205.875945] 0003 0035 00000121
2022-04-02 18:04:42.916128 True [  160205.875945] 0003 0036 0000053b
2022-04-02 18:04:42.916128 False [  160205.887068] 0003 0035 00000110
2022-04-02 18:04:42.916128 True [  160205.930384] 0003 0036 0000054c
2022-04-02 18:04:42.916128 False [  160205.947660] 0003 0035 000000f6
2022-04-02 18:04:42.916128 False [  160205.947660] 0003 0036 0000054f
2022-04-02 18:04:42.925712 False [  160205.965816] 0003 0035 000000f5
2022-04-02 18:04:42.925712 False [  160205.965816] 0003 0036 00000550
2022-04-02 18:04:42.925712 False [  160205.983762] 0003 0035 000000eb
2022-04-02 18:04:42.925712 False [  160205.983762] 0003 0036 00000554
2022-04-02 18:04:42.925712 False [  160206.001267] 0003 0035 000000e8
2022-04-02 18:04:42.925712 False [  160206.001267] 0003 0036 00000556
2022-04-02 18:04:42.925712 False [  160206.017654] 0003 0035 000000e5
2022-04-02 18:04:42.925712 False [  160206.017654] 0003 0036 00000558
2022-04-02 18:04:42.925712 False [  160206.035182] 0003 0035 000000e3
2022-04-02 18:04:42.925712 False [  160206.035182] 0003 0036 00000559
2022-04-02 18:04:42.925712 False [  160206.046636] 0003 0035 000000e0
2022-04-02 18:04:42.925712 False [  160206.046636] 0003 0036 0000055a
2022-04-02 18:04:42.925712 False [  160206.050524] 0003 0036 0000055b
2022-04-02 18:04:43.028343 False [  160206.077241] 0003 0035 000000df
2022-04-02 18:04:43.052439 False [  160206.089914] 0003 0035 000000dd
2022-04-02 18:04:43.052439 False [  160206.089914] 0003 0036 0000055c
2022-04-02 18:04:43.052439 False [  160206.100627] 0003 0036 0000055d
2022-04-02 18:04:43.052439 False [  160206.117184] 0003 0035 000000da
2022-04-02 18:04:43.052439 False [  160206.117184] 0003 0036 0000055f
2022-04-02 18:04:43.052439 False [  160206.133772] 0003 0035 000000d9
2022-04-02 18:04:43.052439 False [  160206.151903] 0003 0035 000000d8
2022-04-02 18:04:43.052439 False [  160206.151903] 0003 0036 00000560
2022-04-02 18:04:43.052439 False [  160206.164802] 0003 0035 000000d6
2022-04-02 18:04:43.052439 False [  160206.164802] 0003 0036 00000561
2022-04-02 18:04:43.085838 False [  160206.200356] 0003 0035 000000d5
2022-04-02 18:04:43.136515 False [  160206.233244] 0003 0035 000000d4
2022-04-02 18:04:43.153464 False [  160206.257953] 0003 0036 00000562
2022-04-02 18:04:43.153464 False [  160206.274602] 0003 0035 000000d3
2022-04-02 18:04:43.214120 False [  160206.307695] 0003 0036 00000563
2022-04-02 18:04:43.220978 False [  160206.327281] 0003 0035 000000d2
2022-04-02 18:04:43.359510 False [  160206.416670] 0003 0035 000000d4
2022-04-02 18:04:43.467725 False [  160206.416670] 0003 0036 00000562
2022-04-02 18:04:43.467725 False [  160206.432185] 0003 0035 000000d5
2022-04-02 18:04:43.467725 False [  160206.432185] 0003 0036 00000561
2022-04-02 18:04:43.467725 False [  160206.437151] 0003 0035 000000d7
2022-04-02 18:04:43.467725 False [  160206.437151] 0003 0036 00000560
