Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6624202323168413 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:15:12.496708 True [     304.921809] 0003 0036 000003fb
2022-04-06 14:15:12.557428 True [     304.985561] 0003 0036 000003f9
2022-04-06 14:15:12.565399 True [     304.993936] 0003 0036 000003f8
2022-04-06 14:15:12.573376 True [     305.002139] 0003 0035 000004dc
2022-04-06 14:15:12.573376 True [     305.002139] 0003 0036 000003f5
2022-04-06 14:15:12.581746 True [     305.010570] 0003 0035 000004dd
2022-04-06 14:15:12.581746 False [     305.010570] 0003 0036 000003f3
2022-04-06 14:15:12.589562 False [     305.018777] 0003 0035 000004de
2022-04-06 14:15:12.589562 False [     305.018777] 0003 0036 000003f0
2022-04-06 14:15:12.598907 False [     305.027315] 0003 0035 000004df
2022-04-06 14:15:12.598907 False [     305.027315] 0003 0036 000003ed
2022-04-06 14:15:12.607271 False [     305.035539] 0003 0035 000004e0
2022-04-06 14:15:12.607271 False [     305.035539] 0003 0036 000003eb
2022-04-06 14:15:12.615405 False [     305.043991] 0003 0035 000004e2
2022-04-06 14:15:12.616114 False [     305.043991] 0003 0036 000003e7
2022-04-06 14:15:12.623862 False [     305.052119] 0003 0036 000003e5
2022-04-06 14:15:12.631139 False [     305.060616] 0003 0035 000004e4
2022-04-06 14:15:12.632133 False [     305.060616] 0003 0036 000003e2
2022-04-06 14:15:12.640163 False [     305.068844] 0003 0035 000004e5
2022-04-06 14:15:12.640163 False [     305.068844] 0003 0036 000003de
2022-04-06 14:15:12.648719 False [     305.077293] 0003 0035 000004e6
2022-04-06 14:15:12.648719 False [     305.077293] 0003 0036 000003da
2022-04-06 14:15:12.656847 False [     305.085498] 0003 0035 000004e8
2022-04-06 14:15:12.658236 False [     305.085498] 0003 0036 000003d7
2022-04-06 14:15:12.664988 False [     305.093932] 0003 0035 000004e9
2022-04-06 14:15:12.665869 False [     305.093932] 0003 0036 000003d3
2022-04-06 14:15:12.674276 False [     305.102251] 0003 0036 000003d0
2022-04-06 14:15:12.682560 False [     305.110611] 0003 0035 000004eb
2022-04-06 14:15:12.683647 False [     305.110611] 0003 0036 000003cc
