Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6624202323168413 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:16:10.628250 True [     363.055150] 0003 0036 00000384
2022-04-06 14:16:10.667268 True [     363.095150] 0003 0035 000002a2
2022-04-06 14:16:10.683463 True [     363.111781] 0003 0035 000002a5
2022-04-06 14:16:10.693809 True [     363.120001] 0003 0035 000002a6
2022-04-06 14:16:10.701677 True [     363.128477] 0003 0035 000002aa
2022-04-06 14:16:10.701677 True [     363.128477] 0003 0036 00000383
2022-04-06 14:16:10.708296 True [     363.136678] 0003 0035 000002ad
2022-04-06 14:16:10.708296 True [     363.136678] 0003 0036 00000382
2022-04-06 14:16:10.717246 True [     363.145163] 0003 0035 000002b1
2022-04-06 14:16:10.717246 True [     363.145163] 0003 0036 00000380
2022-04-06 14:16:10.725396 True [     363.153368] 0003 0035 000002b6
2022-04-06 14:16:10.725396 True [     363.153368] 0003 0036 0000037f
2022-04-06 14:16:10.733314 True [     363.161786] 0003 0035 000002bb
2022-04-06 14:16:10.733314 True [     363.161786] 0003 0036 0000037d
2022-04-06 14:16:10.742970 True [     363.169991] 0003 0035 000002bf
2022-04-06 14:16:10.742970 True [     363.169991] 0003 0036 0000037b
2022-04-06 14:16:10.749943 True [     363.178531] 0003 0035 000002c3
2022-04-06 14:16:10.749943 True [     363.178531] 0003 0036 00000379
2022-04-06 14:16:10.758392 True [     363.186684] 0003 0035 000002c8
2022-04-06 14:16:10.758392 True [     363.186684] 0003 0036 00000377
2022-04-06 14:16:10.767031 True [     363.195168] 0003 0035 000002cd
2022-04-06 14:16:10.767031 True [     363.195168] 0003 0036 00000375
2022-04-06 14:16:10.776623 True [     363.203333] 0003 0035 000002d2
2022-04-06 14:16:10.776623 True [     363.203333] 0003 0036 00000374
2022-04-06 14:16:10.783427 True [     363.211881] 0003 0035 000002d8
2022-04-06 14:16:10.783427 True [     363.211881] 0003 0036 00000371
2022-04-06 14:16:10.792051 True [     363.220108] 0003 0035 000002dd
2022-04-06 14:16:10.792051 True [     363.220108] 0003 0036 00000370
2022-04-06 14:16:10.799964 True [     363.228495] 0003 0035 000002e1
2022-04-06 14:16:10.799964 True [     363.228495] 0003 0036 0000036e
2022-04-06 14:16:10.809694 True [     363.236685] 0003 0035 000002e4
2022-04-06 14:16:10.816619 True [     363.245161] 0003 0035 000002ea
2022-04-06 14:16:10.816619 True [     363.245161] 0003 0036 0000036d
2022-04-06 14:16:10.825279 True [     363.253370] 0003 0035 000002ee
2022-04-06 14:16:10.825279 True [     363.253370] 0003 0036 0000036b
2022-04-06 14:16:10.833041 True [     363.261826] 0003 0035 000002f3
2022-04-06 14:16:10.833041 True [     363.261826] 0003 0036 0000036a
2022-04-06 14:16:10.843178 True [     363.270085] 0003 0035 000002f8
2022-04-06 14:16:10.843178 True [     363.270085] 0003 0036 00000369
2022-04-06 14:16:10.852068 True [     363.278589] 0003 0035 000002fc
2022-04-06 14:16:10.852068 True [     363.278589] 0003 0036 00000368
2022-04-06 14:16:10.858613 True [     363.286731] 0003 0035 00000301
2022-04-06 14:16:10.859670 True [     363.286731] 0003 0036 00000367
2022-04-06 14:16:10.867311 True [     363.295166] 0003 0035 00000306
2022-04-06 14:16:10.868311 True [     363.295166] 0003 0036 00000366
2022-04-06 14:16:10.877769 True [     363.303359] 0003 0035 0000030a
2022-04-06 14:16:10.877769 True [     363.303359] 0003 0036 00000364
2022-04-06 14:16:10.884308 True [     363.311815] 0003 0035 0000030f
2022-04-06 14:16:10.884308 True [     363.311815] 0003 0036 00000363
2022-04-06 14:16:10.892201 False [     363.320121] 0003 0035 00000314
2022-04-06 14:16:10.893187 False [     363.320121] 0003 0036 00000362
2022-04-06 14:16:10.900674 False [     363.328561] 0003 0035 00000318
2022-04-06 14:16:10.900674 False [     363.328561] 0003 0036 00000360
2022-04-06 14:16:10.909434 False [     363.336823] 0003 0035 0000031d
2022-04-06 14:16:10.910431 False [     363.336823] 0003 0036 0000035f
2022-04-06 14:16:10.918311 False [     363.345264] 0003 0035 00000321
2022-04-06 14:16:10.918311 False [     363.345264] 0003 0036 0000035e
2022-04-06 14:16:10.925263 False [     363.353393] 0003 0035 00000326
2022-04-06 14:16:10.934583 False [     363.361830] 0003 0035 0000032a
2022-04-06 14:16:10.934583 False [     363.361830] 0003 0036 0000035d
2022-04-06 14:16:10.942177 False [     363.370158] 0003 0035 0000032e
2022-04-06 14:16:10.943177 False [     363.370158] 0003 0036 0000035c
2022-04-06 14:16:10.952024 False [     363.378555] 0003 0035 00000332
2022-04-06 14:16:10.952024 False [     363.378555] 0003 0036 0000035b
2022-04-06 14:16:10.959609 False [     363.386741] 0003 0035 00000335
2022-04-06 14:16:10.967823 False [     363.395220] 0003 0035 00000339
2022-04-06 14:16:10.967823 False [     363.395220] 0003 0036 0000035a
