Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.401136346416219 
    wm_size = [1600 2560] 
    stim_amp = 4 
    baseline_stim = 1
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:17:34.368243 False [     446.790927] 0003 0036 000008b0
2022-04-06 14:17:34.396655 False [     446.822245] 0003 0035 000004f3
2022-04-06 14:17:34.396655 False [     446.822245] 0003 0036 00000908
2022-04-06 14:17:34.404604 False [     446.830304] 0003 0035 000004ef
2022-04-06 14:17:34.404604 False [     446.830304] 0003 0036 0000090a
2022-04-06 14:17:34.410855 False [     446.838443] 0003 0035 000004ec
2022-04-06 14:17:34.410855 False [     446.838443] 0003 0036 0000090c
2022-04-06 14:17:34.420648 False [     446.846933] 0003 0035 000004e9
2022-04-06 14:17:34.420648 False [     446.846933] 0003 0036 0000090e
2022-04-06 14:17:34.428408 False [     446.855110] 0003 0035 00000538
2022-04-06 14:17:34.428408 False [     446.855110] 0003 0035 000004e8
2022-04-06 14:17:34.428408 False [     446.855110] 0003 0036 0000090f
2022-04-06 14:17:34.437531 False [     446.863558] 0003 0035 00000537
2022-04-06 14:17:34.437531 False [     446.863558] 0003 0035 000004e6
2022-04-06 14:17:34.445741 False [     446.871799] 0003 0035 000004e5
2022-04-06 14:17:34.445741 False [     446.871799] 0003 0036 00000910
2022-04-06 14:17:34.453040 False [     446.880321] 0003 0035 00000536
2022-04-06 14:17:34.453040 False [     446.880321] 0003 0036 00000911
2022-04-06 14:17:34.461989 False [     446.888534] 0003 0035 000004e4
2022-04-06 14:17:34.470755 False [     446.896940] 0003 0035 00000535
2022-04-06 14:17:34.470755 False [     446.896940] 0003 0035 000004e3
2022-04-06 14:17:34.470755 False [     446.896940] 0003 0036 00000912
2022-04-06 14:17:34.479711 False [     446.905163] 0003 0036 000008af
2022-04-06 14:17:34.479711 False [     446.905163] 0003 0035 000004dd
2022-04-06 14:17:34.479711 False [     446.905163] 0003 0036 00000918
2022-04-06 14:17:34.487618 False [     446.913597] 0003 0035 000004d9
2022-04-06 14:17:34.487618 False [     446.913597] 0003 0036 0000091d
2022-04-06 14:17:34.497635 False [     446.921841] 0003 0035 000004d6
2022-04-06 14:17:34.497635 False [     446.921841] 0003 0036 0000091f
2022-04-06 14:17:34.502947 False [     446.930266] 0003 0035 000004d4
2022-04-06 14:17:34.502947 False [     446.930266] 0003 0036 00000922
2022-04-06 14:17:34.512603 False [     446.938493] 0003 0035 000004d0
