Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.13546263185060836 
    wm_size = [1600 2560] 
    stim_amp = 4 
    baseline_stim = 1
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:22:10.868103 True [     723.288296] 0003 0036 000003b6
2022-04-06 14:22:11.007107 True [     723.427492] 0003 0035 000003f5
2022-04-06 14:22:11.013933 True [     723.436002] 0003 0035 000003f6
2022-04-06 14:22:11.021748 True [     723.444192] 0003 0036 000003b7
2022-04-06 14:22:11.030063 True [     723.452950] 0003 0035 000003f8
2022-04-06 14:22:11.030063 True [     723.452950] 0003 0036 000003b8
2022-04-06 14:22:11.039049 True [     723.460933] 0003 0035 000003f9
2022-04-06 14:22:11.039049 True [     723.460933] 0003 0036 000003b9
2022-04-06 14:22:11.047199 True [     723.469297] 0003 0036 000003ba
2022-04-06 14:22:11.056197 True [     723.477545] 0003 0035 000003fb
2022-04-06 14:22:11.056197 True [     723.477545] 0003 0036 000003bb
2022-04-06 14:22:11.063461 True [     723.485952] 0003 0035 000003fc
2022-04-06 14:22:11.063461 True [     723.485952] 0003 0036 000003bd
2022-04-06 14:22:11.075856 True [     723.494187] 0003 0035 000003fd
2022-04-06 14:22:11.075856 True [     723.494187] 0003 0036 000003bf
2022-04-06 14:22:11.081167 True [     723.502725] 0003 0036 000003c0
2022-04-06 14:22:11.089839 True [     723.510845] 0003 0035 000003fe
2022-04-06 14:22:11.089839 True [     723.510845] 0003 0036 000003c1
2022-04-06 14:22:11.097791 True [     723.519384] 0003 0035 000003ff
2022-04-06 14:22:11.097791 True [     723.519384] 0003 0036 000003c3
2022-04-06 14:22:11.106515 True [     723.527623] 0003 0035 00000400
2022-04-06 14:22:11.106515 True [     723.527623] 0003 0036 000003c4
2022-04-06 14:22:11.113055 True [     723.535951] 0003 0036 000003c6
2022-04-06 14:22:11.122022 True [     723.544239] 0003 0035 00000401
2022-04-06 14:22:11.122022 True [     723.544239] 0003 0036 000003c8
2022-04-06 14:22:11.131659 True [     723.552855] 0003 0036 000003c9
2022-04-06 14:22:11.139009 True [     723.560965] 0003 0036 000003cb
2022-04-06 14:22:11.147726 True [     723.569342] 0003 0035 00000402
2022-04-06 14:22:11.147726 True [     723.569342] 0003 0036 000003cc
2022-04-06 14:22:11.156759 True [     723.577637] 0003 0036 000003ce
2022-04-06 14:22:11.163040 True [     723.586138] 0003 0035 00000403
2022-04-06 14:22:11.163040 True [     723.586138] 0003 0036 000003d0
2022-04-06 14:22:11.172590 True [     723.594266] 0003 0036 000003d1
2022-04-06 14:22:11.180516 True [     723.602700] 0003 0035 00000404
