Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6548999561656195 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 1
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:31:37.090670 True [    1289.500186] 0003 0036 000003cf
2022-04-06 14:31:37.129122 True [    1289.539685] 0003 0035 00000355
2022-04-06 14:31:37.135835 True [    1289.547855] 0003 0035 00000354
2022-04-06 14:31:37.143659 True [    1289.556069] 0003 0035 00000353
2022-04-06 14:31:37.151235 True [    1289.564518] 0003 0035 00000352
2022-04-06 14:31:37.168896 True [    1289.581244] 0003 0035 00000351
2022-04-06 14:31:37.176769 True [    1289.589382] 0003 0035 00000350
2022-04-06 14:31:37.185785 True [    1289.597903] 0003 0035 0000034f
2022-04-06 14:31:37.194332 True [    1289.606133] 0003 0035 00000350
2022-04-06 14:31:37.194332 True [    1289.606133] 0003 0036 000003ce
2022-04-06 14:31:37.201562 True [    1289.614518] 0003 0035 00000353
2022-04-06 14:31:37.201562 True [    1289.614518] 0003 0036 000003cc
2022-04-06 14:31:39.171018 True [    1291.583479] 0003 0035 00000365
2022-04-06 14:31:39.171018 True [    1291.583479] 0003 0036 0000039e
2022-04-06 14:31:39.213561 True [    1291.622941] 0003 0035 00000364
2022-04-06 14:31:39.227106 True [    1291.639527] 0003 0035 00000363
2022-04-06 14:31:39.287312 True [    1291.697912] 0003 0035 00000362
2022-04-06 14:31:39.327927 True [    1291.739389] 0003 0035 00000361
2022-04-06 14:31:39.741637 True [    1292.149694] 0003 0035 00000360
2022-04-06 14:31:39.741637 True [    1292.149694] 0003 0036 0000039f
2022-04-06 14:31:39.744401 True [    1292.156624] 0003 0035 0000035e
2022-04-06 14:31:39.751260 True [    1292.164859] 0003 0035 0000035c
2022-04-06 14:31:39.768861 True [    1292.181548] 0003 0035 0000035b
2022-04-06 14:31:39.778143 True [    1292.189750] 0003 0035 0000035a
2022-04-06 14:31:39.786880 True [    1292.198241] 0003 0035 00000359
2022-04-06 14:31:39.844780 True [    1292.256400] 0003 0035 00000358
2022-04-06 14:31:39.860085 True [    1292.273059] 0003 0035 00000357
2022-04-06 14:31:39.877741 True [    1292.289706] 0003 0035 00000356
2022-04-06 14:31:39.895353 True [    1292.306446] 0003 0035 00000355
2022-04-06 14:31:39.928491 True [    1292.339821] 0003 0035 00000354
2022-04-06 14:31:39.945073 True [    1292.356459] 0003 0035 00000353
2022-04-06 14:31:39.953785 True [    1292.364893] 0003 0036 0000039e
2022-04-06 14:31:39.968859 True [    1292.381529] 0003 0035 00000352
2022-04-06 14:31:40.021663 True [    1292.431564] 0003 0036 0000039d
2022-04-06 14:31:40.035209 True [    1292.448224] 0003 0035 00000351
2022-04-06 14:31:40.044920 True [    1292.456453] 0003 0036 0000039c
2022-04-06 14:31:40.059147 True [    1292.473078] 0003 0036 0000039b
2022-04-06 14:31:40.084627 True [    1292.498178] 0003 0036 0000039a
2022-04-06 14:31:40.119474 True [    1292.531530] 0003 0036 00000399
2022-04-06 14:31:40.136224 True [    1292.548173] 0003 0036 00000398
2022-04-06 14:31:40.154211 True [    1292.564921] 0003 0036 00000397
2022-04-06 14:31:40.161128 True [    1292.573273] 0003 0036 00000396
2022-04-06 14:31:40.177207 True [    1292.590197] 0003 0036 00000395
2022-04-06 14:31:40.193793 True [    1292.606377] 0003 0036 00000394
2022-04-06 14:31:40.227817 True [    1292.639751] 0003 0036 00000393
2022-04-06 14:31:40.246837 True [    1292.656551] 0003 0036 00000392
2022-04-06 14:31:40.269988 True [    1292.681544] 0003 0036 00000391
2022-04-06 14:31:40.274977 True [    1292.689743] 0003 0036 00000390
2022-04-06 14:31:40.293252 True [    1292.706415] 0003 0036 0000038f
2022-04-06 14:31:40.312106 True [    1292.723085] 0003 0036 0000038e
2022-04-06 14:31:40.327577 True [    1292.739840] 0003 0036 0000038d
2022-04-06 14:31:40.343762 True [    1292.756463] 0003 0036 0000038c
2022-04-06 14:31:40.352561 True [    1292.764976] 0003 0036 0000038b
2022-04-06 14:31:40.359637 True [    1292.773124] 0003 0036 0000038a
2022-04-06 14:31:40.369955 True [    1292.781576] 0003 0036 00000389
2022-04-06 14:31:40.385774 True [    1292.798171] 0003 0036 00000388
2022-04-06 14:31:40.403993 True [    1292.814860] 0003 0036 00000387
2022-04-06 14:31:40.410066 True [    1292.823086] 0003 0036 00000386
2022-04-06 14:31:40.419962 True [    1292.831542] 0003 0036 00000385
2022-04-06 14:31:40.434892 True [    1292.848255] 0003 0036 00000384
2022-04-06 14:31:40.445863 True [    1292.856499] 0003 0036 00000383
2022-04-06 14:31:40.452461 True [    1292.864886] 0003 0036 00000382
2022-04-06 14:31:40.468599 True [    1292.881540] 0003 0036 00000381
2022-04-06 14:31:40.478540 True [    1292.889773] 0003 0035 00000350
2022-04-06 14:31:40.478540 True [    1292.889773] 0003 0036 00000380
2022-04-06 14:31:40.485420 True [    1292.898190] 0003 0036 0000037f
2022-04-06 14:31:40.510993 True [    1292.923120] 0003 0036 0000037e
2022-04-06 14:31:40.519861 True [    1292.931527] 0003 0036 0000037c
2022-04-06 14:31:40.527664 True [    1292.939767] 0003 0035 0000034f
2022-04-06 14:31:40.528604 True [    1292.939767] 0003 0036 0000037b
2022-04-06 14:31:40.535983 True [    1292.948372] 0003 0036 00000379
2022-04-06 14:31:40.554028 True [    1292.964902] 0003 0036 00000378
2022-04-06 14:31:40.562250 False [    1292.973118] 0003 0036 00000376
2022-04-06 14:31:40.568995 False [    1292.981579] 0003 0036 00000375
2022-04-06 14:31:40.576417 False [    1292.989802] 0003 0036 00000374
2022-04-06 14:31:40.585968 False [    1292.998246] 0003 0036 00000373
2022-04-06 14:31:40.592695 False [    1293.006414] 0003 0036 00000372
2022-04-06 14:31:40.603154 False [    1293.014922] 0003 0036 00000371
2022-04-06 14:31:40.611097 False [    1293.023096] 0003 0036 00000370
2022-04-06 14:31:40.618575 False [    1293.031535] 0003 0036 0000036f
2022-04-06 14:31:40.629366 False [    1293.039796] 0003 0036 0000036e
2022-04-06 14:31:40.646233 False [    1293.056456] 0003 0036 0000036d
2022-04-06 14:31:40.652216 False [    1293.064917] 0003 0036 0000036c
2022-04-06 14:31:40.668822 False [    1293.081545] 0003 0036 0000036b
2022-04-06 14:31:40.685672 False [    1293.098248] 0003 0036 0000036a
2022-04-06 14:31:40.695806 False [    1293.106418] 0003 0036 00000369
2022-04-06 14:31:40.720653 False [    1293.131552] 0003 0036 00000368
2022-04-06 14:31:40.728626 False [    1293.139934] 0003 0036 00000367
2022-04-06 14:31:40.735529 False [    1293.148245] 0003 0036 00000366
2022-04-06 14:31:40.751650 False [    1293.164852] 0003 0036 00000365
2022-04-06 14:31:40.768775 False [    1293.181515] 0003 0036 00000364
2022-04-06 14:31:40.806314 False [    1293.214882] 0003 0036 00000363
2022-04-06 14:31:40.821759 False [    1293.231582] 0003 0036 00000362
2022-04-06 14:31:40.835978 False [    1293.248426] 0003 0036 00000361
2022-04-06 14:31:40.854833 False [    1293.264899] 0003 0036 00000360
2022-04-06 14:31:40.862036 False [    1293.273150] 0003 0036 0000035f
2022-04-06 14:31:40.869767 False [    1293.281578] 0003 0036 0000035e
2022-04-06 14:31:40.885339 False [    1293.298238] 0003 0036 0000035d
2022-04-06 14:31:40.901667 False [    1293.314867] 0003 0036 0000035c
2022-04-06 14:31:40.919054 False [    1293.331560] 0003 0036 0000035b
2022-04-06 14:31:40.935559 False [    1293.348236] 0003 0036 0000035a
2022-04-06 14:31:40.952803 False [    1293.364897] 0003 0036 00000359
2022-04-06 14:31:40.987480 False [    1293.398232] 0003 0036 00000358
2022-04-06 14:31:41.005763 False [    1293.414926] 0003 0036 00000357
2022-04-06 14:31:41.011119 False [    1293.423124] 0003 0036 00000356
2022-04-06 14:31:41.028546 False [    1293.439852] 0003 0036 00000355
2022-04-06 14:31:41.044982 False [    1293.456679] 0003 0036 00000354
2022-04-06 14:31:41.062195 False [    1293.473139] 0003 0036 00000353
2022-04-06 14:31:41.095471 False [    1293.506535] 0003 0036 00000352
2022-04-06 14:31:41.116435 False [    1293.523172] 0003 0036 00000351
2022-04-06 14:31:41.128207 False [    1293.539857] 0003 0036 00000350
2022-04-06 14:31:41.143139 False [    1293.556510] 0003 0036 0000034f
2022-04-06 14:31:41.178243 False [    1293.589799] 0003 0036 0000034e
2022-04-06 14:31:41.193813 False [    1293.606432] 0003 0036 0000034d
2022-04-06 14:31:41.202609 False [    1293.614968] 0003 0036 0000034c
2022-04-06 14:31:41.218787 False [    1293.631590] 0003 0036 0000034b
2022-04-06 14:31:41.261928 False [    1293.673158] 0003 0036 0000034a
2022-04-06 14:31:41.268871 False [    1293.681610] 0003 0036 00000349
2022-04-06 14:31:41.286415 False [    1293.698287] 0003 0036 00000348
2022-04-06 14:31:41.304303 False [    1293.714901] 0003 0036 00000347
2022-04-06 14:31:41.318224 False [    1293.731644] 0003 0036 00000346
2022-04-06 14:31:41.335914 False [    1293.748279] 0003 0036 00000345
2022-04-06 14:31:41.343592 False [    1293.756519] 0003 0036 00000344
2022-04-06 14:31:41.352494 False [    1293.764986] 0003 0035 00000350
2022-04-06 14:31:41.352494 False [    1293.764986] 0003 0036 00000343
2022-04-06 14:31:41.360239 False [    1293.773132] 0003 0036 00000342
2022-04-06 14:31:41.376675 False [    1293.789812] 0003 0036 00000341
2022-04-06 14:31:41.385308 False [    1293.798252] 0003 0036 00000340
2022-04-06 14:31:41.393868 False [    1293.806489] 0003 0036 0000033f
2022-04-06 14:31:41.403719 False [    1293.815018] 0003 0036 0000033e
2022-04-06 14:31:41.410177 False [    1293.823133] 0003 0036 0000033d
2022-04-06 14:31:41.418985 False [    1293.831622] 0003 0036 0000033c
2022-04-06 14:31:41.427078 False [    1293.839831] 0003 0036 0000033b
2022-04-06 14:31:41.435407 False [    1293.848273] 0003 0036 0000033a
2022-04-06 14:31:41.443104 False [    1293.856665] 0003 0036 00000339
2022-04-06 14:31:41.461725 False [    1293.873129] 0003 0036 00000338
2022-04-06 14:31:41.469392 False [    1293.881625] 0003 0036 00000337
2022-04-06 14:31:41.477091 False [    1293.889807] 0003 0036 00000336
2022-04-06 14:31:41.484463 False [    1293.898258] 0003 0036 00000335
2022-04-06 14:31:41.510769 False [    1293.923175] 0003 0036 00000334
2022-04-06 14:31:41.518946 False [    1293.931603] 0003 0036 00000333
2022-04-06 14:31:41.527967 False [    1293.939832] 0003 0036 00000332
2022-04-06 14:31:41.535681 False [    1293.948313] 0003 0036 00000331
2022-04-06 14:31:41.552926 False [    1293.964943] 0003 0036 00000330
2022-04-06 14:31:41.561742 False [    1293.973121] 0003 0036 0000032f
2022-04-06 14:31:41.569153 False [    1293.981566] 0003 0035 00000351
2022-04-06 14:31:41.569153 False [    1293.981566] 0003 0036 0000032e
2022-04-06 14:31:41.577444 False [    1293.989808] 0003 0036 0000032c
2022-04-06 14:31:41.585918 False [    1293.998233] 0003 0035 00000352
2022-04-06 14:31:41.594589 False [    1294.006429] 0003 0036 0000032b
2022-04-06 14:31:41.603504 False [    1294.014924] 0003 0036 0000032a
2022-04-06 14:31:41.610827 False [    1294.023173] 0003 0036 00000328
2022-04-06 14:31:41.627426 False [    1294.039816] 0003 0036 00000327
2022-04-06 14:31:41.635384 False [    1294.048316] 0003 0036 00000326
2022-04-06 14:31:41.643098 False [    1294.056543] 0003 0036 00000325
2022-04-06 14:31:41.660004 False [    1294.073113] 0003 0036 00000324
2022-04-06 14:31:41.686211 False [    1294.098267] 0003 0036 00000323
2022-04-06 14:31:41.694671 False [    1294.106496] 0003 0036 00000322
2022-04-06 14:31:41.711406 False [    1294.123181] 0003 0035 00000353
2022-04-06 14:31:41.711406 False [    1294.123181] 0003 0036 00000321
2022-04-06 14:31:41.728455 False [    1294.139820] 0003 0036 00000320
2022-04-06 14:31:41.744489 False [    1294.156553] 0003 0036 0000031f
2022-04-06 14:31:41.761361 False [    1294.173211] 0003 0035 00000354
2022-04-06 14:31:41.795264 False [    1294.206531] 0003 0036 0000031e
2022-04-06 14:31:41.802970 False [    1294.214907] 0003 0035 00000355
2022-04-06 14:31:41.911080 False [    1294.323109] 0003 0036 0000031f
2022-04-06 14:31:41.936307 False [    1294.348314] 0003 0036 00000320
2022-04-06 14:31:41.944330 False [    1294.356658] 0003 0036 00000321
2022-04-06 14:31:41.951345 False [    1294.364942] 0003 0036 00000322
2022-04-06 14:31:41.962283 False [    1294.373241] 0003 0036 00000324
2022-04-06 14:31:41.969248 False [    1294.381586] 0003 0035 00000354
2022-04-06 14:31:41.969248 False [    1294.381586] 0003 0036 00000325
2022-04-06 14:31:41.978252 False [    1294.389854] 0003 0036 00000328
2022-04-06 14:31:41.986432 False [    1294.398298] 0003 0035 00000353
2022-04-06 14:31:41.986432 False [    1294.398298] 0003 0036 00000329
2022-04-06 14:31:41.994298 False [    1294.406503] 0003 0036 0000032b
2022-04-06 14:31:42.002516 False [    1294.414952] 0003 0036 0000032d
2022-04-06 14:31:42.010063 False [    1294.423173] 0003 0035 00000352
2022-04-06 14:31:42.010063 False [    1294.423173] 0003 0036 00000330
2022-04-06 14:31:42.018866 False [    1294.431611] 0003 0036 00000332
2022-04-06 14:31:42.028951 False [    1294.439840] 0003 0035 00000351
2022-04-06 14:31:42.028951 False [    1294.439840] 0003 0036 00000335
2022-04-06 14:31:42.036068 False [    1294.448292] 0003 0036 00000337
2022-04-06 14:31:42.043531 False [    1294.456585] 0003 0035 00000350
2022-04-06 14:31:42.043531 False [    1294.456585] 0003 0036 00000339
2022-04-06 14:31:42.053382 False [    1294.465121] 0003 0035 0000034f
2022-04-06 14:31:42.053382 False [    1294.465121] 0003 0036 0000033b
2022-04-06 14:31:42.070973 False [    1294.481627] 0003 0036 0000033e
2022-04-06 14:31:42.077359 False [    1294.489845] 0003 0035 0000034e
2022-04-06 14:31:42.077359 False [    1294.489845] 0003 0036 00000340
2022-04-06 14:31:42.085607 False [    1294.498284] 0003 0036 00000342
2022-04-06 14:31:42.094775 False [    1294.506457] 0003 0036 00000345
2022-04-06 14:31:42.101872 False [    1294.514911] 0003 0035 0000034d
2022-04-06 14:31:42.101872 False [    1294.514911] 0003 0036 00000347
2022-04-06 14:31:42.110487 False [    1294.523178] 0003 0035 0000034c
2022-04-06 14:31:42.110487 False [    1294.523178] 0003 0036 0000034a
2022-04-06 14:31:42.127953 False [    1294.539854] 0003 0036 0000034c
2022-04-06 14:31:42.135955 False [    1294.548275] 0003 0035 0000034b
2022-04-06 14:31:42.135955 False [    1294.548275] 0003 0036 0000034f
2022-04-06 14:31:42.143934 False [    1294.556561] 0003 0036 00000351
2022-04-06 14:31:42.152535 False [    1294.564939] 0003 0035 0000034a
2022-04-06 14:31:42.152535 False [    1294.564939] 0003 0036 00000353
2022-04-06 14:31:42.163191 False [    1294.573307] 0003 0036 00000355
2022-04-06 14:31:42.170223 False [    1294.581624] 0003 0036 00000357
2022-04-06 14:31:42.179044 False [    1294.589811] 0003 0036 00000359
2022-04-06 14:31:42.186541 False [    1294.598256] 0003 0035 00000349
2022-04-06 14:31:42.186541 False [    1294.598256] 0003 0036 0000035a
2022-04-06 14:31:42.194024 False [    1294.606521] 0003 0036 0000035d
2022-04-06 14:31:42.211180 False [    1294.623156] 0003 0035 00000348
2022-04-06 14:31:42.211180 False [    1294.623156] 0003 0036 0000035e
2022-04-06 14:31:42.218339 False [    1294.631649] 0003 0035 00000347
2022-04-06 14:31:42.218339 False [    1294.631649] 0003 0036 00000361
2022-04-06 14:31:42.227255 False [    1294.639824] 0003 0036 00000363
2022-04-06 14:31:42.236220 False [    1294.648327] 0003 0036 00000365
2022-04-06 14:31:42.252669 False [    1294.664988] 0003 0035 00000346
2022-04-06 14:31:42.252669 False [    1294.664988] 0003 0036 00000368
2022-04-06 14:31:42.259575 False [    1294.673325] 0003 0036 00000369
2022-04-06 14:31:42.268771 False [    1294.681641] 0003 0035 00000345
2022-04-06 14:31:42.268771 False [    1294.681641] 0003 0036 0000036c
2022-04-06 14:31:42.276435 False [    1294.689811] 0003 0036 0000036e
2022-04-06 14:31:42.285151 False [    1294.698285] 0003 0035 00000344
2022-04-06 14:31:42.285151 False [    1294.698285] 0003 0036 00000370
2022-04-06 14:31:42.293268 False [    1294.706505] 0003 0036 00000372
2022-04-06 14:31:42.301605 False [    1294.714924] 0003 0036 00000374
2022-04-06 14:31:42.310108 True [    1294.723142] 0003 0035 00000343
2022-04-06 14:31:42.310108 True [    1294.723142] 0003 0036 00000376
2022-04-06 14:31:42.318767 True [    1294.731633] 0003 0036 00000378
2022-04-06 14:31:42.327137 True [    1294.739832] 0003 0036 00000379
2022-04-06 14:31:42.335053 True [    1294.748271] 0003 0036 0000037b
2022-04-06 14:31:42.343813 True [    1294.756589] 0003 0036 0000037d
2022-04-06 14:31:42.352114 True [    1294.765073] 0003 0036 0000037f
2022-04-06 14:31:42.368812 True [    1294.781612] 0003 0036 00000380
2022-04-06 14:31:42.377633 True [    1294.789835] 0003 0036 00000381
2022-04-06 14:31:42.384606 True [    1294.798245] 0003 0036 00000382
2022-04-06 14:31:42.393799 True [    1294.806506] 0003 0035 00000342
2022-04-06 14:31:42.393799 True [    1294.806506] 0003 0036 00000383
2022-04-06 14:31:42.403158 True [    1294.814967] 0003 0036 00000384
2022-04-06 14:31:42.419360 True [    1294.831587] 0003 0036 00000385
2022-04-06 14:31:42.426552 True [    1294.839832] 0003 0036 00000386
2022-04-06 14:31:42.435380 True [    1294.848260] 0003 0035 00000341
2022-04-06 14:31:42.435380 True [    1294.848260] 0003 0036 00000387
2022-04-06 14:31:42.445435 True [    1294.856571] 0003 0036 00000388
2022-04-06 14:31:42.453260 True [    1294.864967] 0003 0036 00000389
2022-04-06 14:31:42.470949 True [    1294.881680] 0003 0036 0000038a
2022-04-06 14:31:42.477412 True [    1294.889844] 0003 0036 0000038b
2022-04-06 14:31:42.483954 True [    1294.898279] 0003 0036 0000038c
2022-04-06 14:31:42.493252 True [    1294.906504] 0003 0036 0000038d
2022-04-06 14:31:42.502794 True [    1294.914960] 0003 0036 0000038e
2022-04-06 14:31:42.509021 True [    1294.923132] 0003 0036 0000038f
2022-04-06 14:31:42.536796 True [    1294.948299] 0003 0036 00000390
2022-04-06 14:31:42.551103 True [    1294.964963] 0003 0036 00000391
2022-04-06 14:31:42.559226 True [    1294.973236] 0003 0036 00000392
2022-04-06 14:31:42.568454 True [    1294.981597] 0003 0036 00000393
2022-04-06 14:31:42.578402 True [    1294.989823] 0003 0036 00000394
2022-04-06 14:31:42.602755 True [    1295.014969] 0003 0036 00000395
2022-04-06 14:31:42.610065 True [    1295.023186] 0003 0036 00000396
2022-04-06 14:31:42.628323 True [    1295.039833] 0003 0035 00000340
2022-04-06 14:31:42.628323 True [    1295.039833] 0003 0036 00000397
2022-04-06 14:31:42.636146 True [    1295.048331] 0003 0036 00000398
2022-04-06 14:31:42.643492 True [    1295.056505] 0003 0036 00000399
2022-04-06 14:31:42.660090 True [    1295.073205] 0003 0036 0000039a
2022-04-06 14:31:42.693831 True [    1295.106499] 0003 0036 0000039b
2022-04-06 14:31:42.703174 True [    1295.114944] 0003 0036 0000039c
2022-04-06 14:31:42.711920 True [    1295.123193] 0003 0036 0000039d
2022-04-06 14:31:42.726319 True [    1295.139825] 0003 0036 0000039e
2022-04-06 14:31:42.735011 True [    1295.148297] 0003 0036 0000039f
2022-04-06 14:31:42.765177 True [    1295.173273] 0003 0036 000003a0
2022-04-06 14:31:42.769827 True [    1295.181665] 0003 0036 000003a1
2022-04-06 14:31:42.780035 True [    1295.189907] 0003 0036 000003a2
2022-04-06 14:31:42.795276 True [    1295.206522] 0003 0036 000003a3
2022-04-06 14:31:42.810038 True [    1295.223174] 0003 0036 000003a4
2022-04-06 14:31:42.846740 True [    1295.256595] 0003 0036 000003a5
2022-04-06 14:31:42.868754 True [    1295.281717] 0003 0036 000003a6
2022-04-06 14:31:42.877159 True [    1295.289900] 0003 0036 000003a7
2022-04-06 14:31:42.887004 True [    1295.298368] 0003 0036 000003a8
2022-04-06 14:31:42.896679 True [    1295.306478] 0003 0036 000003a9
2022-04-06 14:31:42.903252 True [    1295.315043] 0003 0035 0000033f
2022-04-06 14:31:42.903252 True [    1295.315043] 0003 0036 000003aa
2022-04-06 14:31:42.931441 True [    1295.339879] 0003 0036 000003ab
2022-04-06 14:31:42.947278 True [    1295.356525] 0003 0036 000003ac
2022-04-06 14:31:42.962018 True [    1295.373257] 0003 0036 000003ad
2022-04-06 14:31:42.970046 True [    1295.381764] 0003 0036 000003ae
2022-04-06 14:31:42.986078 True [    1295.398270] 0003 0036 000003af
2022-04-06 14:31:43.037509 True [    1295.448342] 0003 0036 000003b0
2022-04-06 14:31:43.061152 True [    1295.473357] 0003 0036 000003b1
2022-04-06 14:31:43.097899 True [    1295.506599] 0003 0036 000003b2
2022-04-06 14:31:43.110061 True [    1295.523218] 0003 0035 0000033e
2022-04-06 14:31:43.169844 True [    1295.581700] 0003 0035 0000033d
2022-04-06 14:31:43.249498 True [    1295.656633] 0003 0036 000003b3
2022-04-06 14:31:43.253311 True [    1295.665110] 0003 0035 0000033c
2022-04-06 14:31:43.416159 True [    1295.823288] 0003 0035 0000033b
2022-04-06 14:31:43.453224 True [    1295.864974] 0003 0035 0000033a
2022-04-06 14:31:43.468792 True [    1295.881605] 0003 0035 00000339
2022-04-06 14:31:43.505042 True [    1295.914969] 0003 0035 00000338
2022-04-06 14:31:43.519075 True [    1295.931625] 0003 0035 00000337
2022-04-06 14:31:43.519075 True [    1295.931625] 0003 0036 000003b2
2022-04-06 14:31:43.527618 True [    1295.939906] 0003 0035 00000336
2022-04-06 14:31:43.535765 True [    1295.948336] 0003 0035 00000335
2022-04-06 14:31:43.543877 True [    1295.956641] 0003 0036 000003b1
2022-04-06 14:31:43.551949 True [    1295.965049] 0003 0035 00000334
2022-04-06 14:31:43.560630 True [    1295.973211] 0003 0035 00000333
2022-04-06 14:31:43.568794 True [    1295.981650] 0003 0035 00000332
2022-04-06 14:31:43.568794 True [    1295.981650] 0003 0036 000003b0
2022-04-06 14:31:43.578699 True [    1295.989933] 0003 0035 00000331
2022-04-06 14:31:43.594948 True [    1296.006522] 0003 0035 00000330
2022-04-06 14:31:43.594948 True [    1296.006522] 0003 0036 000003af
2022-04-06 14:31:43.601258 True [    1296.014977] 0003 0035 0000032f
2022-04-06 14:31:43.609442 True [    1296.023235] 0003 0035 0000032e
2022-04-06 14:31:43.618757 True [    1296.031683] 0003 0035 0000032d
2022-04-06 14:31:43.627707 True [    1296.039884] 0003 0035 0000032b
2022-04-06 14:31:43.636332 True [    1296.048355] 0003 0035 0000032a
2022-04-06 14:31:43.644806 True [    1296.056602] 0003 0035 00000328
2022-04-06 14:31:43.651595 True [    1296.065004] 0003 0035 00000327
2022-04-06 14:31:43.661646 True [    1296.073228] 0003 0035 00000326
2022-04-06 14:31:43.669008 True [    1296.081669] 0003 0035 00000324
2022-04-06 14:31:43.676889 True [    1296.089885] 0003 0035 00000323
2022-04-06 14:31:43.685789 True [    1296.098426] 0003 0035 00000321
2022-04-06 14:31:43.685789 True [    1296.098426] 0003 0036 000003ae
2022-04-06 14:31:43.693492 True [    1296.106569] 0003 0035 00000320
2022-04-06 14:31:43.693492 True [    1296.106569] 0003 0036 000003ad
2022-04-06 14:31:43.701857 True [    1296.114984] 0003 0035 0000031f
2022-04-06 14:31:43.712162 True [    1296.123194] 0003 0035 0000031e
2022-04-06 14:31:43.712162 True [    1296.123194] 0003 0036 000003ac
2022-04-06 14:31:43.718828 True [    1296.131689] 0003 0035 0000031c
2022-04-06 14:31:43.737973 True [    1296.148325] 0003 0035 0000031a
2022-04-06 14:31:43.737973 True [    1296.148325] 0003 0036 000003ab
2022-04-06 14:31:43.742958 True [    1296.156610] 0003 0035 00000319
