Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.4201613578430373 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:33:47.222103 True [    1419.627976] 0003 0036 0000043e
2022-04-06 14:33:50.600621 True [    1423.009949] 0003 0035 000003c0
2022-04-06 14:33:50.601618 True [    1423.009949] 0003 0036 0000044f
2022-04-06 14:33:50.807601 True [    1423.218851] 0003 0035 000003be
2022-04-06 14:33:50.815904 True [    1423.225888] 0003 0035 000003bd
2022-04-06 14:33:50.822787 True [    1423.234000] 0003 0035 000003bb
2022-04-06 14:33:50.822787 True [    1423.234000] 0003 0036 0000044d
2022-04-06 14:33:50.832804 True [    1423.242276] 0003 0035 000003b9
2022-04-06 14:33:50.832804 True [    1423.242276] 0003 0036 0000044c
2022-04-06 14:33:50.840577 True [    1423.250759] 0003 0035 000003b8
2022-04-06 14:33:50.840577 True [    1423.250759] 0003 0036 0000044a
2022-04-06 14:33:50.848174 True [    1423.258977] 0003 0035 000003b6
2022-04-06 14:33:50.848174 True [    1423.258977] 0003 0036 00000448
2022-04-06 14:33:50.856930 True [    1423.267336] 0003 0036 00000446
2022-04-06 14:33:50.864583 True [    1423.275575] 0003 0035 000003b5
2022-04-06 14:33:50.864583 True [    1423.275575] 0003 0036 00000444
2022-04-06 14:33:50.873700 True [    1423.284034] 0003 0035 000003b3
2022-04-06 14:33:50.881385 True [    1423.292284] 0003 0035 000003b2
2022-04-06 14:33:50.881385 True [    1423.292284] 0003 0036 00000443
2022-04-06 14:33:50.889658 True [    1423.300733] 0003 0036 00000441
2022-04-06 14:33:50.899509 True [    1423.308950] 0003 0035 000003b1
2022-04-06 14:33:50.899509 True [    1423.308950] 0003 0036 0000043f
2022-04-06 14:33:50.907357 True [    1423.317460] 0003 0036 0000043e
2022-04-06 14:33:50.916009 True [    1423.325740] 0003 0035 000003b0
2022-04-06 14:33:50.916009 True [    1423.325740] 0003 0036 0000043c
2022-04-06 14:33:50.922253 True [    1423.334045] 0003 0035 000003af
2022-04-06 14:33:50.922253 True [    1423.334045] 0003 0036 0000043a
2022-04-06 14:33:50.941421 True [    1423.350692] 0003 0035 000003ae
2022-04-06 14:33:50.941421 True [    1423.350692] 0003 0036 00000438
2022-04-06 14:33:50.947541 True [    1423.358950] 0003 0036 00000436
2022-04-06 14:33:50.956520 True [    1423.367381] 0003 0036 00000434
2022-04-06 14:33:50.972772 True [    1423.384132] 0003 0036 00000432
2022-04-06 14:33:50.983356 True [    1423.392305] 0003 0036 00000431
2022-04-06 14:33:50.990576 True [    1423.400745] 0003 0035 000003ad
2022-04-06 14:33:50.990576 True [    1423.400745] 0003 0036 0000042e
2022-04-06 14:33:50.998546 True [    1423.408927] 0003 0036 0000042c
2022-04-06 14:33:51.007141 True [    1423.417494] 0003 0036 00000429
2022-04-06 14:33:51.015560 True [    1423.425765] 0003 0036 00000428
2022-04-06 14:33:51.022724 True [    1423.434105] 0003 0035 000003ac
2022-04-06 14:33:51.022724 True [    1423.434105] 0003 0036 00000426
2022-04-06 14:33:51.033003 True [    1423.442408] 0003 0036 00000425
2022-04-06 14:33:51.039371 True [    1423.450883] 0003 0036 00000424
2022-04-06 14:33:51.057211 True [    1423.467412] 0003 0035 000003ab
2022-04-06 14:33:51.057211 True [    1423.467412] 0003 0036 00000422
2022-04-06 14:33:51.065902 True [    1423.475689] 0003 0036 00000421
2022-04-06 14:33:51.082785 True [    1423.492369] 0003 0036 0000041f
2022-04-06 14:33:51.089536 True [    1423.500770] 0003 0036 0000041e
2022-04-06 14:33:51.096978 True [    1423.509013] 0003 0035 000003aa
2022-04-06 14:33:51.096978 True [    1423.509013] 0003 0036 0000041c
2022-04-06 14:33:51.105574 True [    1423.517490] 0003 0035 000003a9
2022-04-06 14:33:51.105574 True [    1423.517490] 0003 0036 0000041a
