Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.2787713170649056 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:43:42.476648 True [    1756.023010] 0003 0036 000003d9
2022-04-06 14:43:42.565747 True [    1756.112142] 0003 0035 000003d1
2022-04-06 14:43:42.572685 True [    1756.120603] 0003 0036 000003d8
2022-04-06 14:43:42.580690 True [    1756.128741] 0003 0035 000003d2
2022-04-06 14:43:42.589743 True [    1756.137497] 0003 0036 000003d7
2022-04-06 14:43:42.597872 True [    1756.145319] 0003 0036 000003d6
2022-04-06 14:43:42.606363 True [    1756.153945] 0003 0036 000003d5
2022-04-06 14:43:42.631908 True [    1756.178639] 0003 0036 000003d4
2022-04-06 14:43:42.639981 True [    1756.187425] 0003 0036 000003d3
2022-04-06 14:43:42.648349 True [    1756.195615] 0003 0036 000003d1
2022-04-06 14:43:42.664738 True [    1756.212075] 0003 0036 000003cf
2022-04-06 14:43:42.673726 True [    1756.221514] 0003 0035 000003d1
2022-04-06 14:43:42.674718 True [    1756.221514] 0003 0036 000003ce
2022-04-06 14:43:42.681591 True [    1756.228568] 0003 0035 000003d0
2022-04-06 14:43:42.681591 True [    1756.228568] 0003 0036 000003cc
2022-04-06 14:43:42.690720 True [    1756.238103] 0003 0035 000003cf
2022-04-06 14:43:42.690720 True [    1756.238103] 0003 0036 000003cb
2022-04-06 14:43:42.698066 True [    1756.245316] 0003 0035 000003cd
2022-04-06 14:43:42.698066 True [    1756.245316] 0003 0036 000003c9
2022-04-06 14:43:42.706522 True [    1756.253865] 0003 0035 000003cb
2022-04-06 14:43:42.706522 True [    1756.253865] 0003 0036 000003c7
2022-04-06 14:43:42.714494 True [    1756.261773] 0003 0035 000003c8
2022-04-06 14:43:42.714494 True [    1756.261773] 0003 0036 000003c5
2022-04-06 14:43:42.722848 True [    1756.270188] 0003 0035 000003c7
2022-04-06 14:43:42.722848 True [    1756.270188] 0003 0036 000003c4
