Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.6441488082621192 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:54:45.365595 True [    2418.900896] 0003 0036 0000039f
2022-04-06 14:54:45.377555 True [    2418.914522] 0003 0035 000002cd
2022-04-06 14:54:45.377555 True [    2418.914522] 0003 0036 00000390
2022-04-06 14:54:45.604089 True [    2419.139443] 0003 0036 00000391
2022-04-06 14:54:45.618555 True [    2419.154574] 0003 0036 00000392
2022-04-06 14:54:45.625802 True [    2419.163160] 0003 0036 00000394
2022-04-06 14:54:45.652864 True [    2419.188724] 0003 0036 00000395
2022-04-06 14:54:45.668311 True [    2419.204416] 0003 0036 00000396
2022-04-06 14:54:45.676879 True [    2419.214002] 0003 0036 00000397
2022-04-06 14:54:45.692687 True [    2419.229590] 0003 0036 00000398
2022-04-06 14:54:45.724426 True [    2419.262736] 0003 0036 00000399
2022-04-06 14:54:45.758531 True [    2419.296333] 0003 0036 0000039a
2022-04-06 14:54:46.151736 True [    2419.687889] 0003 0036 00000398
2022-04-06 14:54:46.157982 True [    2419.695296] 0003 0036 00000396
2022-04-06 14:54:46.165457 True [    2419.703276] 0003 0035 000002ce
2022-04-06 14:54:46.165457 True [    2419.703276] 0003 0036 00000395
2022-04-06 14:54:46.173731 True [    2419.712157] 0003 0036 00000394
2022-04-06 14:54:46.181893 True [    2419.719869] 0003 0036 00000393
2022-04-06 14:54:46.191127 True [    2419.729199] 0003 0036 00000392
2022-04-06 14:54:46.199884 True [    2419.737425] 0003 0035 000002cf
2022-04-06 14:54:46.207784 True [    2419.745811] 0003 0035 000002cd
2022-04-06 14:54:46.207784 True [    2419.745811] 0003 0036 0000038d
2022-04-06 14:54:46.214906 True [    2419.753392] 0003 0036 00000389
2022-04-06 14:54:46.224505 True [    2419.761512] 0003 0035 000002cc
2022-04-06 14:54:46.224505 True [    2419.761512] 0003 0036 00000385
2022-04-06 14:54:46.232417 True [    2419.769696] 0003 0035 000002cb
2022-04-06 14:54:46.232417 True [    2419.769696] 0003 0036 00000383
2022-04-06 14:54:46.241729 True [    2419.778632] 0003 0035 000002ca
2022-04-06 14:54:46.241729 True [    2419.778632] 0003 0036 00000381
2022-04-06 14:54:46.248872 True [    2419.786094] 0003 0036 0000037f
2022-04-06 14:54:46.267204 True [    2419.802696] 0003 0036 0000037e
2022-04-06 14:54:46.273481 True [    2419.811403] 0003 0036 0000037a
2022-04-06 14:54:46.283583 True [    2419.819608] 0003 0035 000002c9
2022-04-06 14:54:46.283583 True [    2419.819608] 0003 0036 00000378
2022-04-06 14:54:46.291784 True [    2419.828624] 0003 0036 00000374
2022-04-06 14:54:46.302112 True [    2419.837367] 0003 0035 000002c6
2022-04-06 14:54:46.302112 True [    2419.837367] 0003 0036 00000370
2022-04-06 14:54:46.308253 True [    2419.845048] 0003 0035 000002c4
2022-04-06 14:54:46.308253 True [    2419.845048] 0003 0036 00000369
2022-04-06 14:54:46.315914 True [    2419.852928] 0003 0035 000002c2
2022-04-06 14:54:46.315914 True [    2419.852928] 0003 0036 00000364
2022-04-06 14:54:46.324337 True [    2419.860977] 0003 0035 000002c0
2022-04-06 14:54:46.324337 True [    2419.860977] 0003 0036 0000035f
2022-04-06 14:54:46.332557 True [    2419.869442] 0003 0035 000002bf
2022-04-06 14:54:46.332557 True [    2419.869442] 0003 0036 0000035b
2022-04-06 14:54:46.339863 True [    2419.877744] 0003 0036 00000358
2022-04-06 14:54:46.348766 True [    2419.886263] 0003 0035 000002be
2022-04-06 14:54:46.348766 True [    2419.886263] 0003 0036 00000353
2022-04-06 14:54:46.356703 True [    2419.894308] 0003 0036 00000350
2022-04-06 14:54:46.364362 True [    2419.902659] 0003 0036 0000034d
2022-04-06 14:54:46.373948 True [    2419.911093] 0003 0036 0000034b
2022-04-06 14:54:46.381232 True [    2419.919443] 0003 0035 000002bd
2022-04-06 14:54:46.381232 True [    2419.919443] 0003 0036 00000348
2022-04-06 14:54:46.391066 True [    2419.928705] 0003 0036 00000345
2022-04-06 14:54:46.399056 True [    2419.937188] 0003 0036 00000342
2022-04-06 14:54:46.406029 True [    2419.944386] 0003 0036 00000340
2022-04-06 14:54:46.415843 True [    2419.953039] 0003 0036 0000033d
2022-04-06 14:54:46.423758 True [    2419.960909] 0003 0036 00000339
2022-04-06 14:54:46.432323 True [    2419.969123] 0003 0036 00000335
2022-04-06 14:54:46.441202 True [    2419.978538] 0003 0035 000002bc
2022-04-06 14:54:46.441202 True [    2419.978538] 0003 0036 00000331
2022-04-06 14:54:46.447968 True [    2419.985517] 0003 0036 0000032f
2022-04-06 14:54:46.456340 True [    2419.995101] 0003 0036 0000032c
2022-04-06 14:54:46.464655 True [    2420.002108] 0003 0035 000002bb
2022-04-06 14:54:46.464655 True [    2420.002108] 0003 0036 00000329
2022-04-06 14:54:46.472703 True [    2420.010572] 0003 0036 00000324
2022-04-06 14:54:46.481869 True [    2420.019554] 0003 0036 00000320
2022-04-06 14:54:46.488739 True [    2420.027131] 0003 0035 000002ba
2022-04-06 14:54:46.488739 True [    2420.027131] 0003 0036 0000031d
2022-04-06 14:54:46.497133 True [    2420.035369] 0003 0035 000002b9
2022-04-06 14:54:46.497133 True [    2420.035369] 0003 0036 0000031a
2022-04-06 14:54:46.506899 True [    2420.043754] 0003 0036 00000316
2022-04-06 14:54:46.515112 True [    2420.051958] 0003 0035 000002b8
