Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.873664095982306 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 15:07:24.329626 False [    3177.851458] 0003 0036 00000314
2022-04-06 15:07:24.459843 False [    3177.982047] 0003 0035 000003b9
2022-04-06 15:07:24.465384 False [    3177.990137] 0003 0035 000003ba
2022-04-06 15:07:24.475990 False [    3177.998598] 0003 0035 000003bd
2022-04-06 15:07:24.475990 False [    3177.998598] 0003 0036 00000315
2022-04-06 15:07:24.482802 False [    3178.006750] 0003 0035 000003c0
2022-04-06 15:07:24.491173 False [    3178.015177] 0003 0035 000003c3
2022-04-06 15:07:24.491173 False [    3178.015177] 0003 0036 00000317
2022-04-06 15:07:24.498028 False [    3178.023387] 0003 0035 000003c6
2022-04-06 15:07:24.498028 False [    3178.023387] 0003 0036 00000318
2022-04-06 15:07:24.507412 False [    3178.031770] 0003 0035 000003c9
2022-04-06 15:07:24.507412 False [    3178.031770] 0003 0036 0000031a
2022-04-06 15:07:24.515220 False [    3178.039987] 0003 0035 000003ce
2022-04-06 15:07:24.515220 False [    3178.039987] 0003 0036 0000031c
2022-04-06 15:07:24.526036 False [    3178.048638] 0003 0035 000003d3
2022-04-06 15:07:24.526036 False [    3178.048638] 0003 0036 0000031e
2022-04-06 15:07:24.533355 False [    3178.056580] 0003 0035 000003d7
2022-04-06 15:07:24.534201 False [    3178.056580] 0003 0036 0000031f
2022-04-06 15:07:24.540653 False [    3178.065252] 0003 0035 000003d9
2022-04-06 15:07:24.540653 False [    3178.065252] 0003 0036 00000320
2022-04-06 15:07:24.548571 False [    3178.073191] 0003 0035 000003dc
2022-04-06 15:07:24.548571 False [    3178.073191] 0003 0036 00000321
2022-04-06 15:07:24.558281 False [    3178.081624] 0003 0035 000003dd
2022-04-06 15:07:24.558281 False [    3178.081624] 0003 0036 00000322
2022-04-06 15:07:24.568246 False [    3178.089822] 0003 0035 000003e0
2022-04-06 15:07:24.568246 False [    3178.089822] 0003 0036 00000323
2022-04-06 15:07:24.573568 False [    3178.098265] 0003 0035 000003e2
2022-04-06 15:07:24.573568 False [    3178.098265] 0003 0036 00000324
2022-04-06 15:07:24.584607 False [    3178.106451] 0003 0035 000003e4
2022-04-06 15:07:24.584607 False [    3178.106451] 0003 0036 00000326
2022-04-06 15:07:24.592557 False [    3178.114879] 0003 0035 000003e7
2022-04-06 15:07:24.592557 False [    3178.114879] 0003 0036 00000327
2022-04-06 15:07:24.600000 False [    3178.123036] 0003 0035 000003e9
2022-04-06 15:07:24.609696 False [    3178.131495] 0003 0035 000003ec
2022-04-06 15:07:24.609696 False [    3178.131495] 0003 0036 00000328
2022-04-06 15:07:24.615068 False [    3178.139694] 0003 0035 000003ef
2022-04-06 15:07:24.615068 False [    3178.139694] 0003 0036 00000329
2022-04-06 15:07:24.622641 False [    3178.148313] 0003 0035 000003f2
2022-04-06 15:07:24.622641 False [    3178.148313] 0003 0036 0000032b
2022-04-06 15:07:24.630552 False [    3178.156397] 0003 0035 000003f6
2022-04-06 15:07:24.630552 False [    3178.156397] 0003 0036 0000032c
2022-04-06 15:07:24.640629 False [    3178.165444] 0003 0035 000003f9
2022-04-06 15:07:24.640629 False [    3178.165444] 0003 0036 0000032d
2022-04-06 15:07:24.648986 False [    3178.172940] 0003 0035 000003fb
2022-04-06 15:07:24.648986 False [    3178.172940] 0003 0036 0000032e
2022-04-06 15:07:24.657407 False [    3178.181793] 0003 0035 000003fd
2022-04-06 15:07:24.657407 False [    3178.181793] 0003 0036 0000032f
2022-04-06 15:07:24.666172 False [    3178.189562] 0003 0035 00000400
2022-04-06 15:07:24.666172 False [    3178.189562] 0003 0036 00000330
2022-04-06 15:07:24.674828 False [    3178.197982] 0003 0035 00000401
2022-04-06 15:07:24.674828 False [    3178.197982] 0003 0036 00000331
2022-04-06 15:07:24.681753 False [    3178.206182] 0003 0035 00000403
2022-04-06 15:07:24.689926 False [    3178.215058] 0003 0035 00000404
2022-04-06 15:07:24.689926 False [    3178.215058] 0003 0036 00000332
2022-04-06 15:07:24.698503 False [    3178.222782] 0003 0035 00000405
2022-04-06 15:07:24.698503 False [    3178.222782] 0003 0036 00000333
2022-04-06 15:07:24.706924 False [    3178.231237] 0003 0035 00000407
2022-04-06 15:07:24.706924 False [    3178.231237] 0003 0036 00000334
2022-04-06 15:07:24.714647 False [    3178.239355] 0003 0035 0000040a
2022-04-06 15:07:24.714647 False [    3178.239355] 0003 0036 00000335
2022-04-06 15:07:24.724911 False [    3178.249266] 0003 0035 0000040c
2022-04-06 15:07:24.732836 False [    3178.255992] 0003 0035 0000040f
2022-04-06 15:07:24.732836 False [    3178.255992] 0003 0036 00000336
2022-04-06 15:07:24.741678 False [    3178.265001] 0003 0035 00000411
2022-04-06 15:07:24.741678 False [    3178.265001] 0003 0036 00000338
2022-04-06 15:07:24.747824 False [    3178.272706] 0003 0035 00000413
2022-04-06 15:07:24.747824 False [    3178.272706] 0003 0036 00000339
2022-04-06 15:07:24.757891 False [    3178.281364] 0003 0035 00000415
2022-04-06 15:07:24.762575 False [    3178.289216] 0003 0035 00000417
2022-04-06 15:07:24.762575 False [    3178.289216] 0003 0036 0000033b
2022-04-06 15:07:24.772982 False [    3178.297960] 0003 0035 0000041a
2022-04-06 15:07:24.772982 False [    3178.297960] 0003 0036 0000033d
