Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.9920400165602349 
        wm_size = [1600 2560] 
        stim_amp = 6 
        baseline_stim = 4
        current_stim_group = stim
        sense_zone = 0
        task_code = 1
        ===============================
2022-04-07 14:40:14.448722 True [    7723.502594] 0003 0036 00000529
2022-04-07 14:40:14.538202 True [    7723.592738] 0003 0035 000001c5
2022-04-07 14:40:14.538670 True [    7723.592738] 0003 0036 00000528
2022-04-07 14:40:14.545836 True [    7723.601161] 0003 0035 000001c8
2022-04-07 14:40:14.554490 True [    7723.609374] 0003 0035 000001c9
2022-04-07 14:40:14.562291 True [    7723.617927] 0003 0035 000001cf
2022-04-07 14:40:14.562291 True [    7723.617927] 0003 0036 00000529
2022-04-07 14:40:14.571302 True [    7723.626061] 0003 0035 000001d3
2022-04-07 14:40:14.571302 True [    7723.626061] 0003 0036 0000052a
2022-04-07 14:40:14.578891 True [    7723.634548] 0003 0035 000001d7
2022-04-07 14:40:14.587095 True [    7723.642762] 0003 0035 000001de
2022-04-07 14:40:14.587095 True [    7723.642762] 0003 0036 0000052b
2022-04-07 14:40:14.595625 True [    7723.651215] 0003 0035 000001e2
2022-04-07 14:40:14.605613 True [    7723.659381] 0003 0035 000001e6
2022-04-07 14:40:14.612804 True [    7723.667809] 0003 0035 000001e9
2022-04-07 14:40:14.620597 True [    7723.676202] 0003 0035 000001f0
2022-04-07 14:40:14.620597 True [    7723.676202] 0003 0036 0000052d
2022-04-07 14:40:14.629147 True [    7723.684497] 0003 0035 000001f4
2022-04-07 14:40:14.629147 True [    7723.684497] 0003 0036 0000052e
2022-04-07 14:40:14.639220 True [    7723.692614] 0003 0035 000001f7
2022-04-07 14:40:14.644865 True [    7723.701013] 0003 0035 000001fb
2022-04-07 14:40:14.644865 True [    7723.701013] 0003 0036 0000052f
2022-04-07 14:40:14.653310 True [    7723.709235] 0003 0035 000001fc
2022-04-07 14:40:14.662597 True [    7723.717700] 0003 0035 00000202
2022-04-07 14:40:14.670280 True [    7723.725914] 0003 0035 00000207
2022-04-07 14:40:14.670280 True [    7723.725914] 0003 0036 00000530
2022-04-07 14:40:14.678711 True [    7723.734487] 0003 0035 0000020a
2022-04-07 14:40:14.678711 True [    7723.734487] 0003 0036 00000531
2022-04-07 14:40:14.687310 True [    7723.742597] 0003 0035 0000020d
2022-04-07 14:40:14.695156 True [    7723.750921] 0003 0035 00000215
2022-04-07 14:40:14.703609 True [    7723.759108] 0003 0035 0000021b
2022-04-07 14:40:14.711869 True [    7723.767663] 0003 0035 0000021f
2022-04-07 14:40:14.719640 True [    7723.775756] 0003 0035 00000223
2022-04-07 14:40:14.728478 True [    7723.784141] 0003 0035 00000229
2022-04-07 14:40:14.728478 True [    7723.784141] 0003 0036 00000530
2022-04-07 14:40:14.737089 True [    7723.792359] 0003 0035 0000022f
2022-04-07 14:40:14.745322 True [    7723.800785] 0003 0035 00000233
2022-04-07 14:40:14.752726 True [    7723.808969] 0003 0035 00000236
2022-04-07 14:40:14.763251 True [    7723.817464] 0003 0035 0000023b
2022-04-07 14:40:14.763251 True [    7723.817464] 0003 0036 0000052f
2022-04-07 14:40:14.770660 True [    7723.825645] 0003 0035 00000240
2022-04-07 14:40:14.778597 True [    7723.834014] 0003 0035 00000244
2022-04-07 14:40:14.787259 True [    7723.842248] 0003 0035 0000024b
