Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.28999394807826 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 18:54:32.192504 False [   18801.503157] 0003 0036 00000186
2022-04-07 18:54:32.212146 False [   18801.525427] 0003 0035 000005f8
2022-04-07 18:54:32.212146 False [   18801.525427] 0003 0036 00000188
2022-04-07 18:54:32.221503 False [   18801.534009] 0003 0035 000005f6
2022-04-07 18:54:32.221503 False [   18801.534009] 0003 0036 00000189
2022-04-07 18:54:32.229201 False [   18801.542189] 0003 0035 000005eb
2022-04-07 18:54:32.229201 False [   18801.542189] 0003 0036 0000018b
2022-04-07 18:54:32.238439 False [   18801.550993] 0003 0035 000005dd
2022-04-07 18:54:32.238439 False [   18801.550993] 0003 0036 0000018d
2022-04-07 18:54:32.249891 False [   18801.558842] 0003 0035 000005cc
2022-04-07 18:54:32.249891 False [   18801.558842] 0003 0036 0000018e
2022-04-07 18:54:32.255066 False [   18801.567168] 0003 0035 000005b9
2022-04-07 18:54:32.255066 False [   18801.567168] 0003 0036 00000190
2022-04-07 18:54:32.262586 False [   18801.575312] 0003 0035 000005a2
2022-04-07 18:54:32.262586 False [   18801.575312] 0003 0036 00000192
2022-04-07 18:54:32.270388 False [   18801.583755] 0003 0035 0000058d
2022-04-07 18:54:32.270388 False [   18801.583755] 0003 0036 00000194
2022-04-07 18:54:32.276522 False [   18801.591911] 0003 0035 00000573
2022-04-07 18:54:32.276522 False [   18801.591911] 0003 0036 00000195
2022-04-07 18:54:32.287370 False [   18801.600418] 0003 0035 00000558
2022-04-07 18:54:32.287370 False [   18801.600418] 0003 0036 00000198
2022-04-07 18:54:32.299923 False [   18801.608885] 0003 0035 0000053b
2022-04-07 18:54:32.299923 False [   18801.608885] 0003 0036 00000199
2022-04-07 18:54:32.303655 False [   18801.617264] 0003 0035 0000051e
2022-04-07 18:54:32.303655 False [   18801.617264] 0003 0036 0000019b
2022-04-07 18:54:32.312551 False [   18801.625213] 0003 0035 000004fe
2022-04-07 18:54:32.312551 False [   18801.625213] 0003 0036 0000019d
2022-04-07 18:54:32.318751 False [   18801.633675] 0003 0035 000004d7
2022-04-07 18:54:32.318751 False [   18801.633675] 0003 0036 0000019f
2022-04-07 18:54:32.327420 False [   18801.641775] 0003 0035 000004b3
2022-04-07 18:54:32.327420 False [   18801.641775] 0003 0036 000001a1
2022-04-07 18:54:32.337407 False [   18801.651975] 0003 0035 0000048d
2022-04-07 18:54:32.337407 False [   18801.651975] 0003 0036 000001a3
2022-04-07 18:54:32.343719 False [   18801.658384] 0003 0035 00000466
2022-04-07 18:54:32.343719 False [   18801.658384] 0003 0036 000001a4
2022-04-07 18:54:32.353810 False [   18801.666970] 0003 0035 0000043d
2022-04-07 18:54:32.353810 False [   18801.666970] 0003 0036 000001a6
2022-04-07 18:54:32.360566 False [   18801.675204] 0003 0035 00000414
2022-04-07 18:54:32.360566 False [   18801.675204] 0003 0036 000001a8
2022-04-07 18:54:32.367735 False [   18801.683535] 0003 0035 000003ea
2022-04-07 18:54:32.367735 False [   18801.683535] 0003 0036 000001aa
2022-04-07 18:54:32.377420 False [   18801.691774] 0003 0035 000003c2
2022-04-07 18:54:32.377420 False [   18801.691774] 0003 0036 000001ac
2022-04-07 18:54:32.386216 False [   18801.700224] 0003 0035 00000399
2022-04-07 18:54:32.386216 False [   18801.700224] 0003 0036 000001ae
2022-04-07 18:54:32.394169 False [   18801.708377] 0003 0035 00000372
2022-04-07 18:54:32.394169 False [   18801.708377] 0003 0036 000001af
2022-04-07 18:54:32.401887 False [   18801.716830] 0003 0035 0000034a
2022-04-07 18:54:32.401887 False [   18801.716830] 0003 0036 000001b0
2022-04-07 18:54:32.411437 False [   18801.725016] 0003 0035 00000325
2022-04-07 18:54:32.411437 False [   18801.725016] 0003 0036 000001b1
2022-04-07 18:54:32.419340 False [   18801.733558] 0003 0035 00000301
2022-04-07 18:54:32.426973 False [   18801.741733] 0003 0035 000002dc
2022-04-07 18:54:32.436134 False [   18801.750188] 0003 0035 000002b8
2022-04-07 18:54:32.445956 False [   18801.758389] 0003 0035 00000294
2022-04-07 18:54:32.445956 False [   18801.758389] 0003 0036 000001b0
2022-04-07 18:54:32.454328 False [   18801.766885] 0003 0035 0000026e
2022-04-07 18:54:32.454328 False [   18801.766885] 0003 0036 000001af
2022-04-07 18:54:32.460402 False [   18801.775102] 0003 0035 00000249
2022-04-07 18:54:32.460402 False [   18801.775102] 0003 0036 000001ad
2022-04-07 18:54:32.469305 False [   18801.783489] 0003 0035 00000226
2022-04-07 18:54:32.469305 False [   18801.783489] 0003 0036 000001ab
2022-04-07 18:54:32.476455 False [   18801.791686] 0003 0035 00000205
2022-04-07 18:54:32.476455 False [   18801.791686] 0003 0036 000001a9
2022-04-07 18:54:32.485431 False [   18801.800177] 0003 0035 000001e4
2022-04-07 18:54:32.492413 False [   18801.808272] 0003 0035 000001c5
2022-04-07 18:54:32.492413 False [   18801.808272] 0003 0036 000001a6
2022-04-07 18:54:32.504381 False [   18801.817735] 0003 0035 000001a6
2022-04-07 18:54:32.504381 False [   18801.817735] 0003 0036 000001a4
2022-04-07 18:54:32.511362 False [   18801.825054] 0003 0035 00000189
2022-04-07 18:54:32.511362 False [   18801.825054] 0003 0036 000001a2
2022-04-07 18:54:32.521335 False [   18801.833613] 0003 0035 0000016e
2022-04-07 18:54:32.521335 False [   18801.833613] 0003 0036 0000019f
2022-04-07 18:54:32.528317 False [   18801.841524] 0003 0035 00000156
2022-04-07 18:54:32.528317 False [   18801.841524] 0003 0036 0000019d
2022-04-07 18:54:32.534301 False [   18801.849874] 0003 0035 0000013f
2022-04-07 18:54:32.534301 False [   18801.849874] 0003 0036 00000199
2022-04-07 18:54:32.541297 False [   18801.857996] 0003 0035 0000012c
2022-04-07 18:54:32.541297 False [   18801.857996] 0003 0036 00000196
2022-04-07 18:54:32.552294 False [   18801.866493] 0003 0035 00000121
2022-04-07 18:54:32.552294 False [   18801.866493] 0003 0036 00000194
2022-04-07 18:54:32.560271 False [   18801.874621] 0003 0035 0000011a
2022-04-07 18:54:32.560271 False [   18801.874621] 0003 0036 00000192
