Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.2744603292816725 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 19:02:38.889182 False [   19288.195018] 0003 0036 000002ab
2022-04-07 19:02:38.930312 False [   19288.234642] 0003 0035 0000050a
2022-04-07 19:02:38.942953 False [   19288.243078] 0003 0035 00000509
2022-04-07 19:02:38.947116 False [   19288.251463] 0003 0035 00000507
2022-04-07 19:02:38.947116 False [   19288.251463] 0003 0036 000002ad
2022-04-07 19:02:38.955454 False [   19288.259699] 0003 0035 00000505
2022-04-07 19:02:38.955454 False [   19288.259699] 0003 0036 000002af
2022-04-07 19:02:38.963035 False [   19288.268200] 0003 0035 00000503
2022-04-07 19:02:38.963035 False [   19288.268200] 0003 0036 000002b2
2022-04-07 19:02:38.970360 False [   19288.276268] 0003 0035 00000502
2022-04-07 19:02:38.970360 False [   19288.276268] 0003 0036 000002b4
2022-04-07 19:02:38.975939 False [   19288.284799] 0003 0035 00000500
2022-04-07 19:02:38.975939 False [   19288.284799] 0003 0036 000002b8
2022-04-07 19:02:38.984089 False [   19288.292891] 0003 0035 000004fe
2022-04-07 19:02:38.985099 False [   19288.292891] 0003 0036 000002bb
2022-04-07 19:02:38.994092 False [   19288.301232] 0003 0035 000004fc
2022-04-07 19:02:38.994092 False [   19288.301232] 0003 0036 000002be
2022-04-07 19:02:38.999242 False [   19288.309555] 0003 0035 000004fb
2022-04-07 19:02:38.999242 False [   19288.309555] 0003 0036 000002c2
2022-04-07 19:02:39.009162 False [   19288.317829] 0003 0035 000004fa
2022-04-07 19:02:39.009162 False [   19288.317829] 0003 0036 000002c5
2022-04-07 19:02:39.021093 False [   19288.326058] 0003 0035 000004f8
2022-04-07 19:02:39.021093 False [   19288.326058] 0003 0036 000002c8
2022-04-07 19:02:39.025993 False [   19288.334682] 0003 0035 000004f7
2022-04-07 19:02:39.025993 False [   19288.334682] 0003 0036 000002ca
2022-04-07 19:02:39.036815 False [   19288.342656] 0003 0035 000004f6
2022-04-07 19:02:39.036815 False [   19288.342656] 0003 0036 000002cd
2022-04-07 19:02:39.042769 False [   19288.351088] 0003 0035 000004f5
2022-04-07 19:02:39.042769 False [   19288.351088] 0003 0036 000002d0
2022-04-07 19:02:39.050620 False [   19288.359279] 0003 0035 000004f4
2022-04-07 19:02:39.050620 False [   19288.359279] 0003 0036 000002d3
2022-04-07 19:02:39.059823 False [   19288.367713] 0003 0035 000004f3
2022-04-07 19:02:39.059823 False [   19288.367713] 0003 0036 000002d7
2022-04-07 19:02:39.068081 False [   19288.376047] 0003 0035 000004f2
2022-04-07 19:02:39.068081 False [   19288.376047] 0003 0036 000002d9
2022-04-07 19:02:39.079847 False [   19288.384440] 0003 0035 000004f0
2022-04-07 19:02:39.079847 False [   19288.384440] 0003 0036 000002dd
2022-04-07 19:02:39.086194 False [   19288.392608] 0003 0035 000004ee
2022-04-07 19:02:39.086194 False [   19288.392608] 0003 0036 000002e1
2022-04-07 19:02:39.094231 False [   19288.401066] 0003 0035 000004ec
2022-04-07 19:02:39.094231 False [   19288.401066] 0003 0036 000002e5
2022-04-07 19:02:39.103872 False [   19288.409241] 0003 0035 000004eb
2022-04-07 19:02:39.103872 False [   19288.409241] 0003 0036 000002e9
2022-04-07 19:02:39.110448 False [   19288.417692] 0003 0035 000004e9
2022-04-07 19:02:39.110448 False [   19288.417692] 0003 0036 000002ee
2022-04-07 19:02:39.117215 False [   19288.425871] 0003 0035 000004e8
2022-04-07 19:02:39.117215 False [   19288.425871] 0003 0036 000002f1
2022-04-07 19:02:39.127991 False [   19288.434934] 0003 0035 000004e5
2022-04-07 19:02:39.127991 False [   19288.434934] 0003 0036 000002f5
2022-04-07 19:02:39.133975 False [   19288.442512] 0003 0035 000004e4
2022-04-07 19:02:39.133975 False [   19288.442512] 0003 0036 000002f8
2022-04-07 19:02:39.144690 False [   19288.451140] 0003 0035 000004e0
2022-04-07 19:02:39.144690 False [   19288.451140] 0003 0036 000002fe
2022-04-07 19:02:39.152190 False [   19288.459051] 0003 0035 000004de
2022-04-07 19:02:39.152190 False [   19288.459051] 0003 0036 00000302
2022-04-07 19:02:39.159597 False [   19288.467577] 0003 0035 000004da
2022-04-07 19:02:39.159597 False [   19288.467577] 0003 0036 00000306
2022-04-07 19:02:39.168035 False [   19288.475687] 0003 0035 000004d8
2022-04-07 19:02:39.168035 False [   19288.475687] 0003 0036 0000030a
2022-04-07 19:02:39.176547 False [   19288.484140] 0003 0035 000004d5
2022-04-07 19:02:39.176547 False [   19288.484140] 0003 0036 0000030f
2022-04-07 19:02:39.183896 False [   19288.492591] 0003 0035 000004d3
2022-04-07 19:02:39.183896 False [   19288.492591] 0003 0036 00000313
2022-04-07 19:02:39.193629 False [   19288.501227] 0003 0035 000004d0
2022-04-07 19:02:39.193629 False [   19288.501227] 0003 0036 00000317
2022-04-07 19:02:39.193629 False [   19288.501227] 0003 0035 00000484
2022-04-07 19:02:39.193629 False [   19288.501227] 0003 0036 00000156
2022-04-07 19:02:39.201463 False [   19288.509086] 0003 0035 000004cf
2022-04-07 19:02:39.201463 False [   19288.509086] 0003 0036 0000031a
2022-04-07 19:02:39.213744 False [   19288.517448] 0003 0035 000004cc
2022-04-07 19:02:39.213744 False [   19288.517448] 0003 0036 0000031f
2022-04-07 19:02:39.219669 False [   19288.525590] 0003 0035 000004ca
2022-04-07 19:02:39.219669 False [   19288.525590] 0003 0036 00000322
2022-04-07 19:02:39.226106 False [   19288.533988] 0003 0035 000004c7
2022-04-07 19:02:39.226106 False [   19288.533988] 0003 0036 00000326
2022-04-07 19:02:39.236186 False [   19288.542225] 0003 0035 000004c5
2022-04-07 19:02:39.236186 False [   19288.542225] 0003 0036 00000329
2022-04-07 19:02:39.243455 False [   19288.550642] 0003 0035 000004c2
2022-04-07 19:02:39.243455 False [   19288.550642] 0003 0036 0000032c
2022-04-07 19:02:39.253960 False [   19288.558878] 0003 0035 000004c0
2022-04-07 19:02:39.253960 False [   19288.558878] 0003 0036 0000032f
2022-04-07 19:02:39.253960 False [   19288.558878] 0003 0035 00000483
2022-04-07 19:02:39.259689 False [   19288.567652] 0003 0035 000004be
2022-04-07 19:02:39.259689 False [   19288.567652] 0003 0036 00000331
2022-04-07 19:02:39.259689 False [   19288.567652] 0003 0035 00000482
2022-04-07 19:02:39.259689 False [   19288.567652] 0003 0036 00000157
2022-04-07 19:02:39.269567 False [   19288.575586] 0003 0035 000004bb
2022-04-07 19:02:39.269567 False [   19288.575586] 0003 0036 00000334
2022-04-07 19:02:39.269567 False [   19288.575586] 0003 0035 00000481
2022-04-07 19:02:39.269567 False [   19288.575586] 0003 0036 00000158
2022-04-07 19:02:39.276615 False [   19288.583996] 0003 0035 000004b7
2022-04-07 19:02:39.276615 False [   19288.583996] 0003 0036 00000339
2022-04-07 19:02:39.276615 False [   19288.583996] 0003 0035 0000047f
2022-04-07 19:02:39.276615 False [   19288.583996] 0003 0036 00000159
2022-04-07 19:02:39.284921 False [   19288.592234] 0003 0035 000004b3
2022-04-07 19:02:39.284921 False [   19288.592234] 0003 0036 0000033e
2022-04-07 19:02:39.284921 False [   19288.592234] 0003 0035 0000047e
2022-04-07 19:02:39.284921 False [   19288.592234] 0003 0036 0000015c
2022-04-07 19:02:39.292665 False [   19288.600622] 0003 0035 000004af
2022-04-07 19:02:39.292665 False [   19288.600622] 0003 0036 00000342
2022-04-07 19:02:39.292665 False [   19288.600622] 0003 0035 0000047b
2022-04-07 19:02:39.292665 False [   19288.600622] 0003 0036 00000160
2022-04-07 19:02:39.302338 False [   19288.608791] 0003 0035 000004ac
2022-04-07 19:02:39.302338 False [   19288.608791] 0003 0036 00000346
2022-04-07 19:02:39.302338 False [   19288.608791] 0003 0035 00000479
2022-04-07 19:02:39.302338 False [   19288.608791] 0003 0036 00000163
2022-04-07 19:02:39.309662 False [   19288.617113] 0003 0035 000004a9
2022-04-07 19:02:39.309662 False [   19288.617113] 0003 0036 0000034b
2022-04-07 19:02:39.309662 False [   19288.617113] 0003 0035 00000477
2022-04-07 19:02:39.309662 False [   19288.617113] 0003 0036 00000166
2022-04-07 19:02:39.317129 False [   19288.625312] 0003 0035 000004a7
2022-04-07 19:02:39.317129 False [   19288.625312] 0003 0036 0000034e
2022-04-07 19:02:39.317129 False [   19288.625312] 0003 0035 00000476
2022-04-07 19:02:39.317129 False [   19288.625312] 0003 0036 0000016a
2022-04-07 19:02:39.326785 False [   19288.633741] 0003 0035 000004a4
2022-04-07 19:02:39.326785 False [   19288.633741] 0003 0036 00000352
2022-04-07 19:02:39.326785 False [   19288.633741] 0003 0035 00000474
2022-04-07 19:02:39.326785 False [   19288.633741] 0003 0036 0000016c
2022-04-07 19:02:39.333623 False [   19288.641915] 0003 0035 000004a1
2022-04-07 19:02:39.333623 False [   19288.641915] 0003 0036 00000354
2022-04-07 19:02:39.333623 False [   19288.641915] 0003 0035 00000472
2022-04-07 19:02:39.333623 False [   19288.641915] 0003 0036 0000016f
2022-04-07 19:02:39.341916 False [   19288.650355] 0003 0035 0000049e
2022-04-07 19:02:39.341916 False [   19288.650355] 0003 0036 00000359
2022-04-07 19:02:39.341916 True [   19288.650355] 0003 0035 00000471
2022-04-07 19:02:39.341916 False [   19288.650355] 0003 0036 00000172
2022-04-07 19:02:39.350412 False [   19288.658560] 0003 0035 0000049b
2022-04-07 19:02:39.350412 False [   19288.658560] 0003 0036 0000035c
2022-04-07 19:02:39.350412 True [   19288.658560] 0003 0035 0000046f
2022-04-07 19:02:39.350412 False [   19288.658560] 0003 0036 00000174
2022-04-07 19:02:39.359203 False [   19288.667015] 0003 0035 00000498
2022-04-07 19:02:39.359203 False [   19288.667015] 0003 0036 0000035f
2022-04-07 19:02:39.359203 True [   19288.667015] 0003 0035 0000046d
2022-04-07 19:02:39.359203 False [   19288.667015] 0003 0036 00000178
2022-04-07 19:02:39.367058 False [   19288.675163] 0003 0035 00000496
2022-04-07 19:02:39.367058 False [   19288.675163] 0003 0036 00000362
2022-04-07 19:02:39.367058 True [   19288.675163] 0003 0035 0000046c
2022-04-07 19:02:39.367058 False [   19288.675163] 0003 0036 0000017a
2022-04-07 19:02:39.376690 False [   19288.683875] 0003 0035 00000494
2022-04-07 19:02:39.376690 False [   19288.683875] 0003 0036 00000364
2022-04-07 19:02:39.376690 True [   19288.683875] 0003 0035 00000469
2022-04-07 19:02:39.376690 False [   19288.683875] 0003 0036 0000017d
2022-04-07 19:02:39.384613 False [   19288.691879] 0003 0035 0000048f
2022-04-07 19:02:39.384613 False [   19288.691879] 0003 0036 00000368
2022-04-07 19:02:39.384613 True [   19288.691879] 0003 0035 00000468
2022-04-07 19:02:39.384613 False [   19288.691879] 0003 0036 0000017f
2022-04-07 19:02:39.395144 False [   19288.700304] 0003 0035 0000048c
2022-04-07 19:02:39.395144 False [   19288.700304] 0003 0036 0000036a
2022-04-07 19:02:39.395144 True [   19288.700304] 0003 0035 00000465
2022-04-07 19:02:39.395144 False [   19288.700304] 0003 0036 00000182
2022-04-07 19:02:39.401423 False [   19288.708624] 0003 0035 00000486
2022-04-07 19:02:39.401423 True [   19288.708624] 0003 0036 0000036f
2022-04-07 19:02:39.401423 True [   19288.708624] 0003 0035 00000464
2022-04-07 19:02:39.401423 False [   19288.708624] 0003 0036 00000184
2022-04-07 19:02:39.409681 False [   19288.716973] 0003 0035 00000481
2022-04-07 19:02:39.409681 True [   19288.716973] 0003 0036 00000373
2022-04-07 19:02:39.409681 True [   19288.716973] 0003 0035 00000460
2022-04-07 19:02:39.409681 False [   19288.716973] 0003 0036 00000188
2022-04-07 19:02:39.416186 False [   19288.725164] 0003 0035 0000047e
2022-04-07 19:02:39.416186 True [   19288.725164] 0003 0036 00000375
