Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.3120497961715112 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 19:04:02.741216 False [   19372.046248] 0003 0036 000002e4
2022-04-07 19:04:02.915963 False [   19372.221716] 0003 0035 00000528
2022-04-07 19:04:02.924816 False [   19372.228649] 0003 0035 00000529
2022-04-07 19:04:02.947023 False [   19372.253190] 0003 0035 0000052a
2022-04-07 19:04:02.947023 False [   19372.253190] 0003 0036 000002e5
2022-04-07 19:04:02.956996 False [   19372.261742] 0003 0035 0000052b
2022-04-07 19:04:02.956996 False [   19372.261742] 0003 0036 000002e6
2022-04-07 19:04:02.972372 False [   19372.270001] 0003 0036 000002e7
2022-04-07 19:04:02.981406 False [   19372.278524] 0003 0036 000002e8
2022-04-07 19:04:02.999503 False [   19372.286557] 0003 0035 0000052c
2022-04-07 19:04:02.999503 False [   19372.286557] 0003 0036 000002e9
2022-04-07 19:04:03.015199 False [   19372.295017] 0003 0036 000002ea
2022-04-07 19:04:03.015199 False [   19372.303191] 0003 0036 000002eb
2022-04-07 19:04:03.021309 False [   19372.311627] 0003 0036 000002ed
2022-04-07 19:04:03.021309 False [   19372.319832] 0003 0035 0000052b
2022-04-07 19:04:03.021309 False [   19372.319832] 0003 0036 000002ef
2022-04-07 19:04:03.021309 False [   19372.328167] 0003 0036 000002f1
2022-04-07 19:04:03.029912 False [   19372.336428] 0003 0035 00000529
2022-04-07 19:04:03.029912 False [   19372.336428] 0003 0036 000002f4
2022-04-07 19:04:03.037027 False [   19372.344788] 0003 0036 000002f6
2022-04-07 19:04:03.047986 False [   19372.353049] 0003 0035 00000527
2022-04-07 19:04:03.047986 False [   19372.353049] 0003 0036 000002f9
2022-04-07 19:04:03.055901 False [   19372.361520] 0003 0035 00000525
2022-04-07 19:04:03.055901 False [   19372.361520] 0003 0036 000002fb
2022-04-07 19:04:03.063898 False [   19372.369810] 0003 0035 00000522
2022-04-07 19:04:03.063898 False [   19372.369810] 0003 0036 000002fe
2022-04-07 19:04:03.072713 False [   19372.378186] 0003 0035 00000520
2022-04-07 19:04:03.073711 False [   19372.378186] 0003 0036 00000301
2022-04-07 19:04:03.079235 False [   19372.386353] 0003 0035 0000051b
2022-04-07 19:04:03.079235 False [   19372.386353] 0003 0036 00000305
2022-04-07 19:04:03.088789 False [   19372.394720] 0003 0035 00000518
2022-04-07 19:04:03.088789 False [   19372.394720] 0003 0036 00000309
2022-04-07 19:04:03.095931 False [   19372.402926] 0003 0035 00000515
2022-04-07 19:04:03.095931 False [   19372.402926] 0003 0036 0000030c
2022-04-07 19:04:03.107157 False [   19372.412611] 0003 0035 00000512
2022-04-07 19:04:03.107157 False [   19372.412611] 0003 0036 0000030f
2022-04-07 19:04:03.114842 False [   19372.419555] 0003 0035 0000050f
2022-04-07 19:04:03.114842 False [   19372.419555] 0003 0036 00000312
2022-04-07 19:04:03.123232 False [   19372.428199] 0003 0035 0000050c
2022-04-07 19:04:03.123232 False [   19372.428199] 0003 0036 00000316
2022-04-07 19:04:03.130083 False [   19372.436353] 0003 0035 00000509
2022-04-07 19:04:03.130083 False [   19372.436353] 0003 0036 00000319
2022-04-07 19:04:03.140084 False [   19372.444677] 0003 0035 00000506
2022-04-07 19:04:03.140084 False [   19372.444677] 0003 0036 0000031d
