Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.757569050457097 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 3
        ===============================
2022-04-07 19:07:46.876476 False [   19596.173744] 0003 0036 000000c3
2022-04-07 19:07:46.921549 False [   19596.222766] 0003 0035 000005bd
2022-04-07 19:07:46.926917 False [   19596.230992] 0003 0036 000000c4
2022-04-07 19:07:46.934570 False [   19596.239424] 0003 0035 000005bc
2022-04-07 19:07:46.934570 False [   19596.239424] 0003 0036 000000c6
2022-04-07 19:07:46.942233 False [   19596.247594] 0003 0035 000005bb
2022-04-07 19:07:46.942233 False [   19596.247594] 0003 0036 000000ca
2022-04-07 19:07:46.962260 False [   19596.256077] 0003 0036 000000cf
2022-04-07 19:07:46.970538 False [   19596.264359] 0003 0035 000005ba
2022-04-07 19:07:46.970538 False [   19596.264359] 0003 0036 000000d6
2022-04-07 19:07:46.986677 False [   19596.272695] 0003 0035 000005b8
2022-04-07 19:07:46.986677 False [   19596.272695] 0003 0036 000000de
2022-04-07 19:07:46.998039 False [   19596.281321] 0003 0036 000000e8
2022-04-07 19:07:46.998039 False [   19596.289634] 0003 0035 000005b7
2022-04-07 19:07:46.998039 False [   19596.289634] 0003 0036 000000f2
2022-04-07 19:07:47.003810 False [   19596.297520] 0003 0035 000005b6
2022-04-07 19:07:47.003810 False [   19596.297520] 0003 0036 000000fd
2022-04-07 19:07:47.003810 False [   19596.305942] 0003 0035 000005b4
2022-04-07 19:07:47.003810 False [   19596.305942] 0003 0036 0000010b
2022-04-07 19:07:47.017955 False [   19596.314211] 0003 0036 0000011a
2022-04-07 19:07:47.021288 False [   19596.322503] 0003 0035 000005b2
2022-04-07 19:07:47.021288 False [   19596.322503] 0003 0036 00000128
2022-04-07 19:07:47.029161 False [   19596.330679] 0003 0035 000005b1
2022-04-07 19:07:47.029161 False [   19596.330679] 0003 0036 00000137
2022-04-07 19:07:47.036339 False [   19596.339199] 0003 0035 000005b0
2022-04-07 19:07:47.036339 False [   19596.339199] 0003 0036 00000148
2022-04-07 19:07:47.045254 False [   19596.347512] 0003 0035 000005af
2022-04-07 19:07:47.045254 False [   19596.347512] 0003 0036 00000157
2022-04-07 19:07:47.054896 False [   19596.355864] 0003 0035 000005ae
2022-04-07 19:07:47.054896 False [   19596.355864] 0003 0036 00000168
2022-04-07 19:07:47.062365 False [   19596.364073] 0003 0035 000005ad
2022-04-07 19:07:47.062365 False [   19596.364073] 0003 0036 00000179
2022-04-07 19:07:47.070309 False [   19596.372538] 0003 0035 000005ac
2022-04-07 19:07:47.070309 False [   19596.372538] 0003 0036 00000189
2022-04-07 19:07:47.078970 False [   19596.380962] 0003 0035 000005ab
2022-04-07 19:07:47.078970 False [   19596.380962] 0003 0036 0000019b
2022-04-07 19:07:47.088067 False [   19596.389116] 0003 0035 000005aa
2022-04-07 19:07:47.088067 False [   19596.389116] 0003 0036 000001ae
2022-04-07 19:07:47.095859 False [   19596.397287] 0003 0035 000005a9
2022-04-07 19:07:47.095859 False [   19596.397287] 0003 0036 000001c0
2022-04-07 19:07:47.101054 False [   19596.405784] 0003 0035 000005a7
2022-04-07 19:07:47.101054 False [   19596.405784] 0003 0036 000001d5
2022-04-07 19:07:47.110096 False [   19596.413844] 0003 0035 000005a6
2022-04-07 19:07:47.110096 False [   19596.413844] 0003 0036 000001e8
2022-04-07 19:07:47.117016 False [   19596.422290] 0003 0035 000005a4
2022-04-07 19:07:47.117016 False [   19596.422290] 0003 0036 000001ff
2022-04-07 19:07:47.129090 False [   19596.430463] 0003 0035 000005a2
2022-04-07 19:07:47.129090 False [   19596.430463] 0003 0036 00000213
2022-04-07 19:07:47.137214 False [   19596.438968] 0003 0035 000005a1
2022-04-07 19:07:47.137214 False [   19596.438968] 0003 0036 00000227
2022-04-07 19:07:47.150617 False [   19596.447269] 0003 0035 000005a0
2022-04-07 19:07:47.150617 False [   19596.447269] 0003 0036 0000023d
2022-04-07 19:07:47.154196 False [   19596.455589] 0003 0035 0000059f
2022-04-07 19:07:47.154196 False [   19596.455589] 0003 0036 00000254
2022-04-07 19:07:47.168630 False [   19596.463851] 0003 0035 0000059e
2022-04-07 19:07:47.168630 False [   19596.463851] 0003 0036 0000026a
2022-04-07 19:07:47.172444 False [   19596.472509] 0003 0035 0000059d
2022-04-07 19:07:47.172444 False [   19596.472509] 0003 0036 00000284
2022-04-07 19:07:47.188080 False [   19596.481359] 0003 0036 0000029c
2022-04-07 19:07:47.214805 False [   19596.490334] 0003 0036 000002b6
2022-04-07 19:07:47.238758 False [   19596.496963] 0003 0036 000002cf
2022-04-07 19:07:47.238758 False [   19596.505586] 0003 0036 000002ec
2022-04-07 19:07:47.238758 False [   19596.513958] 0003 0036 00000307
2022-04-07 19:07:47.238758 False [   19596.523179] 0003 0036 00000325
2022-04-07 19:07:47.244546 False [   19596.531364] 0003 0035 0000059e
2022-04-07 19:07:47.244546 False [   19596.531364] 0003 0036 00000341
2022-04-07 19:07:47.244546 False [   19596.538748] 0003 0036 0000035e
2022-04-07 19:07:47.244546 False [   19596.546890] 0003 0035 0000059f
2022-04-07 19:07:47.244546 False [   19596.546890] 0003 0036 00000379
2022-04-07 19:07:47.297097 False [   19596.555319] 0003 0036 00000396
2022-04-07 19:07:47.312520 False [   19596.563502] 0003 0036 000003b1
2022-04-07 19:07:47.312520 False [   19596.573069] 0003 0036 000003cc
2022-04-07 19:07:47.312520 False [   19596.582145] 0003 0036 000003e5
2022-04-07 19:07:47.312520 False [   19596.589816] 0003 0036 000003fd
2022-04-07 19:07:47.312520 False [   19596.597625] 0003 0036 00000418
2022-04-07 19:07:47.312520 False [   19596.605385] 0003 0036 00000430
2022-04-07 19:07:47.330262 False [   19596.614107] 0003 0035 0000059e
2022-04-07 19:07:47.330262 False [   19596.614107] 0003 0036 0000044a
2022-04-07 19:07:47.330262 False [   19596.621802] 0003 0036 00000464
2022-04-07 19:07:47.371972 False [   19596.630060] 0003 0035 0000059d
2022-04-07 19:07:47.371972 False [   19596.630060] 0003 0036 0000047e
2022-04-07 19:07:47.371972 False [   19596.638413] 0003 0036 00000496
2022-04-07 19:07:47.402719 False [   19596.647165] 0003 0035 0000059c
2022-04-07 19:07:47.402719 False [   19596.647165] 0003 0036 000004b1
2022-04-07 19:07:47.402719 False [   19596.655031] 0003 0036 000004cb
2022-04-07 19:07:47.402719 False [   19596.663477] 0003 0036 000004e4
2022-04-07 19:07:47.402719 False [   19596.672463] 0003 0035 0000059b
2022-04-07 19:07:47.402719 False [   19596.672463] 0003 0036 00000503
2022-04-07 19:07:47.402719 False [   19596.679870] 0003 0036 0000051f
2022-04-07 19:07:47.420062 False [   19596.688409] 0003 0036 0000053c
2022-04-07 19:07:47.420062 False [   19596.696749] 0003 0036 00000558
2022-04-07 19:07:47.420062 False [   19596.706888] 0003 0035 0000059a
2022-04-07 19:07:47.420062 False [   19596.706888] 0003 0036 00000574
2022-04-07 19:07:47.455055 False [   19596.713208] 0003 0035 00000599
2022-04-07 19:07:47.455055 False [   19596.713208] 0003 0036 00000590
2022-04-07 19:07:47.455055 False [   19596.721617] 0003 0035 00000598
2022-04-07 19:07:47.455055 False [   19596.721617] 0003 0036 000005ab
