Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.9984720627895423 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 1
        ===============================
2022-04-07 19:13:38.743742 False [   19948.038646] 0003 0036 0000014b
2022-04-07 19:13:38.786566 False [   19948.052826] 0003 0035 00000509
2022-04-07 19:13:38.786566 False [   19948.052826] 0003 0036 0000014f
2022-04-07 19:13:38.843939 False [   19948.061003] 0003 0035 00000507
2022-04-07 19:13:38.843939 False [   19948.061003] 0003 0036 00000152
2022-04-07 19:13:38.843939 False [   19948.069436] 0003 0035 00000506
2022-04-07 19:13:38.843939 False [   19948.069436] 0003 0036 0000015c
2022-04-07 19:13:38.843939 False [   19948.077957] 0003 0036 00000163
2022-04-07 19:13:38.843939 False [   19948.090048] 0003 0036 0000016e
2022-04-07 19:13:38.895466 False [   19948.100199] 0003 0036 00000175
2022-04-07 19:13:38.895466 False [   19948.110604] 0003 0035 00000508
2022-04-07 19:13:38.895466 False [   19948.110604] 0003 0036 00000186
2022-04-07 19:13:38.895466 False [   19948.119817] 0003 0035 0000050c
2022-04-07 19:13:38.895466 False [   19948.119817] 0003 0036 000001a5
2022-04-07 19:13:38.895466 False [   19948.129427] 0003 0035 0000050e
2022-04-07 19:13:38.895466 False [   19948.129427] 0003 0036 000001b8
2022-04-07 19:13:38.895466 False [   19948.137003] 0003 0035 00000510
2022-04-07 19:13:38.895466 False [   19948.137003] 0003 0036 000001ca
2022-04-07 19:13:38.895466 False [   19948.147472] 0003 0035 00000512
2022-04-07 19:13:38.895466 False [   19948.147472] 0003 0036 000001dd
2022-04-07 19:13:38.950949 False [   19948.156915] 0003 0035 00000514
2022-04-07 19:13:38.950949 False [   19948.156915] 0003 0036 000001f3
2022-04-07 19:13:38.950949 False [   19948.163380] 0003 0036 00000209
2022-04-07 19:13:38.950949 False [   19948.171113] 0003 0036 0000021f
2022-04-07 19:13:38.950949 False [   19948.181968] 0003 0036 00000238
2022-04-07 19:13:38.950949 False [   19948.190601] 0003 0036 00000254
2022-04-07 19:13:38.950949 False [   19948.198712] 0003 0036 00000271
2022-04-07 19:13:39.010898 False [   19948.208396] 0003 0035 00000511
2022-04-07 19:13:39.010898 False [   19948.208396] 0003 0036 00000293
2022-04-07 19:13:39.010898 False [   19948.212357] 0003 0035 00000510
2022-04-07 19:13:39.010898 False [   19948.212357] 0003 0036 000002b3
2022-04-07 19:13:39.010898 False [   19948.219059] 0003 0035 0000050d
2022-04-07 19:13:39.010898 False [   19948.219059] 0003 0036 000002d7
2022-04-07 19:13:39.010898 False [   19948.227356] 0003 0035 0000050c
2022-04-07 19:13:39.010898 False [   19948.227356] 0003 0036 000002fb
2022-04-07 19:13:39.010898 False [   19948.235795] 0003 0035 0000050a
2022-04-07 19:13:39.010898 False [   19948.235795] 0003 0036 00000324
2022-04-07 19:13:39.010898 False [   19948.245400] 0003 0035 00000509
2022-04-07 19:13:39.010898 False [   19948.245400] 0003 0036 00000349
2022-04-07 19:13:39.010898 False [   19948.254416] 0003 0035 00000508
2022-04-07 19:13:39.010898 False [   19948.254416] 0003 0036 0000036f
2022-04-07 19:13:39.064404 False [   19948.263671] 0003 0035 00000507
2022-04-07 19:13:39.064404 False [   19948.263671] 0003 0036 00000395
2022-04-07 19:13:39.064404 False [   19948.273058] 0003 0036 000003ba
2022-04-07 19:13:39.064404 False [   19948.284657] 0003 0036 000003dc
2022-04-07 19:13:39.064404 False [   19948.294056] 0003 0036 000003fd
2022-04-07 19:13:39.064404 False [   19948.303551] 0003 0035 00000506
2022-04-07 19:13:39.064404 False [   19948.303551] 0003 0036 00000438
2022-04-07 19:13:39.064404 False [   19948.313962] 0003 0035 00000505
2022-04-07 19:13:39.064404 False [   19948.313962] 0003 0036 0000045a
2022-04-07 19:13:39.114993 False [   19948.322746] 0003 0036 00000480
2022-04-07 19:13:39.114993 False [   19948.330278] 0003 0036 000004a1
2022-04-07 19:13:39.114993 False [   19948.340751] 0003 0035 00000504
2022-04-07 19:13:39.114993 False [   19948.340751] 0003 0036 000004c7
