Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.4540429267123836 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 1
        ===============================
2022-04-07 19:16:42.877759 False [   20132.162989] 0003 0036 00000162
2022-04-07 19:16:42.963854 False [   20132.185688] 0003 0036 00000166
2022-04-07 19:16:43.052981 False [   20132.201493] 0003 0035 00000162
2022-04-07 19:16:43.052981 False [   20132.201493] 0003 0036 00000170
2022-04-07 19:16:43.052981 False [   20132.213234] 0003 0035 00000164
2022-04-07 19:16:43.052981 False [   20132.213234] 0003 0036 0000017b
2022-04-07 19:16:43.052981 False [   20132.224396] 0003 0035 00000168
2022-04-07 19:16:43.052981 False [   20132.224396] 0003 0036 00000195
2022-04-07 19:16:43.052981 False [   20132.237442] 0003 0035 00000169
2022-04-07 19:16:43.052981 False [   20132.237442] 0003 0036 000001a3
2022-04-07 19:16:43.052981 False [   20132.251275] 0003 0035 0000016e
2022-04-07 19:16:43.052981 False [   20132.251275] 0003 0036 000001c0
2022-04-07 19:16:43.052981 False [   20132.264638] 0003 0035 0000016f
2022-04-07 19:16:43.052981 False [   20132.264638] 0003 0036 000001cf
2022-04-07 19:16:43.147644 False [   20132.277834] 0003 0035 00000173
2022-04-07 19:16:43.147644 False [   20132.277834] 0003 0036 000001ed
2022-04-07 19:16:43.147644 False [   20132.290520] 0003 0035 00000176
2022-04-07 19:16:43.147644 False [   20132.290520] 0003 0036 0000020b
2022-04-07 19:16:43.147644 False [   20132.304052] 0003 0035 00000178
2022-04-07 19:16:43.147644 False [   20132.304052] 0003 0036 0000021b
2022-04-07 19:16:43.147644 False [   20132.318496] 0003 0035 0000017c
2022-04-07 19:16:43.147644 False [   20132.318496] 0003 0036 0000023f
2022-04-07 19:16:43.147644 False [   20132.332525] 0003 0035 0000017e
2022-04-07 19:16:43.147644 False [   20132.332525] 0003 0036 00000251
2022-04-07 19:16:43.147644 False [   20132.342135] 0003 0035 00000181
2022-04-07 19:16:43.147644 False [   20132.342135] 0003 0036 00000275
2022-04-07 19:16:43.147644 False [   20132.354100] 0003 0035 00000184
2022-04-07 19:16:43.147644 False [   20132.354100] 0003 0036 00000289
2022-04-07 19:16:43.169576 False [   20132.365291] 0003 0035 00000188
2022-04-07 19:16:43.169576 False [   20132.365291] 0003 0036 000002b3
2022-04-07 19:16:43.169576 False [   20132.377432] 0003 0036 000002c8
2022-04-07 19:16:43.169576 False [   20132.387285] 0003 0035 0000018c
2022-04-07 19:16:43.169576 False [   20132.387285] 0003 0036 000002f7
2022-04-07 19:16:43.169576 False [   20132.393731] 0003 0035 0000018f
2022-04-07 19:16:43.169576 False [   20132.393731] 0003 0036 00000311
2022-04-07 19:16:43.169576 False [   20132.404308] 0003 0036 0000032b
2022-04-07 19:16:43.169576 False [   20132.416883] 0003 0035 00000190
2022-04-07 19:16:43.169576 False [   20132.416883] 0003 0036 00000345
2022-04-07 19:16:43.169576 False [   20132.428336] 0003 0035 00000191
2022-04-07 19:16:43.169576 False [   20132.428336] 0003 0036 0000035e
2022-04-07 19:16:43.169576 False [   20132.438753] 0003 0035 00000193
2022-04-07 19:16:43.169576 False [   20132.438753] 0003 0036 00000396
2022-04-07 19:16:43.192431 False [   20132.447159] 0003 0036 000003b3
2022-04-07 19:16:43.192431 False [   20132.451776] 0003 0035 00000194
2022-04-07 19:16:43.192431 False [   20132.451776] 0003 0036 000003ce
2022-04-07 19:16:43.192431 False [   20132.460477] 0003 0035 00000195
2022-04-07 19:16:43.192431 False [   20132.460477] 0003 0036 000003eb
2022-04-07 19:16:43.192431 False [   20132.468627] 0003 0036 00000407
2022-04-07 19:16:43.251336 False [   20132.477739] 0003 0035 00000196
2022-04-07 19:16:43.251336 False [   20132.477739] 0003 0036 00000422
2022-04-07 19:16:43.251336 False [   20132.485090] 0003 0035 00000197
2022-04-07 19:16:43.251336 False [   20132.485090] 0003 0036 0000043e
