SensType,FigShape,Answer,PeakStim,BaseStim,Stimulation,SpentTime
a,Circle,Pentagon,4,0,4,121.28525805473328
s,Square,Square,4,0,4,64.55672812461853
s,Square,Square,4,0,4,67.2468466758728
a,Square,Square,4,0,4,49.082526206970215
a,Pentagon,Square,4,0,4,63.556275606155396
a,Pentagon,Square,4,0,4,129.31224250793457
s,Pentagon,Square,4,0,4,117.18125772476196
a,Circle,Square,4,0,4,63.86415696144104
s,Pentagon,Pentagon,4,0,4,70.72939729690552
s,Pentagon,Square,4,0,4,64.78539657592773
a,Circle,Pentagon,4,0,4,81.10185933113098
a,Square,Square,4,0,4,99.84979033470154
s,Circle,Square,4,0,4,86.62061953544617
a,Pentagon,Square,4,0,4,123.80422878265381
s,Square,Square,4,0,4,58.85718584060669
s,Pentagon,Pentagon,4,0,4,103.05478549003601
a,Circle,Circle,4,0,4,98.3137481212616
a,Square,Square,4,0,4,49.82790470123291
s,Circle,Pentagon,4,0,4,95.11457657814026
a,Square,Square,4,0,4,80.97509455680847
a,Pentagon,Pentagon,4,0,4,65.14205837249756
s,Square,Square,4,0,4,41.35957384109497
s,Circle,Square,4,0,4,71.48602199554443
s,Circle,Pentagon,4,0,4,60.153883934020996
