SensType,FigShape,Answer,PeakStim,BaseStim,Stimulation,SpentTime
a,Pentagon,Circle,5,0,5,80.79430627822876
a,Pentagon,Pentagon,5,0,5,43.87937808036804
s,Circle,Pentagon,5,0,5,108.09491729736328
s,Pentagon,Square,5,0,5,160.21744203567505
s,Square,Square,5,0,5,85.81788444519043
a,Circle,Circle,5,0,5,31.473920106887817
s,Circle,Pentagon,5,0,5,172.31755900382996
a,Pentagon,Pentagon,5,0,5,114.70218825340271
a,Pentagon,Square,5,0,5,94.56901502609253
a,Circle,Circle,5,0,5,47.946800231933594
a,Square,Square,5,0,5,130.58230137825012
a,Square,Square,5,0,5,105.6285662651062
s,Pentagon,Pentagon,5,0,5,89.31080937385559
s,Pentagon,Pentagon,5,0,5,95.13697504997253
s,Circle,Circle,5,0,5,76.53217363357544
s,Pentagon,Pentagon,5,0,5,143.17746424674988
s,Square,Square,5,0,5,67.06083011627197
a,Circle,Circle,5,0,5,81.91363739967346
a,Square,Square,5,0,5,45.28979444503784
s,Circle,Square,5,0,5,139.90887141227722
s,Square,Square,5,0,5,181.48705649375916
s,Square,Square,5,0,5,112.18892431259155
a,Circle,Circle,5,0,5,95.20436453819275
a,Square,Square,5,0,5,104.42450141906738
