SensType,FigShape,Answer,PeakStim,BaseStim,Stimulation,SpentTime
s,Pentagon,Square,8,0,8,25.571183443069458
s,Pentagon,Circle,8,0,8,27.408825397491455
s,Square,Pentagon,8,0,8,29.55704426765442
a,Pentagon,Circle,8,0,8,19.899708032608032
a,Square,Square,8,0,8,25.468597412109375
s,Circle,Square,8,0,8,23.879135608673096
s,Square,Square,8,0,8,24.38432765007019
a,Square,Pentagon,8,0,8,22.624409198760986
a,Square,Circle,8,0,8,14.24609923362732
a,Circle,Square,8,0,8,18.069681644439697
s,Circle,Square,8,0,8,31.912737131118774
s,Square,Circle,8,0,8,28.919986248016357
a,Pentagon,Square,8,0,8,19.387191772460938
a,Circle,Square,8,0,8,19.666081428527832
s,Circle,Circle,8,0,8,11.067974090576172
s,Circle,Square,8,0,8,17.05184030532837
s,Square,Square,8,0,8,25.2166645526886
a,Circle,Pentagon,8,0,8,29.152825117111206
a,Square,Circle,8,0,8,32.70457649230957
s,Pentagon,Square,8,0,8,21.238386869430542
a,Pentagon,Circle,8,0,8,21.986518144607544
a,Circle,Square,8,0,8,20.44976496696472
a,Pentagon,Circle,8,0,8,18.11746907234192
s,Pentagon,Square,8,0,8,30.377683639526367
