SensType,FigShape,Answer,PeakStim,BaseStim,Stimulation,SpentTime
s,Circle,Circle,5,0,5,25.778974771499634
a,Pentagon,Pentagon,5,0,5,32.55228543281555
a,Circle,Pentagon,5,0,5,26.263780117034912
a,Circle,Square,5,0,5,34.41216158866882
a,Pentagon,Square,5,0,5,32.26058530807495
a,Circle,Pentagon,5,0,5,18.77930974960327
a,Pentagon,Square,5,0,5,21.81881070137024
s,Square,Pentagon,5,0,5,27.45157241821289
a,Square,Circle,5,0,5,27.078606605529785
s,Pentagon,Square,5,0,5,30.791351079940796
s,Circle,Square,5,0,5,29.03802466392517
s,Pentagon,Circle,5,0,5,18.98632502555847
a,Pentagon,Square,5,0,5,42.99346995353699
a,Square,Square,5,0,5,29.477632999420166
s,Circle,Circle,5,0,5,23.901788473129272
a,Square,Square,5,0,5,27.84659743309021
s,Circle,Pentagon,5,0,5,30.82066869735718
s,Square,Circle,5,0,5,18.75765609741211
s,Pentagon,Pentagon,5,0,5,28.64142918586731
a,Circle,Pentagon,5,0,5,19.641923427581787
a,Square,Square,5,0,5,17.97933030128479
s,Square,Square,5,0,5,26.261651515960693
s,Square,Pentagon,5,0,5,26.493494749069214
s,Pentagon,Pentagon,5,0,5,22.389652013778687
