Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.6510293235592144 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 15:38:54.017898 True [   87856.894819] 0003 0035 000003af
2022-03-10 15:38:54.034545 True [   87856.911717] 0003 0035 000003af
2022-03-10 15:38:54.051198 True [   87856.928659] 0003 0035 000003af
2022-03-10 15:38:54.068905 True [   87856.945554] 0003 0035 000003af
2022-03-10 15:38:54.085289 True [   87856.962464] 0003 0035 000003af
2022-03-10 15:38:54.103256 True [   87856.979431] 0003 0035 000003af
2022-03-10 15:38:54.459114 True [   87857.335633] 0003 0035 00000386
2022-03-10 15:38:54.474982 True [   87857.351790] 0003 0035 00000386
2022-03-10 15:38:54.494583 True [   87857.368722] 0003 0035 00000386
2022-03-10 15:38:54.508399 True [   87857.385772] 0003 0035 00000386
2022-03-10 15:38:54.527350 True [   87857.402439] 0003 0035 0000038c
2022-03-10 15:38:54.949437 True [   87857.826020] 0003 0035 0000034a
2022-03-10 15:38:54.966415 True [   87857.843527] 0003 0035 0000034a
2022-03-10 15:38:54.983370 True [   87857.859794] 0003 0035 0000034a
2022-03-10 15:38:55.001323 True [   87857.877401] 0003 0035 0000034a
2022-03-10 15:38:55.017172 True [   87857.894234] 0003 0035 0000034a
2022-03-10 15:38:55.035124 True [   87857.910760] 0003 0035 0000034a
2022-03-10 15:38:55.050861 True [   87857.927796] 0003 0035 0000034a
2022-03-10 15:38:55.067819 True [   87857.944468] 0003 0035 0000034a
2022-03-10 15:38:55.084349 True [   87857.961381] 0003 0035 0000034a
2022-03-10 15:38:55.100360 True [   87857.978245] 0003 0035 0000034a
2022-03-10 15:38:55.119508 True [   87857.995298] 0003 0035 0000034e
2022-03-10 15:38:55.136385 True [   87858.012154] 0003 0035 0000034e
2022-03-10 15:38:55.152446 True [   87858.029076] 0003 0035 00000353
2022-03-10 15:38:55.168906 True [   87858.045957] 0003 0035 00000357
2022-03-10 15:38:55.185964 True [   87858.062893] 0003 0035 00000357
2022-03-10 15:38:55.203255 True [   87858.079892] 0003 0035 00000357
2022-03-10 15:38:55.219806 True [   87858.096761] 0003 0035 0000035b
2022-03-10 15:38:55.236700 True [   87858.113691] 0003 0035 0000035b
2022-03-10 15:38:55.256250 True [   87858.130595] 0003 0035 0000035b
2022-03-10 15:38:55.270100 True [   87858.147509] 0003 0035 0000035b
2022-03-10 15:38:55.287176 True [   87858.164442] 0003 0035 0000035b
2022-03-10 15:38:55.304182 True [   87858.181442] 0003 0035 0000035b
2022-03-10 15:38:55.321200 True [   87858.198214] 0003 0035 0000035b
