Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.6510293235592144 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 15:41:57.724970 True [   88040.595221] 0003 0035 0000034b
2022-03-10 15:41:57.740772 True [   88040.611803] 0003 0035 0000034b
2022-03-10 15:41:57.756823 True [   88040.628932] 0003 0035 0000034b
2022-03-10 15:41:57.757807 False [   88040.628932] 0003 0035 0000001c
2022-03-10 15:41:57.777568 True [   88040.645646] 0003 0035 0000034b
2022-03-10 15:41:57.777568 False [   88040.645646] 0003 0035 0000001c
2022-03-10 15:41:57.790124 True [   88040.662294] 0003 0035 0000034b
2022-03-10 15:41:57.790124 False [   88040.662294] 0003 0035 0000001c
2022-03-10 15:41:57.806003 False [   88040.679265] 0003 0035 0000001c
2022-03-10 15:41:57.823943 False [   88040.696268] 0003 0035 0000001c
2022-03-10 15:41:57.844303 False [   88040.713281] 0003 0035 0000001c
2022-03-10 15:42:01.823796 True [   88044.695870] 0003 0035 0000025e
2022-03-10 15:42:01.838780 False [   88044.710894] 0003 0035 0000025e
2022-03-10 15:42:01.854629 False [   88044.727869] 0003 0035 0000025e
2022-03-10 15:42:01.872434 False [   88044.744985] 0003 0035 0000025e
2022-03-10 15:42:01.888640 False [   88044.761769] 0003 0035 0000025e
2022-03-10 15:42:01.905088 False [   88044.778359] 0003 0035 0000025e
2022-03-10 15:42:03.634532 False [   88046.507671] 0003 0035 000002ab
2022-03-10 15:42:03.652561 False [   88046.526094] 0003 0035 000002ab
2022-03-10 15:42:03.669784 False [   88046.542316] 0003 0035 000002ab
2022-03-10 15:42:03.686028 False [   88046.559054] 0003 0035 000002ab
2022-03-10 15:42:03.702646 False [   88046.575755] 0003 0035 000002ab
2022-03-10 15:42:03.720039 False [   88046.593295] 0003 0035 000002ab
2022-03-10 15:42:03.737615 False [   88046.610054] 0003 0035 000002ab
2022-03-10 15:42:05.447412 False [   88048.320590] 0003 0035 0000027c
2022-03-10 15:42:05.465975 True [   88048.336354] 0003 0035 0000027c
2022-03-10 15:42:05.480602 True [   88048.353763] 0003 0035 0000027c
2022-03-10 15:42:05.500058 True [   88048.370542] 0003 0035 0000027c
2022-03-10 15:42:05.515750 True [   88048.387332] 0003 0035 0000027c
2022-03-10 15:42:07.361663 True [   88050.235852] 0003 0035 00000268
2022-03-10 15:42:07.378347 True [   88050.251382] 0003 0035 00000268
2022-03-10 15:42:07.395507 True [   88050.268459] 0003 0035 00000268
2022-03-10 15:42:07.411279 True [   88050.284783] 0003 0035 00000268
2022-03-10 15:42:07.428150 True [   88050.302249] 0003 0035 00000268
2022-03-10 15:42:07.447286 True [   88050.319125] 0003 0035 00000268
2022-03-10 15:42:07.462246 True [   88050.336313] 0003 0035 00000268
2022-03-10 15:42:07.479899 True [   88050.353810] 0003 0035 00000268
2022-03-10 15:42:07.498915 True [   88050.370937] 0003 0035 00000268
2022-03-10 15:42:07.513136 True [   88050.386854] 0003 0035 00000268
2022-03-10 15:42:07.532683 True [   88050.404802] 0003 0035 00000268
2022-03-10 15:42:07.547296 True [   88050.420900] 0003 0035 00000268
2022-03-10 15:42:07.770231 True [   88050.642287] 0003 0035 0000025e
2022-03-10 15:42:07.784584 True [   88050.657538] 0003 0035 0000025e
2022-03-10 15:42:07.801510 True [   88050.674406] 0003 0035 0000025e
2022-03-10 15:42:07.818976 True [   88050.691197] 0003 0035 0000025e
2022-03-10 15:42:07.835705 True [   88050.707949] 0003 0035 0000025e
2022-03-10 15:42:07.971288 True [   88050.843574] 0003 0035 0000025d
2022-03-10 15:42:07.987245 True [   88050.861001] 0003 0035 0000025d
2022-03-10 15:42:08.003538 True [   88050.877545] 0003 0035 0000025d
2022-03-10 15:42:08.020493 True [   88050.894341] 0003 0035 0000025d
2022-03-10 15:42:10.344221 True [   88053.216822] 0003 0035 00000257
2022-03-10 15:42:10.360898 True [   88053.233966] 0003 0035 00000257
2022-03-10 15:42:10.378254 True [   88053.250842] 0003 0035 00000257
2022-03-10 15:42:10.393505 True [   88053.266151] 0003 0035 00000257
2022-03-10 15:42:10.409661 True [   88053.283088] 0003 0035 00000257
2022-03-10 15:42:10.427774 True [   88053.300964] 0003 0035 00000257
2022-03-10 15:42:10.445035 True [   88053.317714] 0003 0035 00000257
2022-03-10 15:42:10.463291 True [   88053.335252] 0003 0035 00000257
2022-03-10 15:42:10.478495 True [   88053.351854] 0003 0035 00000257
2022-03-10 15:42:13.224089 True [   88056.097445] 0003 0035 00000498
2022-03-10 15:42:13.240760 True [   88056.112850] 0003 0035 00000498
2022-03-10 15:42:13.256735 True [   88056.129707] 0003 0035 00000498
2022-03-10 15:42:13.274167 True [   88056.146281] 0003 0035 00000498
2022-03-10 15:42:13.290405 True [   88056.162954] 0003 0035 00000498
2022-03-10 15:42:15.492932 False [   88058.366398] 0003 0035 00000010
2022-03-10 15:42:15.509945 False [   88058.382894] 0003 0035 00000010
2022-03-10 15:42:15.526219 False [   88058.399326] 0003 0035 00000010
2022-03-10 15:42:15.544120 False [   88058.416277] 0003 0035 00000010
2022-03-10 15:42:15.560980 False [   88058.433830] 0003 0035 00000010
2022-03-10 15:42:15.577211 False [   88058.450334] 0003 0035 00000010
2022-03-10 15:42:15.595457 False [   88058.467181] 0003 0035 00000010
2022-03-10 15:42:15.613348 False [   88058.484541] 0003 0035 00000010
2022-03-10 15:42:15.628531 False [   88058.500774] 0003 0035 00000010
2022-03-10 15:42:18.323612 False [   88061.196399] 0003 0035 0000000f
