Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.6510293235592144 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 15:42:55.971175 True [   88098.842773] 0003 0035 000004e7
2022-03-10 15:42:55.986863 True [   88098.859475] 0003 0035 000004e7
2022-03-10 15:42:56.003334 True [   88098.876340] 0003 0035 000004e7
2022-03-10 15:42:56.022119 True [   88098.893688] 0003 0035 000004e7
2022-03-10 15:42:56.041073 True [   88098.910147] 0003 0035 000004e7
2022-03-10 15:42:56.055420 True [   88098.926961] 0003 0035 000004e7
2022-03-10 15:42:58.021314 False [   88100.893073] 0003 0035 00000026
2022-03-10 15:42:58.036969 False [   88100.908586] 0003 0035 00000026
2022-03-10 15:42:58.053334 False [   88100.925364] 0003 0035 00000026
2022-03-10 15:42:58.069974 False [   88100.942296] 0003 0035 00000026
2022-03-10 15:42:58.087428 False [   88100.959329] 0003 0035 00000026
2022-03-10 15:42:58.104596 False [   88100.976274] 0003 0035 00000026
2022-03-10 15:42:58.123246 False [   88100.993297] 0003 0035 00000026
2022-03-10 15:42:58.138619 False [   88101.010164] 0003 0035 00000026
2022-03-10 15:42:58.155889 False [   88101.027011] 0003 0035 00000026
2022-03-10 15:42:58.173566 False [   88101.043979] 0003 0035 00000026
2022-03-10 15:42:58.188570 False [   88101.060923] 0003 0035 00000026
2022-03-10 15:42:58.207175 False [   88101.077696] 0003 0035 00000026
2022-03-10 15:42:59.240065 True [   88102.111124] 0003 0035 000002a8
2022-03-10 15:42:59.257660 True [   88102.127874] 0003 0035 000002a8
2022-03-10 15:42:59.273890 True [   88102.144850] 0003 0035 000002a8
2022-03-10 15:42:59.290366 True [   88102.161762] 0003 0035 000002a8
2022-03-10 15:42:59.306501 True [   88102.178735] 0003 0035 000002a8
2022-03-10 15:42:59.324228 True [   88102.195698] 0003 0035 000002a8
2022-03-10 15:42:59.340314 True [   88102.212640] 0003 0035 000002a8
2022-03-10 15:43:02.054442 True [   88104.923879] 0003 0035 0000023f
2022-03-10 15:43:02.068215 False [   88104.940784] 0003 0035 0000023f
2022-03-10 15:43:02.086818 False [   88104.958449] 0003 0035 0000023f
2022-03-10 15:43:02.102498 False [   88104.974815] 0003 0035 0000023f
2022-03-10 15:43:02.119173 False [   88104.991541] 0003 0035 0000023f
2022-03-10 15:43:02.135187 False [   88105.007384] 0003 0035 0000023f
2022-03-10 15:43:02.152751 False [   88105.024738] 0003 0035 0000023f
